# wavelength flux
3320.00184 7.39122e-18
3321.49521 1.82466e-17
3322.99874 1.51778e-17
3324.50227 1.21092e-17
3325.99565 9.04092e-18
3327.49918 9.04053e-18
3329.00271 1.49012e-17
3330.49608 -1.79371e-18
3331.99962 5.93491e-18
3333.50315 -5.30753e-18
3334.99652 1.05694e-18
3336.50005 2.34336e-17
3338.00358 2.18981e-18
3339.49696 3.67452e-18
3341.00049 2.95487e-18
3342.50402 2.23528e-18
3343.99739 2.23518e-18
3345.50093 -1.99648e-18
3347.00446 -4.63744e-18
3348.49783 -4.63724e-18
3350.00136 1.30505e-17
3351.50490 8.09937e-18
3352.99827 2.38861e-18
3354.50180 1.06609e-17
3355.99517 9.70217e-18
3357.49870 1.05456e-17
3359.00224 1.03659e-17
3360.49561 1.01204e-17
3361.99914 -1.18669e-18
3363.50267 -5.83622e-18
3364.99605 5.80241e-18
3366.49958 8.57139e-18
3368.00311 1.13401e-17
3369.49648 1.41086e-17
3371.00002 1.41080e-17
3372.50355 6.69232e-18
3373.99692 -2.59521e-18
3375.50045 -3.75907e-18
3377.00399 -7.24326e-19
3378.49736 2.31014e-18
3380.00089 5.34434e-18
3381.50442 8.37826e-18
3382.99780 1.14119e-17
3384.50133 1.14114e-17
3386.00486 -4.46250e-19
3387.49823 9.54596e-18
3389.00176 -7.52490e-18
3390.49514 -6.13602e-18
3391.99867 6.62188e-18
3393.50220 2.08759e-17
3394.99557 1.50695e-17
3396.49911 1.89511e-17
3398.00264 2.62615e-18
3399.49601 8.35209e-18
3400.99954 1.31593e-17
3402.50308 6.14517e-18
3403.99645 1.21500e-17
3405.49998 1.42519e-17
3407.00351 1.24020e-18
3408.49689 -4.49450e-18
3410.00042 -1.92211e-18
3411.50395 -3.74994e-18
3412.99732 3.92946e-18
3414.50085 -1.72968e-18
3416.00439 -4.24936e-18
3417.49776 4.25211e-18
3419.00129 -1.70988e-18
3420.50482 1.18181e-17
3421.99820 2.22053e-17
3423.50173 1.49789e-17
3424.99510 1.82769e-17
3426.49863 1.00436e-17
3428.00216 2.17589e-19
3429.49554 -1.06827e-19
3430.99907 1.77517e-17
3432.50260 8.95707e-18
3433.99598 8.64859e-19
3435.49951 1.32885e-17
3437.00304 -1.76957e-18
3438.49641 4.18982e-18
3439.99994 1.41212e-17
3441.50348 4.13954e-18
3442.99685 8.68736e-18
3444.50038 1.12955e-17
3446.00391 2.87546e-18
3447.49729 8.74496e-18
3449.00082 1.37508e-17
3450.50435 4.11590e-18
3451.99772 -5.05615e-18
3453.50125 4.25977e-18
3455.00479 1.28637e-17
3456.49816 1.39349e-17
3458.00169 1.38865e-18
3459.49507 -6.16278e-18
3460.99860 9.31192e-20
3462.50213 -3.75759e-18
3463.99550 9.59673e-19
3465.49903 1.18126e-17
3467.00257 1.14667e-17
3468.49594 1.08299e-17
3469.99947 1.65345e-17
3471.50300 1.25307e-17
3472.99638 7.11729e-18
3474.49991 -1.51627e-19
3476.00344 3.38341e-19
3477.49681 4.32354e-18
3479.00035 4.07608e-18
3480.50388 1.01881e-17
3481.99725 1.95229e-17
3483.50078 1.47762e-17
3485.00431 -1.94438e-18
3486.49769 4.87928e-18
3488.00122 1.17023e-17
3489.50475 1.17018e-17
3490.99812 1.15403e-17
3492.50166 6.88399e-18
3493.99503 9.93881e-18
3495.49856 1.36356e-17
3497.00209 7.43551e-18
3498.49547 2.67419e-18
3499.99900 1.25219e-18
3501.50253 7.06160e-18
3502.99590 3.72774e-18
3504.49944 2.69908e-18
3506.00297 7.13638e-18
3507.49634 7.96877e-18
3508.99987 2.19145e-17
