# wavelength flux
3485.00480 1.82047e-17
3486.47202 1.87903e-17
3487.93924 1.68923e-17
3489.40645 1.80353e-17
3490.88386 1.89621e-17
3492.35107 1.84938e-17
3493.81829 2.04573e-17
3495.28550 2.02260e-17
3496.76291 1.80294e-17
3498.23013 1.97895e-17
3499.69734 1.99500e-17
3501.17475 2.13566e-17
3502.64196 2.10169e-17
3504.10918 1.87056e-17
3505.57640 1.90455e-17
3507.05380 1.91613e-17
3508.52102 1.91643e-17
3509.98823 2.00121e-17
3511.45545 1.87752e-17
3512.93285 1.99669e-17
3514.40007 2.10323e-17
3515.86728 2.05649e-17
3517.34469 2.12490e-17
3518.81191 2.14939e-17
3520.27912 2.10570e-17
3521.74634 1.97784e-17
3523.22374 2.06101e-17
3524.69096 2.08996e-17
3526.15817 2.15074e-17
3527.62539 2.10174e-17
3529.10280 2.00088e-17
3530.57001 2.08264e-17
3532.03723 2.26245e-17
3533.51463 2.22530e-17
3534.98185 1.89131e-17
3536.44906 1.99479e-17
3537.91628 2.23747e-17
3539.39369 2.12908e-17
3540.86090 2.02747e-17
3542.32812 2.28490e-17
3543.79533 2.37712e-17
3545.27274 2.03803e-17
3546.73995 1.87905e-17
3548.20717 1.92365e-17
3549.68458 1.97920e-17
3551.15179 1.96649e-17
3552.61901 1.86226e-17
3554.08622 2.23894e-17
3555.56363 2.30951e-17
3557.03084 2.24979e-17
3558.49806 2.28410e-17
3559.96528 1.88543e-17
3561.44268 1.71179e-17
3562.90990 1.64643e-17
3564.37711 1.81625e-17
3565.85452 1.86668e-17
3567.32173 1.92137e-17
3568.78895 1.81526e-17
3570.25617 2.01997e-17
3571.73357 1.92803e-17
3573.20079 1.76019e-17
3574.66800 1.81827e-17
3576.13522 1.75693e-17
3577.61262 1.65803e-17
3579.07984 1.87968e-17
3580.54706 1.96515e-17
3582.02446 2.01632e-17
3583.49168 2.15634e-17
3584.95889 2.12790e-17
3586.42611 1.96181e-17
3587.90351 2.08594e-17
3589.37073 2.14748e-17
3590.83795 1.85681e-17
3592.30516 1.58885e-17
3593.78257 1.75526e-17
3595.24978 1.92487e-17
3596.71700 1.77309e-17
3598.19440 1.72695e-17
3599.66162 1.93268e-17
3601.12884 2.18195e-17
3602.59605 2.14829e-17
3604.07346 2.17047e-17
3605.54067 2.10798e-17
3607.00789 1.95833e-17
3608.47511 2.03729e-17
3609.95251 2.00292e-17
