# wavelength flux
3799.99774 2.15275e-18
3801.52609 2.51228e-18
3803.04425 2.87177e-18
3804.56241 1.97133e-18
3806.09076 1.07100e-18
3807.60892 1.07039e-18
3809.12708 1.06978e-18
3810.65543 1.50325e-18
3812.17359 1.93667e-18
3813.69175 1.60594e-18
3815.22010 1.27525e-18
3816.73827 1.64788e-18
3818.26662 2.02048e-18
3819.78478 1.34635e-18
3821.30294 6.72292e-19
3822.83129 4.60835e-19
3824.34945 2.49404e-19
3825.86761 5.60701e-19
3827.39596 8.71963e-19
3828.91412 9.94305e-19
3830.43228 1.11663e-18
3831.96063 2.11626e-18
3833.47879 3.11578e-18
3834.99695 7.13540e-19
3836.52530 -1.68843e-18
3838.04346 -1.35423e-18
3839.56163 -1.02005e-18
3841.08998 -6.85938e-19
3842.60814 -3.51865e-19
3844.13649 -1.78046e-20
3845.65465 3.16217e-19
3847.17281 6.04204e-19
3848.70116 8.92157e-19
3850.21932 8.48486e-19
3851.73748 8.04818e-19
3853.26583 1.38001e-18
3854.78399 1.95515e-18
3856.30215 1.21361e-18
3857.83050 4.72139e-19
3859.34866 -4.03104e-19
3860.87701 -1.27825e-18
3862.39517 -5.07490e-19
3863.91334 2.63193e-19
3865.44169 1.11166e-18
3866.95985 1.96003e-18
3868.47801 1.79297e-18
3870.00636 1.62591e-18
3871.52452 9.69832e-19
3873.04268 3.13822e-19
3874.57103 4.16903e-19
3876.08919 5.19980e-19
3877.60735 4.47137e-19
3879.13570 3.74301e-19
3880.65386 7.31726e-19
3882.18221 1.08911e-18
3883.70037 9.21982e-19
3885.21853 7.54863e-19
3886.74688 5.87748e-19
3888.26505 4.20653e-19
3889.78321 2.53575e-19
3891.31156 8.65161e-20
3892.82972 -8.05113e-20
3894.34788 -2.47520e-19
3895.87623 -4.14525e-19
3897.39439 -5.81510e-19
3898.91255 4.58751e-20
3900.44090 6.73202e-19
3901.95906 5.14811e-19
3903.47722 3.56427e-19
3905.00557 9.56296e-19
3906.52373 1.55611e-18
3908.05208 1.09200e-18
3909.57024 6.27926e-19
3911.08841 5.03882e-19
3912.61676 3.79857e-19
3914.13492 3.60280e-19
3915.65308 3.40707e-19
3917.18143 6.13920e-20
3918.69959 -2.17896e-19
3920.21775 5.86118e-19
3921.74610 1.39006e-18
3923.26426 1.57471e-18
3924.78242 1.75932e-18
3926.31077 7.09531e-19
3927.82893 -3.40169e-19
3929.35728 -5.42764e-19
3930.87544 -7.45324e-19
3932.39360 -8.93622e-19
3933.92195 -1.04190e-18
3935.44012 8.66463e-20
3936.95828 1.21510e-18
3938.48663 9.49391e-19
3940.00479 6.83688e-19
3941.52295 7.85934e-19
3943.05130 8.88176e-19
3944.56946 7.31945e-19
3946.09781 5.75727e-19
3947.61597 3.93338e-19
3949.13413 2.10968e-19
3950.66248 7.14908e-19
3952.18064 1.21881e-18
3953.69880 1.76649e-18
3955.22715 2.31411e-18
3956.74531 2.54231e-18
3958.26348 2.77049e-18
3959.79183 2.54388e-18
3961.30999 2.31729e-18
3962.82815 1.98468e-18
3964.35650 1.65209e-18
3965.87466 1.86382e-18
3967.39282 2.07553e-18
3968.92117 2.34612e-18
3970.43933 2.61668e-18
3971.96768 2.90569e-18
3973.48584 3.19467e-18
3975.00400 3.44617e-18
3976.53235 3.69765e-18
3978.05051 3.87271e-18
3979.56867 4.04774e-18
3981.09702 4.49215e-18
3982.61519 4.93651e-18
3984.13335 4.66362e-18
3985.66170 4.39074e-18
3987.17986 3.30675e-18
3988.69802 2.22286e-18
3990.22637 2.49197e-18
3991.74453 2.76110e-18
3993.27288 3.70861e-18
3994.79104 4.65604e-18
3996.30920 4.61284e-18
3997.83755 4.56963e-18
3999.35571 4.05941e-18
4000.87387 3.54923e-18
4002.40222 3.99282e-18
4003.92038 4.43639e-18
4005.43855 4.64989e-18
4006.96690 4.86337e-18
4008.48506 5.04951e-18
4010.00322 5.23563e-18
4011.53157 5.14962e-18
4013.04973 5.06362e-18
4014.57808 5.11943e-18
4016.09624 5.17524e-18
4017.61440 4.72521e-18
4019.14275 4.27521e-18
