# wavelength flux
3484.99972 -2.23391e-18
3486.46996 9.44321e-18
3487.94020 6.94037e-18
3489.41044 3.60731e-18
3490.88068 7.16124e-18
3492.35092 1.12017e-17
3493.82116 -9.12045e-19
3495.29140 -5.71077e-18
3496.76164 6.91289e-18
3498.23188 6.56249e-18
3499.70212 9.05196e-18
3501.17236 1.92186e-18
3502.64260 1.80122e-18
3504.11284 6.62857e-19
3505.58308 -5.49400e-19
3507.05332 3.37709e-18
3508.52356 7.09050e-18
3509.99380 5.70580e-18
3511.46404 6.30907e-18
3512.93428 -1.91744e-18
3514.40452 8.31816e-18
3515.87476 1.68768e-17
3517.34500 4.83880e-18
3518.80503 -1.01502e-17
3520.27527 -1.34581e-17
3521.74551 -3.78932e-18
3523.21575 2.82396e-18
3524.68599 5.86997e-18
3526.15623 -3.18181e-18
3527.62647 1.46319e-18
3529.09671 1.41119e-17
3530.56695 1.55421e-17
3532.03719 2.82033e-19
3533.50743 1.37337e-17
3534.97767 1.58566e-17
3536.44791 1.53579e-17
3537.91815 1.81179e-17
3539.38839 1.23023e-18
3540.85863 -1.67610e-18
3542.32887 6.76148e-18
3543.79911 2.32700e-17
3545.26935 2.70665e-17
3546.73959 2.32840e-18
3548.20983 -1.48959e-18
3549.68007 7.72403e-18
3551.15031 -1.58865e-18
3552.62055 -7.23442e-19
3554.09079 2.21298e-17
3555.56103 1.51333e-17
3557.03127 -6.43137e-18
3558.50151 5.30193e-18
3559.97175 2.33586e-17
3561.44199 -4.48434e-18
3562.91223 -6.08732e-18
3564.38247 1.84426e-17
3565.85271 1.10885e-18
3567.32295 2.00496e-18
3568.79319 -1.22835e-18
3570.26343 -5.60788e-18
3571.73367 -3.02769e-18
3573.20391 -2.94886e-18
3574.67415 -1.15091e-17
3576.14439 -1.42787e-17
3577.61463 2.32777e-18
3579.08487 7.06679e-18
3580.55511 -5.29337e-18
3582.01514 -6.91693e-18
3583.48538 1.27778e-17
3584.95562 5.22978e-18
3586.42586 -1.94214e-18
3587.89610 -1.01902e-17
3589.36634 -5.69954e-18
3590.83658 1.64227e-17
3592.30682 1.59513e-17
3593.77706 1.14970e-17
3595.24730 9.34674e-18
3596.71754 9.98430e-18
3598.18778 8.39737e-18
3599.65802 1.23878e-17
3601.12826 1.45922e-17
3602.59850 1.06070e-17
3604.06874 8.87765e-19
3605.53898 1.18548e-17
