# wavelength flux
3479.99947 9.96237e-18
3481.46765 -1.37019e-19
3482.93582 1.22658e-17
3484.41406 9.00287e-18
3485.88223 5.53908e-18
3487.35041 9.14606e-18
3488.81858 2.59669e-19
3490.28676 5.72035e-18
3491.76499 2.85003e-18
3493.23317 7.02913e-18
3494.70134 7.57040e-18
3496.16952 4.44922e-18
3497.63770 7.92516e-18
3499.10587 1.41726e-17
3500.58410 1.21533e-17
3502.05228 1.27195e-17
3503.52046 9.42455e-18
3504.98863 -2.89496e-18
3506.45681 1.27549e-17
3507.93504 1.35527e-17
3509.40322 4.57759e-18
3510.87139 8.46234e-18
3512.33957 8.19707e-18
3513.80774 8.35090e-18
3515.27592 5.22925e-18
3516.75415 1.10923e-17
3518.22233 1.39705e-17
3519.69050 8.71656e-18
3521.15868 4.63783e-18
3522.62686 8.16594e-18
3524.10509 1.61194e-17
3525.57326 6.99021e-18
3527.04144 6.41971e-19
3528.50962 1.21965e-17
3529.97779 3.89500e-18
3531.44597 3.19610e-18
3532.92420 3.72826e-18
3534.39238 8.54509e-18
3535.86055 1.36706e-17
3537.32873 -1.17115e-19
3538.79690 -1.76508e-18
3540.26508 1.16760e-17
3541.74331 1.25215e-17
3543.21149 7.34883e-18
3544.67966 9.13711e-18
3546.14784 1.06157e-17
3547.61602 1.01055e-17
3549.09425 1.13331e-17
3550.56242 1.80230e-17
3552.03060 1.39840e-17
3553.49878 1.18229e-17
3554.96695 4.86514e-18
3556.43513 2.62549e-18
3557.91336 1.21646e-17
3559.38154 8.60531e-18
3560.84971 5.31398e-18
3562.31789 1.20799e-17
3563.78606 1.65184e-17
3565.26430 8.41535e-18
3566.73247 5.45427e-18
3568.20065 5.04320e-18
3569.66882 4.39875e-18
3571.13700 3.78612e-18
3572.61523 2.65261e-18
3574.08341 3.30394e-18
3575.55158 3.41480e-18
3577.01976 6.03385e-18
3578.48794 6.41433e-18
3579.95611 -6.61186e-19
3581.43434 -3.02339e-18
3582.90252 6.42533e-18
3584.37070 1.11988e-17
3585.83887 5.40219e-18
3587.30705 2.62508e-18
3588.77522 3.64944e-18
3590.25346 4.52790e-18
3591.72163 6.08405e-18
3593.18981 2.35264e-18
3594.65798 8.51828e-18
3596.12616 9.57885e-18
3597.60439 9.83112e-19
3599.07257 2.10761e-18
3600.54074 8.65262e-18
3602.00892 1.53441e-18
3603.47710 2.04437e-18
3604.94527 4.31923e-18
3606.42350 2.19677e-18
3607.89168 1.18023e-17
3609.35986 1.08119e-17
3610.82803 1.27148e-17
3612.29621 4.41013e-18
3613.77444 2.33968e-18
3615.24262 2.08352e-17
3616.71079 1.05993e-17
3618.17897 1.53921e-17
3619.64714 8.61067e-18
3621.11532 1.48517e-17
3622.59355 1.05160e-17
3624.06173 3.45854e-18
3625.52990 2.11684e-18
3626.99808 1.11276e-17
3628.46626 1.20846e-17
3629.94449 1.15684e-17
3631.41266 3.06801e-18
3632.88084 1.21673e-17
3634.34902 5.03910e-18
3635.81719 -4.39972e-18
3637.28537 6.60083e-18
