# wavelength flux
3271.74252 1.12762e-19
3272.89448 2.27619e-18
3274.03642 4.43924e-18
3275.18837 3.03254e-18
3276.33031 1.62609e-18
3277.48226 5.32794e-18
3278.62420 9.02913e-18
3279.77616 7.67881e-18
3280.91809 6.32873e-18
3282.07005 5.23600e-18
3283.22201 4.14346e-18
3284.36394 5.31434e-18
3285.51590 6.48501e-18
3286.65784 5.68688e-18
3287.80979 4.88890e-18
3288.95173 6.31377e-18
3290.10368 7.73837e-18
3291.25564 6.42608e-18
3292.39758 5.11403e-18
3293.54953 4.32357e-18
3294.69147 3.53326e-18
3295.84343 4.65561e-18
3296.98536 5.77774e-18
3298.13732 4.98465e-18
3299.27926 4.19170e-18
3300.43121 2.94895e-18
3301.58317 1.70645e-18
3302.72510 2.76627e-18
3303.87706 3.82588e-18
3305.01900 4.86085e-18
3306.17095 5.89562e-18
3307.31289 6.93446e-18
3308.46484 7.97309e-18
3309.60678 5.76624e-18
3310.75874 3.55983e-18
3311.91069 3.52650e-18
3313.05263 3.49317e-18
3314.20459 4.08570e-18
3315.34652 4.67812e-18
3316.49848 5.63886e-18
3317.64042 6.59939e-18
3318.79237 5.40558e-18
3319.94433 4.21199e-18
3321.08626 4.22758e-18
3322.23822 4.24315e-18
3323.38016 3.42285e-18
3324.53211 2.60272e-18
3325.67405 4.28432e-18
3326.82601 5.96558e-18
3327.96794 7.23481e-18
3329.11990 8.50377e-18
3330.27185 7.59321e-18
3331.41379 6.68284e-18
3332.56575 6.52863e-18
3333.70769 6.37443e-18
3334.85964 4.96656e-18
3336.00158 3.55900e-18
3337.15353 4.32315e-18
3338.29547 5.08714e-18
3339.44743 5.44050e-18
3340.59938 5.79378e-18
3341.74132 5.28247e-18
3342.89327 4.77128e-18
3344.03521 5.14913e-18
3345.18717 5.52690e-18
3346.32911 5.44856e-18
3347.48106 5.37025e-18
3348.63301 5.69253e-18
3349.77495 6.01473e-18
3350.92691 5.39020e-18
3352.06885 4.76582e-18
3353.22080 5.97463e-18
3354.36274 7.18319e-18
3355.51469 7.48957e-18
3356.65663 7.79589e-18
3357.80859 7.91378e-18
3358.96054 8.03162e-18
3360.10248 6.40320e-18
3361.25444 4.77516e-18
3362.39637 5.63493e-18
3363.54833 6.49452e-18
3364.69027 6.35825e-18
3365.84222 6.22202e-18
3366.98416 6.32377e-18
3368.13611 6.42547e-18
3369.28807 5.14465e-18
3370.43001 3.86413e-18
3371.58196 4.64172e-18
3372.72390 5.41914e-18
3373.87586 5.34114e-18
3375.01779 5.26317e-18
3376.16975 6.09797e-18
3377.32170 6.93260e-18
3378.46364 8.20859e-18
3379.61560 9.48427e-18
3380.75753 8.10416e-18
3381.90949 6.72439e-18
3383.05143 7.71640e-18
3384.20338 8.70818e-18
3385.34532 8.45445e-18
3386.49728 8.20078e-18
3387.64923 8.21105e-18
3388.79117 8.22131e-18
3389.94312 8.19815e-18
3391.08506 8.17499e-18
3392.23702 8.06006e-18
3393.37895 7.94517e-18
3394.53091 8.88489e-18
3395.68286 9.82438e-18
3396.82480 9.46322e-18
3397.97676 9.10213e-18
3399.11870 9.24556e-18
3400.27065 9.38894e-18
3401.41259 8.62441e-18
3402.56454 7.86006e-18
3403.70648 7.94053e-18
3404.85844 8.02101e-18
3406.01039 9.00647e-18
3407.15233 9.99169e-18
3408.30428 9.79040e-18
3409.44622 9.58913e-18
3410.59818 9.20645e-18
3411.74012 8.82385e-18
3412.89207 8.88105e-18
3414.03401 8.93826e-18
3415.18596 9.67937e-18
3416.33792 1.04203e-17
3417.47986 1.06679e-17
3418.63181 1.09153e-17
3419.77375 1.04789e-17
3420.92570 1.00426e-17
3422.06764 1.02333e-17
3423.21960 1.04238e-17
3424.37155 1.04146e-17
3425.51349 1.04054e-17
3426.66545 1.10516e-17
3427.80738 1.16977e-17
3428.95934 1.17450e-17
3430.10128 1.17923e-17
3431.25323 1.18561e-17
3432.39517 1.19199e-17
3433.54712 1.19646e-17
3434.69908 1.20093e-17
3435.84102 1.17873e-17
3436.99297 1.15654e-17
3438.13491 1.18418e-17
3439.28687 1.21181e-17
3440.42880 1.19995e-17
3441.58076 1.18810e-17
3442.73271 1.24178e-17
3443.87465 1.29544e-17
3445.02661 1.27101e-17
3446.16854 1.24658e-17
3447.32050 1.23349e-17
3448.46244 1.22040e-17
3449.61439 1.18074e-17
3450.75633 1.14109e-17
3451.90829 1.15322e-17
3453.06024 1.16535e-17
3454.20218 1.22949e-17
3455.35413 1.29361e-17
3456.49607 1.23794e-17
3457.64803 1.18228e-17
3458.78996 1.15181e-17
3459.94192 1.12135e-17
3461.08386 1.18988e-17
3462.23581 1.25839e-17
3463.38777 1.25791e-17
3464.52971 1.25742e-17
3465.68166 1.20412e-17
3466.82360 1.15083e-17
3467.97555 1.12121e-17
3469.11749 1.09160e-17
3470.26945 1.09800e-17
3471.42140 1.10439e-17
3472.56334 1.15664e-17
3473.71529 1.20888e-17
3474.85723 1.20689e-17
3476.00919 1.20491e-17
3477.15113 1.15751e-17
3478.30308 1.11012e-17
3479.44502 1.07983e-17
3480.59697 1.04955e-17
3481.74893 1.07809e-17
3482.89087 1.10661e-17
3484.04282 1.12475e-17
3485.18476 1.14288e-17
3486.33671 1.08133e-17
3487.47865 1.01980e-17
3488.63061 1.04937e-17
3489.77254 1.07893e-17
3490.92450 1.07631e-17
3492.07646 1.07368e-17
3493.21839 1.05995e-17
3494.37035 1.04621e-17
3495.51229 1.05402e-17
3496.66424 1.06183e-17
3497.80618 1.09382e-17
3498.95813 1.12579e-17
3500.11009 1.15175e-17
3501.25203 1.17771e-17
3502.40398 1.15234e-17
3503.54592 1.12697e-17
3504.69788 1.09989e-17
3505.83981 1.07281e-17
3506.99177 1.06437e-17
3508.13371 1.05593e-17
3509.28566 1.05313e-17
3510.43762 1.05034e-17
3511.57955 1.01960e-17
3512.73151 9.88876e-18
3513.87345 1.03403e-17
3515.02540 1.07917e-17
3516.16734 1.11649e-17
3517.31930 1.15380e-17
3518.47125 1.11517e-17
3519.61319 1.07655e-17
3520.76514 1.05419e-17
3521.90708 1.03183e-17
3523.05904 1.03497e-17
3524.20097 1.03812e-17
3525.35293 1.07324e-17
3526.49487 1.10836e-17
3527.64682 1.08343e-17
3528.79878 1.05851e-17
3529.94071 1.05447e-17
3531.09267 1.05044e-17
3532.23461 1.08499e-17
3533.38656 1.11952e-17
3534.52850 1.08861e-17
3535.68046 1.05771e-17
3536.82239 1.03557e-17
3537.97435 1.01345e-17
3539.12630 1.03185e-17
3540.26824 1.05025e-17
3541.42020 1.06375e-17
3542.56214 1.07726e-17
3543.71409 1.07982e-17
3544.85603 1.08238e-17
3546.00798 1.09527e-17
3547.15994 1.10815e-17
3548.30188 1.12530e-17
3549.45383 1.14244e-17
3550.59577 1.10768e-17
3551.74772 1.07293e-17
3552.88966 1.07176e-17
3554.04162 1.07059e-17
3555.18356 1.06223e-17
3556.33551 1.05387e-17
3557.48747 1.06286e-17
3558.62940 1.07185e-17
3559.78136 1.07406e-17
3560.92330 1.07628e-17
3562.07525 1.10557e-17
3563.21719 1.13485e-17
3564.36914 1.12300e-17
3565.52110 1.11115e-17
3566.66304 1.09815e-17
3567.81499 1.08516e-17
3568.95693 1.09366e-17
3570.10889 1.10216e-17
3571.25082 1.11901e-17
3572.40278 1.13586e-17
3573.54472 1.10953e-17
