# wavelength flux
3206.51182 -8.46485e-19
3208.02439 2.20172e-19
3209.54697 1.28663e-18
3211.05954 4.52386e-19
3212.57210 -3.81703e-19
3214.09469 -2.35842e-19
3215.60726 -9.00070e-20
3217.12984 1.75718e-18
3218.64241 3.60401e-18
3220.16499 1.70042e-18
3221.67756 -2.02820e-19
3223.20014 8.87495e-20
3224.71271 3.80266e-19
3226.22528 4.54318e-19
3227.74786 5.28354e-19
3229.26043 1.36468e-19
3230.78301 -2.55342e-19
3232.29558 7.64734e-19
3233.81816 1.78461e-18
3235.33073 1.17149e-18
3236.85331 5.58484e-19
3238.36588 6.40944e-19
3239.87845 7.23389e-19
3241.40103 1.75697e-19
3242.91360 -3.71884e-19
3244.43618 -3.82134e-19
3245.94875 -3.92380e-19
3247.47133 3.58150e-19
3248.98390 1.10852e-18
3250.50648 1.33841e-18
3252.01905 1.56824e-18
3253.53162 7.42846e-19
3255.05420 -8.23762e-20
3256.56677 -4.93076e-20
3258.08935 -1.62403e-20
3259.60192 1.26789e-18
3261.12450 2.55174e-18
3262.63707 1.69005e-18
3264.15965 8.28543e-19
3265.67222 8.95593e-19
3267.18479 9.62636e-19
3268.70737 1.17042e-18
3270.21994 1.37815e-18
3271.74252 1.15477e-18
3273.25509 9.31423e-19
3274.77767 7.91224e-19
3276.29024 6.51058e-19
3277.81282 8.49441e-19
3279.32539 1.04778e-18
3280.83796 1.52025e-18
3282.36054 1.99261e-18
3283.87311 1.72979e-18
3285.39569 1.46702e-18
3286.90826 1.40238e-18
3288.43084 1.33776e-18
3289.94341 1.38754e-18
3291.46600 1.43730e-18
3292.97856 1.46700e-18
3294.49113 1.49669e-18
3296.01371 1.40659e-18
3297.52628 1.31651e-18
3299.04886 1.69739e-18
3300.56143 2.07819e-18
3302.08402 2.26462e-18
3303.59658 2.45100e-18
3305.11917 2.28568e-18
3306.63173 2.12039e-18
3308.14430 1.47685e-18
3309.66689 8.33457e-19
3311.17945 7.95527e-19
3312.70204 7.57615e-19
3314.21460 1.00084e-18
3315.73719 1.24400e-18
3317.24975 1.37435e-18
3318.77234 1.50466e-18
3320.28490 1.74211e-18
3321.79747 1.97950e-18
3323.32006 1.83775e-18
3324.83262 1.69602e-18
3326.35521 1.50898e-18
3327.86777 1.32199e-18
3329.39036 1.43612e-18
3330.90293 1.55023e-18
3332.42551 1.44402e-18
3333.93808 1.33784e-18
3335.45064 1.30736e-18
3336.97323 1.27690e-18
3338.48579 1.38782e-18
3340.00838 1.49872e-18
3341.52095 1.37203e-18
3343.04353 1.24537e-18
3344.55610 1.40314e-18
3346.07868 1.56088e-18
3347.59125 1.88989e-18
3349.10381 2.21882e-18
3350.62640 2.06504e-18
3352.13897 1.91130e-18
3353.66155 1.53687e-18
3355.17412 1.16253e-18
3356.69670 1.38548e-18
3358.20927 1.60839e-18
3359.73185 1.69299e-18
3361.24442 1.77756e-18
3362.75699 1.71431e-18
3364.27957 1.65108e-18
3365.79214 1.70582e-18
3367.31472 1.76054e-18
3368.82729 1.97235e-18
3370.34987 2.18410e-18
3371.86244 2.38172e-18
3373.38502 2.57929e-18
3374.89759 2.52223e-18
3376.41016 2.46517e-18
3377.93274 2.26453e-18
3379.44531 2.06394e-18
3380.96789 2.44322e-18
3382.48046 2.82241e-18
3384.00304 2.78223e-18
3385.51561 2.74205e-18
3387.03819 2.56978e-18
3388.55076 2.39756e-18
3390.06333 2.57483e-18
3391.58591 2.75206e-18
3393.09848 2.89643e-18
3394.62106 3.04075e-18
3396.13363 3.06063e-18
3397.65621 3.08051e-18
3399.16878 3.02140e-18
3400.69136 2.96230e-18
3402.20393 2.94419e-18
3403.71650 2.92608e-18
3405.23908 2.95935e-18
3406.75165 2.99260e-18
3408.27423 3.07559e-18
3409.78680 3.15855e-18
3411.30938 2.90514e-18
3412.82195 2.65178e-18
3414.34454 2.87821e-18
3415.85710 3.10459e-18
3417.36967 3.44621e-18
3418.89225 3.78775e-18
3420.40482 3.61842e-18
3421.92740 3.44912e-18
3423.43997 3.30570e-18
3424.96256 3.16233e-18
3426.47512 3.31254e-18
3427.99771 3.46273e-18
3429.51027 3.18878e-18
3431.02284 2.91489e-18
3432.54542 2.98199e-18
3434.05799 3.04908e-18
3435.58057 3.23049e-18
3437.09314 3.41185e-18
3438.61573 3.33855e-18
3440.12829 3.26527e-18
3441.65088 3.11515e-18
3443.16344 2.96508e-18
3444.67601 2.92347e-18
3446.19859 2.88187e-18
3447.71116 2.74711e-18
3449.23375 2.61239e-18
3450.74631 2.59403e-18
3452.26890 2.57569e-18
3453.78146 2.59547e-18
3455.30405 2.61526e-18
3456.81661 2.60340e-18
3458.32918 2.59155e-18
3459.85177 2.51449e-18
3461.36433 2.43745e-18
3462.88692 2.54244e-18
3464.39948 2.64742e-18
3465.92207 2.62319e-18
3467.43464 2.59896e-18
3468.95722 2.68766e-18
3470.46979 2.77634e-18
3471.98235 2.69318e-18
3473.50494 2.61003e-18
3475.01750 2.72725e-18
3476.54009 2.84444e-18
3478.05266 2.86365e-18
3479.57524 2.88285e-18
3481.08781 2.82683e-18
3482.61039 2.77082e-18
3484.12296 2.85722e-18
3485.63552 2.94360e-18
3487.15811 2.77992e-18
3488.67068 2.61627e-18
3490.19326 2.73838e-18
3491.70583 2.86046e-18
3493.22841 2.84124e-18
3494.74098 2.82202e-18
3496.26356 2.77038e-18
3497.77613 2.71874e-18
3499.28870 2.77326e-18
3500.81128 2.82776e-18
3502.32385 2.69126e-18
3503.84643 2.55477e-18
3505.35900 2.59463e-18
3506.88158 2.63449e-18
3508.39415 2.67585e-18
3509.91673 2.71720e-18
3511.42930 2.71436e-18
3512.94187 2.71152e-18
3514.46445 2.74310e-18
3515.97702 2.77468e-18
3517.49960 2.69559e-18
3519.01217 2.61651e-18
3520.53475 2.82349e-18
3522.04732 3.03043e-18
3523.56990 2.79956e-18
3525.08247 2.56873e-18
3526.59504 2.54786e-18
3528.11762 2.52700e-18
3529.63019 2.63799e-18
3531.15277 2.74895e-18
3532.66534 2.75346e-18
3534.18792 2.75797e-18
3535.70049 2.63614e-18
3537.22307 2.51433e-18
3538.73564 2.61358e-18
3540.24821 2.71281e-18
3541.77079 2.67802e-18
3543.28336 2.64324e-18
3544.80594 2.68768e-18
3546.31851 2.73211e-18
3547.84109 2.77596e-18
3549.35366 2.81979e-18
3550.87624 2.91351e-18
3552.38881 3.00720e-18
3553.90138 2.97399e-18
3555.42396 2.94078e-18
3556.93653 2.96640e-18
3558.45911 2.99203e-18
3559.97168 2.87733e-18
3561.49426 2.76265e-18
3563.00683 2.77431e-18
3564.52942 2.78598e-18
3566.04198 2.65519e-18
3567.55455 2.52443e-18
3569.07713 2.58467e-18
3570.58970 2.64491e-18
3572.11229 2.73238e-18
3573.62485 2.81982e-18
3575.14744 2.83592e-18
3576.66000 2.85201e-18
3578.18259 2.87171e-18
3579.69515 2.89140e-18
3581.21774 2.86288e-18
3582.73031 2.83435e-18
3584.24287 2.85054e-18
3585.76546 2.86673e-18
3587.27802 2.87229e-18
3588.80061 2.87786e-18
3590.31317 2.87571e-18
3591.83576 2.87357e-18
3593.34832 2.90758e-18
3594.86089 2.94158e-18
3596.38348 2.93674e-18
3597.89604 2.93190e-18
3599.41863 2.99878e-18
3600.93119 3.06565e-18
3602.45378 3.11421e-18
3603.96634 3.16276e-18
3605.48893 3.02932e-18
3607.00150 2.89591e-18
3608.52408 2.80919e-18
3610.03665 2.72250e-18
3611.54921 2.78024e-18
3613.07180 2.83797e-18
3614.58437 2.80077e-18
3616.10695 2.76357e-18
3617.61952 2.62183e-18
3619.14210 2.48012e-18
3620.65467 2.54477e-18
3622.16723 2.60943e-18
3623.68982 2.62389e-18
3625.20239 2.63836e-18
3626.72497 2.65361e-18
3628.23754 2.66886e-18
3629.76012 2.63310e-18
3631.27269 2.59735e-18
3632.79527 2.50048e-18
3634.30784 2.40364e-18
3635.83042 2.47209e-18
3637.34299 2.54054e-18
3638.85556 2.53780e-18
3640.37814 2.53506e-18
3641.89071 2.60917e-18
3643.41329 2.68326e-18
3644.92586 2.84548e-18
3646.44844 3.00768e-18
3647.96101 2.93780e-18
3649.48359 2.86793e-18
3650.99616 2.94600e-18
3652.50873 3.02407e-18
3654.03131 3.16615e-18
3655.54388 3.30819e-18
3657.06646 3.23466e-18
3658.57903 3.16112e-18
3660.10161 3.39989e-18
3661.61418 3.63863e-18
3663.13676 3.70975e-18
3664.64933 3.78085e-18
3666.16190 3.81729e-18
3667.68448 3.85373e-18
3669.19705 3.90494e-18
3670.71963 3.95615e-18
3672.23220 4.01985e-18
3673.75478 4.08353e-18
3675.26735 4.03694e-18
3676.78994 3.99036e-18
3678.30250 4.13324e-18
3679.81507 4.27612e-18
3681.33765 4.32779e-18
3682.85022 4.37945e-18
3684.37280 4.60735e-18
3685.88537 4.83522e-18
3687.40796 4.80145e-18
3688.92052 4.76766e-18
3690.44311 4.83961e-18
3691.95567 4.91155e-18
3693.46824 5.03808e-18
3694.99082 5.16458e-18
3696.50339 5.11320e-18
3698.02598 5.06181e-18
3699.53854 5.11856e-18
3701.06113 5.17530e-18
3702.57369 5.22570e-18
3704.09628 5.27608e-18
3705.60884 5.13434e-18
3707.12141 4.99262e-18
3708.64399 4.97239e-18
3710.15656 4.95217e-18
3711.67915 4.98350e-18
3713.19171 5.01482e-18
3714.71430 4.88167e-18
3716.22686 4.74854e-18
3717.74945 4.66074e-18
3719.26201 4.57296e-18
3720.77458 4.50096e-18
3722.29717 4.42897e-18
3723.80973 4.34927e-18
3725.33232 4.26958e-18
3726.84488 4.09512e-18
3728.36747 3.92069e-18
3729.88004 3.74045e-18
3731.40262 3.56024e-18
3732.91519 3.40721e-18
3734.42775 3.25421e-18
3735.95034 3.22062e-18
3737.46290 3.18704e-18
3738.98549 3.02572e-18
