# wavelength flux
3205.99597 7.37566e-18
3207.94955 7.35002e-18
3209.90313 7.17612e-18
3211.84664 7.19023e-18
3213.80022 7.05795e-18
3215.75380 7.29444e-18
3217.69731 7.28246e-18
3219.65089 7.34563e-18
3221.60447 7.04906e-18
3223.54798 6.84942e-18
3225.50156 6.90612e-18
3227.44507 6.90023e-18
3229.39865 6.84967e-18
3231.35223 6.69886e-18
3233.29574 6.90960e-18
3235.24932 6.77289e-18
3237.20290 6.93089e-18
3239.14641 7.15863e-18
3241.09999 6.97134e-18
3243.05357 7.03588e-18
3244.99708 6.97457e-18
3246.95066 6.77773e-18
3248.90424 6.85071e-18
3250.84775 7.05103e-18
3252.80133 6.87104e-18
3254.75491 7.18017e-18
3256.69842 7.14654e-18
3258.65200 7.04321e-18
3260.59551 6.89412e-18
3262.54909 7.06062e-18
3264.50267 7.17498e-18
3266.44618 7.45132e-18
3268.39976 7.74579e-18
3270.35334 7.69344e-18
3272.29685 7.45494e-18
3274.25043 7.48571e-18
3276.20401 7.44988e-18
3278.14752 7.46115e-18
3280.10110 7.66270e-18
3282.05468 7.50393e-18
3283.99819 7.41657e-18
3285.95177 7.63011e-18
3287.89528 7.55984e-18
3289.84886 7.53168e-18
3291.80244 7.72566e-18
3293.74595 7.85453e-18
3295.69953 7.69763e-18
3297.65311 7.76105e-18
3299.59662 8.05802e-18
3301.55020 8.04119e-18
3303.50378 7.99519e-18
3305.44729 7.83779e-18
3307.40087 7.87328e-18
3309.35445 7.89473e-18
3311.29796 7.80265e-18
3313.25154 7.75972e-18
3315.20512 7.87370e-18
3317.14863 8.10571e-18
3319.10221 8.08680e-18
3321.04572 8.00852e-18
3322.99930 8.35237e-18
3324.95288 8.44139e-18
3326.89639 8.30495e-18
3328.84997 8.31356e-18
3330.80355 8.20306e-18
3332.74706 8.47071e-18
3334.70064 8.67287e-18
3336.65422 8.65623e-18
3338.59773 8.55007e-18
3340.55131 8.37862e-18
3342.50489 8.24110e-18
3344.44840 8.26868e-18
3346.40198 8.16463e-18
3348.34549 8.53688e-18
3350.29907 9.05017e-18
3352.25265 9.07038e-18
3354.19616 9.03129e-18
3356.14974 8.95360e-18
3358.10332 9.01847e-18
3360.04683 9.27303e-18
3362.00041 9.07697e-18
3363.95399 9.19656e-18
3365.89750 9.55704e-18
3367.85108 9.58337e-18
3369.80466 9.58368e-18
3371.74817 9.68993e-18
3373.70175 9.75818e-18
3375.64526 9.64197e-18
3377.59884 9.84193e-18
3379.55242 9.86052e-18
3381.49593 9.62054e-18
3383.44951 9.77025e-18
3385.40309 1.00591e-17
3387.34660 1.00197e-17
3389.30018 1.01383e-17
3391.25376 1.03590e-17
3393.19727 1.03910e-17
3395.15085 1.05731e-17
3397.10443 1.04967e-17
3399.04794 1.02589e-17
3401.00152 1.02463e-17
3402.94503 1.03494e-17
3404.89861 1.04200e-17
3406.85219 1.04751e-17
3408.79570 1.04965e-17
3410.74928 1.05837e-17
3412.70286 1.05718e-17
3414.64637 1.07123e-17
3416.59995 1.07782e-17
3418.55353 1.07894e-17
3420.49704 1.06910e-17
3422.45062 1.06740e-17
3424.40420 1.06015e-17
3426.34771 1.06192e-17
3428.30129 1.07827e-17
3430.25487 1.07590e-17
3432.19838 1.07564e-17
3434.15196 1.09067e-17
3436.09547 1.09316e-17
3438.04905 1.07817e-17
3440.00263 1.08749e-17
3441.94614 1.07753e-17
3443.89972 1.06999e-17
3445.85330 1.08943e-17
3447.79681 1.08562e-17
3449.75039 1.09400e-17
3451.70397 1.10754e-17
3453.64748 1.11291e-17
3455.60106 1.09259e-17
3457.55464 1.07650e-17
3459.49815 1.08745e-17
3461.45173 1.09562e-17
3463.39524 1.09809e-17
3465.34882 1.09051e-17
3467.30240 1.08243e-17
3469.24591 1.08237e-17
3471.19949 1.07874e-17
3473.15307 1.06176e-17
3475.09658 1.07301e-17
3477.05016 1.08870e-17
3479.00374 1.07770e-17
3480.94725 1.08407e-17
3482.90083 1.07362e-17
3484.85441 1.04864e-17
3486.79792 1.05221e-17
3488.75150 1.04851e-17
3490.70508 1.04816e-17
3492.64859 1.04519e-17
3494.60217 1.04377e-17
3496.54568 1.05824e-17
3498.49926 1.06082e-17
3500.45284 1.03286e-17
3502.39635 1.02386e-17
3504.34993 1.04880e-17
3506.30351 1.04979e-17
3508.24702 1.03140e-17
3510.20060 1.02808e-17
3512.15418 1.02811e-17
3514.09769 1.02940e-17
3516.05127 1.02690e-17
3518.00485 1.02379e-17
3519.94836 1.01622e-17
3521.90194 1.00640e-17
3523.84545 1.00937e-17
3525.79903 1.01199e-17
3527.75261 1.00839e-17
3529.69612 1.00761e-17
3531.64970 1.02587e-17
3533.60328 1.00890e-17
3535.54679 1.00034e-17
3537.50037 1.00122e-17
3539.45395 9.96320e-18
3541.39746 1.01719e-17
3543.35104 1.02258e-17
3545.30462 1.00230e-17
3547.24813 9.99663e-18
3549.20171 1.01774e-17
3551.14522 1.02552e-17
3553.09880 1.02098e-17
3555.05238 1.01494e-17
3556.99589 1.02817e-17
3558.94947 1.03613e-17
3560.90305 1.02036e-17
3562.84656 1.00323e-17
3564.80014 1.01792e-17
3566.75372 1.02056e-17
3568.69723 1.02698e-17
3570.65081 1.04913e-17
3572.60439 1.03977e-17
3574.54790 1.02800e-17
3576.50148 1.02706e-17
3578.44499 1.02210e-17
3580.39857 1.02564e-17
3582.35215 1.03180e-17
3584.29566 1.03357e-17
3586.24924 1.03001e-17
3588.20282 1.03319e-17
3590.14633 1.03221e-17
3592.09991 1.03178e-17
3594.05349 1.05488e-17
3595.99700 1.07846e-17
3597.95058 1.07920e-17
3599.90416 1.06556e-17
3601.84767 1.07422e-17
3603.80125 1.07538e-17
3605.75483 1.06429e-17
3607.69834 1.07878e-17
3609.65192 1.08991e-17
3611.59543 1.06969e-17
3613.54901 1.05625e-17
3615.50259 1.06199e-17
3617.44610 1.04401e-17
3619.39968 1.01566e-17
3621.35326 1.01563e-17
3623.29677 1.00893e-17
3625.25035 9.89379e-18
3627.20393 9.73690e-18
3629.14744 9.62392e-18
3631.10102 9.68100e-18
3633.05460 9.52625e-18
3634.99811 9.29918e-18
3636.95169 9.34085e-18
3638.89520 9.30672e-18
3640.84878 9.07654e-18
3642.80236 9.00115e-18
3644.74587 9.03156e-18
3646.69945 8.93997e-18
3648.65303 8.87152e-18
3650.59654 8.73879e-18
3652.55012 8.65556e-18
3654.50370 8.61932e-18
3656.44721 8.55753e-18
3658.40079 8.54651e-18
3660.35437 8.48450e-18
3662.29788 8.30563e-18
3664.25146 8.12424e-18
3666.20504 8.13679e-18
3668.14855 8.05949e-18
3670.10213 7.83106e-18
3672.04564 7.73760e-18
3673.99922 7.61902e-18
3675.95280 7.37723e-18
3677.89631 7.31207e-18
3679.84989 7.32482e-18
3681.80347 7.22089e-18
3683.74698 7.10363e-18
3685.70056 7.07670e-18
3687.65414 6.94935e-18
3689.59765 6.91617e-18
3691.55123 7.11911e-18
3693.50481 7.02004e-18
3695.44832 6.75898e-18
3697.40190 6.68975e-18
3699.34541 6.66506e-18
3701.29899 6.65493e-18
3703.25257 6.60753e-18
3705.19608 6.56310e-18
3707.14966 6.54308e-18
3709.10324 6.50481e-18
3711.04675 6.34853e-18
3713.00033 6.40506e-18
3714.95391 6.38471e-18
3716.89742 6.34580e-18
3718.85100 6.30014e-18
3720.80458 6.25150e-18
3722.74809 6.21610e-18
3724.70167 6.21095e-18
3726.64518 6.14994e-18
3728.59876 6.17332e-18
3730.55234 6.16206e-18
3732.49585 6.22397e-18
3734.44943 6.26244e-18
3736.40301 6.30091e-18
3738.34652 6.34520e-18
3740.30010 6.38948e-18
3742.25368 6.43376e-18
3744.19719 6.47803e-18
3746.15077 6.52230e-18
3748.10435 6.56658e-18
3750.04786 6.61084e-18
3752.00144 6.65511e-18
3753.94495 6.69936e-18
3755.89853 6.74362e-18
3757.85211 6.78788e-18
3759.79562 6.83213e-18
3761.74920 6.87638e-18
3763.70278 6.92063e-18
3765.64629 6.96486e-18
3767.59987 7.00911e-18
3769.55345 7.05335e-18
3771.49696 7.09758e-18
3773.45054 7.14181e-18
3775.40412 7.23903e-18
3777.34763 7.21235e-18
3779.30121 7.25327e-18
3781.25479 7.42821e-18
3783.19830 7.55468e-18
3785.15188 7.66188e-18
3787.09539 7.85178e-18
3789.04897 8.11003e-18
3791.00255 8.34912e-18
3792.94606 8.52151e-18
3794.89964 8.64833e-18
3796.85322 8.79950e-18
3798.79673 8.92158e-18
3800.75031 8.95516e-18
3802.70389 9.10155e-18
3804.64740 9.40003e-18
3806.60098 9.50954e-18
3808.55456 9.74691e-18
3810.49807 9.98332e-18
3812.45165 1.02860e-17
3814.39516 1.06557e-17
3816.34874 1.08770e-17
3818.30232 1.12161e-17
3820.24583 1.14786e-17
3822.19941 1.17519e-17
3824.15299 1.20971e-17
3826.09650 1.22600e-17
3828.05008 1.26096e-17
3830.00366 1.30311e-17
3831.94717 1.34371e-17
3833.90075 1.37773e-17
3835.85433 1.38160e-17
3837.79784 1.40327e-17
3839.75142 1.44526e-17
3841.70500 1.47655e-17
3843.64851 1.49894e-17
3845.60209 1.51357e-17
3847.54560 1.54354e-17
3849.49918 1.57239e-17
3851.45276 1.58152e-17
3853.39627 1.57009e-17
3855.34985 1.59838e-17
3857.30343 1.62191e-17
3859.24694 1.63841e-17
3861.20052 1.65734e-17
3863.15410 1.67853e-17
3865.09761 1.67281e-17
3867.05119 1.70197e-17
3869.00477 1.71649e-17
3870.94828 1.73573e-17
3872.90186 1.70416e-17
3874.84537 1.70568e-17
3876.79895 1.71369e-17
3878.75253 1.69280e-17
3880.69604 1.67141e-17
3882.64962 1.64975e-17
3884.60320 1.60374e-17
