# wavelength flux
3473.99895 3.31602e-18
3475.46917 3.35955e-18
3476.93939 1.88157e-18
3478.40961 -3.73600e-19
3479.87983 3.30153e-18
3481.35005 7.81371e-18
3482.82027 5.52355e-18
3484.29049 3.31586e-18
3485.76071 7.03709e-18
3487.23093 4.42950e-18
3488.70115 3.42796e-18
3490.17137 -4.86839e-19
3491.64159 2.76911e-18
3493.11181 3.61697e-18
3494.58203 3.78819e-18
3496.05225 2.69205e-18
3497.52247 1.76612e-18
3498.99269 1.15368e-18
3500.46291 6.01534e-19
3501.93313 -7.08037e-19
3503.40335 2.05609e-18
3504.87357 3.09992e-18
3506.34379 2.49372e-18
3507.81401 3.40667e-18
3509.28423 3.94654e-18
3510.75445 1.21730e-18
3512.22467 -1.15656e-19
3513.69489 5.89169e-18
3515.15504 9.05278e-18
3516.62526 4.10541e-18
3518.09548 1.51457e-18
3519.56570 4.02895e-18
3521.03592 2.99214e-18
3522.50614 6.69577e-19
3523.97636 -7.79000e-20
3525.44658 1.95845e-19
3526.91680 -5.42448e-19
3528.38702 -3.88427e-19
3529.85724 7.74239e-18
3531.32746 6.23765e-18
3532.79768 2.94435e-18
3534.26790 1.57229e-18
3535.73812 3.54041e-19
3537.20834 4.29192e-18
3538.67856 5.03371e-18
3540.14878 4.92930e-18
3541.61900 4.41723e-18
3543.08922 1.86056e-18
3544.55944 4.18016e-18
3546.02966 3.37437e-18
3547.49988 2.65894e-18
3548.97010 2.88410e-18
3550.44032 2.58679e-18
3551.91054 3.45706e-19
3553.38076 4.15411e-19
3554.85098 1.97733e-18
3556.32120 3.32661e-18
3557.79142 5.10783e-18
3559.26164 4.84077e-18
3560.73186 2.88573e-18
3562.20208 3.83066e-18
3563.67230 5.15829e-18
3565.14252 2.75354e-18
3566.61274 5.62502e-18
3568.08296 4.79965e-18
3569.55318 5.08471e-19
3571.02340 -1.66074e-18
3572.49362 -1.68699e-20
3573.96384 4.34513e-18
3575.43406 7.24344e-18
3576.90428 7.31987e-18
3578.37450 5.41496e-18
3579.84472 1.93451e-18
3581.31494 3.88805e-18
3582.78516 6.03847e-18
3584.24531 2.87510e-18
3585.71553 1.99962e-18
3587.18575 4.05800e-18
3588.65597 8.94947e-19
3590.12619 1.32802e-18
3591.59641 2.63976e-18
3593.06663 3.42294e-18
3594.53685 1.34195e-18
3596.00707 1.05178e-18
3597.47729 2.06983e-18
3598.94751 2.14159e-18
3600.41773 3.92641e-18
3601.88795 3.81535e-18
