# wavelength flux
3491.65808 2.29574e-18
3493.65724 3.59891e-18
3495.64634 3.69250e-18
3497.64550 5.18541e-18
3499.63461 7.16995e-18
3501.63376 2.03275e-18
3503.63291 1.56644e-18
3505.62202 3.72925e-18
3507.62118 3.31837e-18
3509.62033 -2.56966e-19
3511.60944 1.89072e-18
3513.60859 -9.96004e-19
3515.59770 1.46256e-18
3517.59685 1.13774e-18
3519.59601 -2.21802e-18
3521.58512 -1.32658e-18
3523.58427 -1.56239e-18
3525.57338 -1.73677e-18
3527.57253 -3.32225e-19
3529.57169 5.75957e-19
3531.56079 3.00660e-18
3533.55995 1.03760e-18
3535.54906 -5.71803e-19
3537.54821 1.05554e-18
3539.54736 1.18650e-18
3541.53647 1.20993e-18
3543.53563 2.96436e-18
3545.52473 2.14233e-18
3547.52389 3.31819e-18
3549.52304 1.80277e-18
3551.51215 8.34979e-20
3553.51130 -2.16671e-18
3555.51046 1.71749e-18
3557.49957 6.87405e-20
3559.49872 4.55341e-19
3561.48783 1.58257e-18
3563.48698 3.29712e-18
3565.48614 2.40776e-18
3567.47524 2.92096e-18
3569.47440 6.35850e-19
3571.46351 2.85521e-18
3573.46266 3.06636e-18
3575.46181 1.36671e-18
3577.45092 6.69846e-19
3579.45008 1.59471e-18
3581.43918 -3.82321e-19
3583.43834 7.86751e-19
3585.43749 4.05968e-18
3587.42660 5.88141e-19
3589.42575 -6.88945e-19
3591.42491 2.52792e-18
3593.41402 1.27375e-18
3595.41317 2.34891e-18
3597.40228 6.35978e-19
3599.40143 6.98047e-19
3601.40059 1.17724e-20
3603.38969 -6.25255e-21
3605.38885 -2.70583e-19
3607.37796 4.86652e-19
3609.37711 1.63746e-18
3611.37626 2.54600e-18
3613.36537 2.63531e-18
3615.36453 4.26262e-18
3617.35363 -2.58964e-19
3619.35279 -2.23703e-18
3621.35194 5.97063e-19
3623.34105 3.86409e-19
3625.34020 1.00468e-19
3627.33936 5.94817e-19
3629.32847 -2.95723e-19
3631.32762 1.26044e-18
3633.31673 9.31639e-19
3635.31588 -2.68542e-19
3637.31504 2.99060e-18
3639.30414 -1.15095e-18
3641.30330 -3.42616e-19
3643.29241 9.69921e-20
3645.29156 1.33748e-18
3647.29071 1.09855e-18
3649.27982 -6.26835e-19
3651.27898 -1.08249e-18
3653.26808 2.84307e-18
3655.26724 3.96581e-18
3657.26639 2.25956e-18
3659.25550 8.89210e-19
3661.25465 1.57359e-18
3663.24376 5.59432e-19
3665.24292 1.02533e-18
3667.24207 2.02651e-18
3669.23118 8.56913e-19
3671.23033 -1.01596e-18
3673.22949 1.32117e-18
3675.21859 1.28448e-18
3677.21775 -3.90449e-19
3679.20686 1.77719e-18
3681.20601 1.25088e-18
3683.20516 7.76921e-19
3685.19427 -1.53823e-19
3687.19343 1.76054e-19
3689.18253 2.26490e-18
3691.18169 2.40894e-18
3693.18084 2.93532e-19
3695.16995 1.50291e-18
3697.16910 2.14107e-18
3699.15821 1.03544e-18
3701.15737 -5.77287e-19
3703.15652 3.95300e-19
3705.14563 5.94591e-19
3707.14478 4.02904e-20
3709.14394 9.23683e-19
3711.13304 8.80638e-19
3713.13220 8.38482e-19
3715.12131 4.61613e-19
3717.12046 -1.35389e-18
3719.11961 1.28550e-18
3721.10872 2.22385e-18
3723.10788 1.45460e-18
3725.09698 1.48200e-18
3727.09614 1.50939e-18
3729.09529 1.62734e-18
3731.08440 1.74526e-18
3733.08355 1.86316e-18
3735.07266 1.98106e-18
3737.07182 2.09895e-18
3739.07097 2.21682e-18
3741.06008 2.33469e-18
3743.05923 2.45255e-18
3745.04834 2.57040e-18
3747.04749 2.68823e-18
3749.04665 2.80606e-18
3751.03576 2.92387e-18
3753.03491 3.04168e-18
3755.03406 3.15948e-18
3757.02317 3.27727e-18
3759.02233 3.39504e-18
3761.01143 3.51281e-18
3763.01059 3.63057e-18
3765.00974 3.74833e-18
3766.99885 1.66103e-18
3768.99800 -9.91104e-20
3770.98711 4.56977e-19
3772.98627 2.23318e-18
3774.98542 2.21468e-18
3776.97453 3.05458e-19
3778.97368 3.01706e-18
3780.96279 1.72944e-18
3782.96194 9.67054e-19
3784.96110 3.37378e-19
3786.95021 1.64365e-18
3788.94936 6.48665e-19
3790.93847 5.97518e-19
3792.93762 1.87332e-18
3794.93678 2.02107e-18
3796.92588 3.66821e-18
3798.92504 1.74324e-18
3800.92419 3.39669e-19
3802.91330 -5.74381e-19
3804.91245 -7.26883e-19
3806.90156 2.77521e-19
3808.90072 1.20399e-18
3810.89987 1.72946e-18
3812.88898 2.23221e-18
3814.88813 1.03675e-18
3816.87724 5.11801e-19
3818.87639 8.96061e-19
3820.87555 1.93819e-18
3822.86466 8.11719e-19
3824.86381 1.63225e-18
3826.85292 1.25539e-18
3828.85207 -1.78637e-19
3830.85123 1.27683e-18
3832.84033 1.50205e-18
3834.83949 1.36635e-18
3836.83864 1.16676e-18
3838.82775 2.33545e-19
3840.82690 1.16245e-18
3842.81601 1.34120e-18
3844.81517 7.85984e-19
3846.81432 1.22592e-18
3848.80343 2.61249e-18
3850.80258 2.07373e-18
3852.79169 7.84324e-19
3854.79084 1.12515e-18
3856.79000 1.49444e-18
3858.77911 7.63586e-19
3860.77826 -3.67931e-19
3862.76737 1.00866e-18
3864.76652 1.04649e-18
3866.76568 -4.49515e-19
3868.75478 -4.33197e-19
3870.75394 2.51793e-19
3872.74305 7.82898e-19
3874.74220 9.66397e-19
3876.74135 1.53949e-18
3878.73046 1.31651e-18
3880.72962 4.37659e-19
3882.72877 1.76786e-18
3884.71788 -1.64870e-19
3886.71703 -5.21776e-19
3888.70614 9.19253e-19
3890.70529 1.65490e-18
3892.70445 5.75936e-19
3894.69356 1.40301e-18
3896.69271 2.34548e-18
3898.68182 1.32220e-18
3900.68097 2.06659e-18
3902.68013 7.14516e-19
3904.66923 1.60781e-18
3906.66839 2.58664e-18
3908.65750 2.42538e-18
3910.65665 2.14347e-18
3912.65580 2.42137e-18
3914.64491 3.07560e-18
3916.64407 1.85778e-18
3918.64322 1.82198e-18
3920.63233 1.25944e-18
3922.63148 2.13238e-18
3924.62059 1.59095e-18
3926.61974 8.41632e-20
3928.61890 7.59895e-19
3930.60801 1.55113e-18
3932.60716 1.80117e-18
3934.59627 3.78989e-19
3936.59542 7.67174e-20
3938.59458 2.12994e-18
3940.58368 2.11107e-18
3942.58284 7.72596e-19
3944.57195 1.40831e-18
3946.57110 5.45575e-19
3948.57025 6.82230e-19
3950.55936 2.02850e-18
3952.55852 2.26278e-18
3954.55767 2.86530e-18
3956.54678 1.57976e-18
3958.54593 6.57026e-19
3960.53504 1.77221e-18
3962.53419 1.49459e-18
3964.53335 1.55356e-18
3966.52246 2.35719e-18
3968.52161 2.60943e-18
3970.51072 1.62432e-18
3972.50987 2.02599e-18
3974.50903 1.63082e-18
3976.49813 1.17631e-18
3978.49729 2.51445e-18
3980.48640 3.19243e-18
3982.48555 2.99572e-18
3984.48470 1.01735e-18
3986.47381 1.58099e-18
3988.47297 2.46872e-18
3990.46207 2.12333e-18
3992.46123 2.53762e-18
3994.46038 3.13770e-18
3996.44949 2.16402e-18
3998.44864 1.43166e-18
4000.44780 2.02486e-18
4002.43691 1.72254e-18
4004.43606 1.77442e-18
4006.42517 1.65458e-18
4008.42432 1.94001e-18
4010.42348 2.80939e-18
4012.41258 3.33780e-18
4014.41174 1.81877e-18
4016.40085 2.56533e-18
4018.40000 2.61170e-18
4020.39915 2.05540e-18
4022.38826 2.07141e-18
4024.38742 2.83340e-18
4026.37652 2.26831e-18
4028.37568 2.72437e-18
4030.37483 1.64629e-18
4032.36394 1.46079e-18
4034.36309 1.46455e-18
4036.36225 2.26247e-18
4038.35136 2.44713e-18
4040.35051 2.97656e-18
4042.33962 2.39637e-18
4044.33877 2.45161e-18
4046.33793 1.45840e-18
4048.32703 1.18063e-18
4050.32619 2.22531e-18
4052.31530 2.01039e-18
4054.31445 2.50260e-18
4056.31360 2.76680e-18
4058.30271 2.56294e-18
4060.30187 1.01783e-18
4062.29097 1.43887e-18
4064.29013 3.32236e-18
4066.28928 2.31315e-18
4068.27839 2.00892e-18
4070.27754 3.19907e-18
4072.26665 3.35268e-18
4074.26581 1.91405e-18
4076.26496 2.27948e-18
4078.25407 2.38940e-18
4080.25322 2.25020e-18
4082.25238 9.22861e-19
4084.24148 2.83444e-18
4086.24064 3.45536e-18
4088.22975 1.60952e-18
4090.22890 1.75048e-18
4092.22805 1.54416e-18
4094.21716 1.80845e-18
4096.21632 1.08820e-18
4098.20542 2.52263e-18
4100.20458 2.30367e-18
4102.20373 1.44573e-18
4104.19284 2.85790e-18
4106.19199 4.43601e-18
4108.18110 3.46771e-18
4110.18026 2.95279e-18
4112.17941 2.87684e-18
4114.16852 2.88821e-18
4116.16767 1.77863e-18
4118.16683 1.13316e-18
4120.15593 1.95185e-18
4122.15509 2.23145e-18
4124.14420 2.44932e-18
4126.14335 3.84459e-18
4128.14250 2.07790e-18
4130.13161 2.12984e-18
4132.13077 2.17440e-18
4134.11987 1.60257e-18
4136.11903 2.57305e-18
4138.11818 2.89785e-18
4140.10729 2.15075e-18
4142.10644 2.57487e-18
4144.09555 1.90371e-18
4146.09471 1.31220e-18
4148.09386 1.47303e-18
4150.08297 2.25404e-18
4152.08212 2.71597e-18
4154.07123 2.52819e-18
4156.07038 3.20318e-18
4158.06954 2.74281e-18
4160.05865 1.47292e-18
4162.05780 2.23661e-18
4164.05695 2.42057e-18
4166.04606 1.97421e-18
4168.04522 1.68360e-18
4170.03432 1.54905e-18
4172.03348 1.15831e-18
4174.03263 1.13880e-18
4176.02174 1.91786e-18
4178.02089 1.82563e-18
4180.01000 8.66360e-19
4182.00916 2.64698e-18
4184.00831 2.53696e-18
4185.99742 1.29258e-18
4187.99657 1.74635e-18
4189.98568 2.51200e-18
4191.98483 2.18023e-18
4193.98399 2.45725e-18
4195.97310 2.18499e-18
4197.97225 2.00104e-18
4199.96136 2.61474e-18
4201.96051 2.26853e-18
4203.95967 2.39859e-18
4205.94877 1.41478e-18
4207.94793 2.30494e-18
4209.94708 2.21548e-18
4211.93619 2.36866e-18
4213.93534 3.42618e-18
4215.92445 3.98282e-18
4217.92361 2.67139e-18
4219.92276 2.73092e-18
4221.91187 1.06105e-18
4223.91102 1.72678e-18
4225.90013 1.27677e-18
4227.89928 1.85979e-18
4229.89844 1.68527e-18
4231.88755 1.36980e-18
4233.88670 1.45228e-18
4235.87581 1.33539e-18
4237.87496 1.42139e-18
