# wavelength flux
3473.99808 1.08416e-17
3475.47087 1.07419e-17
3476.94366 1.09499e-17
3478.40644 1.18416e-17
3479.87923 1.10178e-17
3481.35203 1.09553e-17
3482.82482 1.13075e-17
3484.28759 1.11787e-17
3485.76039 1.14757e-17
3487.23318 1.20710e-17
3488.69595 1.14384e-17
3490.16875 1.07277e-17
3491.64154 1.05253e-17
3493.11433 1.11148e-17
3494.57710 1.14331e-17
3496.04990 1.13700e-17
3497.52269 1.20030e-17
3498.98546 1.21178e-17
3500.45826 1.20121e-17
3501.93105 1.18586e-17
3503.40384 1.17462e-17
3504.86662 1.18003e-17
3506.33941 1.17341e-17
3507.81220 1.22811e-17
3509.28500 1.24701e-17
3510.74777 1.22176e-17
3512.22056 1.18018e-17
3513.69336 1.16009e-17
3515.15613 1.22018e-17
3516.62892 1.20162e-17
3518.10172 1.16978e-17
3519.57451 1.14984e-17
3521.03728 1.17868e-17
3522.51008 1.19200e-17
3523.98287 1.16611e-17
3525.44564 1.10427e-17
3526.91844 1.06968e-17
3528.39123 1.10295e-17
3529.86402 1.12417e-17
3531.32680 1.17077e-17
3532.79959 1.13651e-17
3534.27238 1.10859e-17
3535.73516 1.13407e-17
3537.20795 1.12509e-17
3538.68074 1.14525e-17
3540.15354 1.18566e-17
3541.61631 1.15123e-17
3543.08910 1.14336e-17
3544.56190 1.18006e-17
3546.03469 1.16633e-17
3547.49746 1.16175e-17
3548.97026 1.12453e-17
3550.44305 1.12192e-17
3551.90582 1.13840e-17
3553.37862 1.14897e-17
3554.85141 1.09398e-17
3556.32420 1.12007e-17
3557.78698 1.15054e-17
3559.25977 1.10322e-17
3560.73256 1.04234e-17
3562.19534 1.08238e-17
3563.66813 1.14057e-17
3565.14092 1.17810e-17
3566.61371 1.12819e-17
3568.07649 1.10706e-17
3569.54928 1.11691e-17
3571.02207 1.14327e-17
3572.49487 1.14064e-17
3573.95764 1.11621e-17
3575.43044 1.09584e-17
3576.90323 1.11205e-17
3578.36600 1.17654e-17
3579.83880 1.16773e-17
3581.31159 1.13290e-17
3582.78438 1.11543e-17
3584.24716 1.10892e-17
3585.71995 1.12319e-17
3587.19274 1.08721e-17
3588.65551 1.05952e-17
3590.12831 1.04691e-17
3591.60110 1.00649e-17
3593.07389 1.01478e-17
3594.53667 1.06942e-17
3596.00946 1.09427e-17
3597.48225 1.09845e-17
3598.94503 1.05935e-17
3600.41782 1.05301e-17
3601.89061 1.03336e-17
3603.36341 9.72105e-18
3604.82618 9.80282e-18
3606.29897 1.03583e-17
3607.77177 9.93475e-18
3609.24456 9.77709e-18
3610.70733 1.01579e-17
3612.18013 1.01415e-17
3613.65292 1.03329e-17
3615.11569 1.04832e-17
3616.58849 1.02050e-17
3618.06128 9.89487e-18
3619.53407 1.03867e-17
3620.99685 1.06028e-17
3622.46964 1.04021e-17
3623.94243 1.02344e-17
3625.40521 1.01836e-17
3626.87800 1.03959e-17
3628.35079 1.08004e-17
3629.82359 1.06981e-17
3631.28636 1.01940e-17
3632.75915 1.05313e-17
3634.23195 1.05309e-17
3635.70474 1.07295e-17
3637.16751 1.03371e-17
3638.64031 1.05214e-17
3640.11310 1.09795e-17
3641.57587 1.05852e-17
3643.04867 1.06439e-17
3644.52146 1.08521e-17
3645.99425 1.08756e-17
3647.45703 1.10035e-17
3648.92982 1.05301e-17
3650.40261 1.08956e-17
3651.86539 1.15811e-17
3653.33818 1.13537e-17
3654.81097 1.13772e-17
3656.28377 1.13385e-17
3657.74654 1.10281e-17
3659.21933 1.07542e-17
3660.69213 1.05926e-17
3662.16492 1.09097e-17
3663.62769 1.10191e-17
3665.10048 1.09393e-17
3666.57328 1.08436e-17
3668.03605 1.07135e-17
3669.50885 1.05717e-17
3670.98164 1.05368e-17
3672.45443 1.08790e-17
3673.91720 1.09463e-17
3675.39000 1.05145e-17
3676.86279 1.05559e-17
3678.32557 1.06842e-17
3679.79836 1.05093e-17
3681.27115 1.00832e-17
3682.74394 9.95314e-18
3684.20672 9.66099e-18
3685.67951 9.61103e-18
3687.15230 9.78233e-18
3688.62510 9.78489e-18
3690.08787 9.60930e-18
3691.56066 9.41964e-18
3693.03346 9.29768e-18
3694.49623 9.05633e-18
3695.96902 8.96110e-18
3697.44182 8.74745e-18
3698.91461 9.06996e-18
3700.37738 8.75316e-18
3701.85018 8.62219e-18
3703.32297 8.52072e-18
3704.78574 8.31341e-18
3706.25854 8.33381e-18
3707.73133 8.19937e-18
3709.20412 8.00067e-18
3710.66690 7.93180e-18
3712.13969 7.84547e-18
3713.61248 7.82140e-18
3715.07526 7.74083e-18
3716.54805 7.66026e-18
