# wavelength flux
3509.66572 6.53397e-18
3513.91377 1.71703e-18
3518.15181 3.56999e-18
3522.39987 2.70535e-18
3526.64792 6.16848e-18
3530.89598 5.20054e-18
3535.14404 4.22585e-18
3539.39209 3.55664e-18
3543.64015 4.61027e-18
3547.88820 4.74364e-18
3552.13626 5.64724e-18
3556.38432 4.39418e-18
3560.63237 5.69494e-18
3564.88043 6.29819e-18
3569.12848 4.85790e-18
3573.37654 4.42647e-18
3577.62460 4.47694e-18
3581.87265 3.97903e-18
3586.12071 5.53569e-18
3590.36876 3.58668e-18
3594.61682 4.61304e-18
3598.85486 3.92021e-18
3603.10291 3.46318e-18
3607.35097 2.69068e-18
3611.59902 3.44342e-18
3615.84708 4.14528e-18
3620.09514 3.90813e-18
3624.34319 3.87340e-18
3628.59125 4.01499e-18
3632.83930 2.39914e-18
3637.08736 3.11186e-18
3641.33542 4.98736e-18
3645.58347 5.35360e-18
3649.83153 4.61581e-18
3654.07958 5.26458e-18
3658.32764 3.47704e-18
3662.57570 4.35155e-18
3666.82375 5.32685e-18
3671.07181 5.51455e-18
3675.31986 4.91226e-18
3679.55790 4.46556e-18
3683.80596 4.47253e-18
3688.05401 5.07179e-18
3692.30207 5.19950e-18
3696.55013 4.99348e-18
3700.79818 4.96337e-18
3705.04624 5.37652e-18
3709.29429 5.78553e-18
3713.54235 5.49994e-18
3717.79041 5.21395e-18
3722.03846 4.93949e-18
3726.28652 4.66508e-18
3730.53457 4.39074e-18
3734.78263 4.11644e-18
3739.03069 3.84220e-18
3743.27874 3.56801e-18
3747.52680 3.29387e-18
3751.77485 3.01979e-18
3756.02291 2.74577e-18
3760.26095 2.56752e-18
3764.50900 2.03853e-18
3768.75706 1.29132e-18
3773.00511 1.30652e-18
3777.25317 2.13755e-18
3781.50123 1.92199e-18
3785.74928 1.39616e-18
3789.99734 1.27555e-18
3794.24540 1.66591e-18
3798.49345 1.43460e-18
3802.74151 1.43993e-18
3806.98956 1.46041e-18
3811.23762 1.29199e-18
3815.48567 8.84400e-19
3819.73373 1.07922e-18
3823.98179 1.39783e-18
3828.22984 1.58870e-18
3832.47790 1.62036e-18
3836.72595 1.37572e-18
3840.96399 1.87239e-18
3845.21205 1.74741e-18
3849.46010 1.98740e-18
3853.70816 2.43975e-18
3857.95622 2.60464e-18
3862.20427 2.76145e-18
3866.45233 2.86769e-18
3870.70038 2.74251e-18
3874.94844 3.28428e-18
3879.19650 3.57530e-18
3883.44455 3.79875e-18
3887.69261 4.54558e-18
3891.94066 4.90679e-18
3896.18872 4.97967e-18
3900.43678 5.59068e-18
3904.68483 6.39707e-18
3908.93289 6.53501e-18
3913.18094 7.12355e-18
3917.42900 7.28338e-18
3921.67706 7.22590e-18
3925.91509 7.74906e-18
3930.16315 7.74937e-18
3934.41120 8.12633e-18
3938.65926 8.04985e-18
3942.90732 7.99645e-18
3947.15537 8.34025e-18
3951.40343 8.61331e-18
3955.65149 9.24865e-18
3959.89954 1.05310e-17
3964.14760 1.12621e-17
3968.39565 1.16242e-17
3972.64371 1.23902e-17
3976.89176 1.25129e-17
3981.13982 1.26266e-17
3985.38788 1.29054e-17
3989.63593 1.29980e-17
3993.88399 1.30555e-17
3998.13205 1.34461e-17
4002.38010 1.32902e-17
4006.61814 1.30353e-17
4010.86619 1.36837e-17
4015.11425 1.35334e-17
4019.36231 1.33466e-17
4023.61036 1.38670e-17
4027.85842 1.36811e-17
4032.10647 1.37275e-17
4036.35453 1.36528e-17
4040.60259 1.32152e-17
4044.85064 1.29944e-17
4049.09870 1.25600e-17
4053.34675 1.22792e-17
4057.59481 1.16568e-17
4061.84287 1.14734e-17
4066.09092 1.13429e-17
4070.33898 1.09605e-17
4074.58703 1.06994e-17
4078.83509 1.03187e-17
4083.08315 1.02156e-17
4087.32118 9.82436e-18
4091.56924 9.90018e-18
4095.81730 9.40271e-18
4100.06535 8.87050e-18
4104.31341 8.95434e-18
4108.56146 8.70378e-18
4112.80952 8.50379e-18
4117.05757 8.43126e-18
4121.30563 8.38358e-18
4125.55369 8.51933e-18
4129.80174 8.03218e-18
4134.04980 7.77154e-18
4138.29785 7.79992e-18
4142.54591 7.99265e-18
4146.79397 7.83152e-18
4151.04202 7.29434e-18
4155.29008 7.31712e-18
4159.53813 7.36898e-18
4163.78619 7.38466e-18
4168.02423 7.07488e-18
4172.27228 6.75382e-18
4176.52034 7.10970e-18
4180.76840 7.38845e-18
4185.01645 7.41351e-18
4189.26451 7.39788e-18
4193.51256 7.70682e-18
4197.76062 7.62958e-18
4202.00868 7.32512e-18
4206.25673 7.54014e-18
4210.50479 7.51634e-18
4214.75284 7.50956e-18
4219.00090 7.80555e-18
4223.24896 7.87610e-18
4227.49701 7.83751e-18
4231.74507 7.74351e-18
4235.99312 7.90128e-18
4240.24118 7.85262e-18
4244.48924 7.77582e-18
4248.72727 8.09638e-18
4252.97533 8.31064e-18
4257.22338 8.08046e-18
4261.47144 8.20897e-18
4265.71950 8.04067e-18
4269.96755 8.17924e-18
4274.21561 8.23125e-18
4278.46367 7.95787e-18
4282.71172 7.98661e-18
4286.95978 8.03946e-18
4291.20783 8.02218e-18
4295.45589 8.01029e-18
4299.70395 8.14193e-18
4303.95200 7.86820e-18
4308.20006 7.56658e-18
4312.44811 7.35704e-18
4316.69617 7.25309e-18
4320.94423 7.28514e-18
4325.19228 7.45788e-18
4329.44034 7.34759e-18
4333.67837 7.38406e-18
4337.92643 7.16595e-18
4342.17449 7.15480e-18
4346.42254 7.02056e-18
4350.67060 6.61028e-18
4354.91865 6.64677e-18
4359.16671 6.68325e-18
4363.41477 6.71972e-18
4367.66282 6.75619e-18
4371.91088 6.79266e-18
4376.15893 6.82911e-18
4380.40699 6.86556e-18
4384.65505 6.90200e-18
4388.90310 6.93844e-18
4393.15116 6.97487e-18
4397.39921 7.14876e-18
4401.64727 7.46616e-18
4405.89533 7.43676e-18
4410.13336 7.71161e-18
4414.38142 8.03438e-18
4418.62947 8.02777e-18
