# wavelength flux
3474.10410 8.62239e-18
3475.57140 1.02938e-17
3477.04875 1.74757e-17
3478.51605 1.22994e-17
3479.98335 7.86545e-18
3481.45065 2.78998e-17
3482.92800 1.72339e-17
3484.39530 1.50342e-17
3485.86260 1.15030e-17
3487.32990 1.90525e-17
3488.80725 1.92758e-17
3490.27455 1.93496e-17
3491.74185 1.60129e-17
3493.21920 2.13632e-17
3494.68650 2.13816e-17
3496.15380 2.00467e-17
3497.62110 1.52153e-17
3499.09845 1.96278e-17
3500.56575 2.92699e-17
3502.03305 2.72113e-17
3503.50035 1.79610e-17
3504.97770 1.26273e-17
3506.44500 8.63317e-18
3507.91230 1.57042e-17
3509.38965 2.27821e-17
3510.85695 2.62344e-17
3512.32425 2.16482e-17
3513.79155 2.36815e-17
3515.26890 2.08858e-17
3516.73620 1.56350e-17
3518.20350 1.17941e-17
3519.67080 1.87873e-17
3521.14815 2.78433e-17
3522.61545 2.53028e-17
3524.08275 2.16933e-17
3525.56010 1.68029e-17
3527.02740 2.37884e-17
3528.49470 2.74227e-17
3529.96200 2.97964e-17
3531.43935 1.97924e-17
3532.90665 1.46072e-17
3534.37395 2.12576e-17
3535.84125 1.71930e-17
3537.31860 1.90183e-17
3538.78590 3.01190e-17
3540.25320 2.37408e-17
3541.73055 1.33604e-17
3543.19785 1.60241e-17
3544.66515 1.77288e-17
3546.13245 2.00109e-17
3547.60980 2.00274e-17
3549.07710 1.45119e-17
3550.54440 1.50082e-17
3552.01170 1.04022e-17
3553.48905 1.40446e-17
3554.95635 1.78733e-17
3556.42365 1.63295e-17
3557.90100 2.41552e-17
3559.36830 2.81105e-17
3560.83560 2.28842e-17
3562.30290 1.40517e-17
3563.78025 2.11941e-17
3565.24755 2.32063e-17
3566.71485 1.35280e-17
3568.18215 1.28774e-17
3569.65950 1.20904e-17
3571.12680 7.23480e-18
3572.59410 8.66989e-18
3574.07145 1.67440e-17
3575.53875 1.55779e-17
3577.00605 1.24140e-17
3578.47335 2.01490e-17
3579.95070 1.87947e-17
3581.41800 1.06933e-17
3582.88530 1.25070e-17
3584.35260 1.15865e-17
3585.82995 1.19417e-17
3587.29725 1.57598e-17
3588.76455 2.16791e-17
3590.24190 2.25302e-17
3591.70920 1.44566e-17
3593.17650 1.89762e-17
3594.64380 2.68080e-17
3596.12115 1.98344e-17
3597.58845 1.26026e-17
3599.05575 1.97055e-17
3600.52305 1.50386e-17
3602.00040 1.65691e-17
3603.46770 2.25761e-17
3604.93500 2.16377e-17
3606.41235 2.94724e-17
3607.87965 2.64037e-17
3609.34695 2.83224e-17
3610.81425 2.60021e-17
3612.29160 1.28746e-17
