# wavelength flux
3475.09905 -3.95235e-18
3476.57640 3.34691e-18
3478.04370 8.69742e-18
3479.51100 1.36319e-17
3480.98835 2.75192e-17
3482.45565 2.53682e-17
3483.92295 1.93978e-17
3485.39025 1.46030e-17
3486.86760 2.92388e-17
3488.33490 2.46295e-17
3489.80220 -8.98572e-20
3491.26950 9.55148e-18
3492.74685 1.86311e-17
3494.21415 2.42812e-17
3495.68145 1.15992e-17
3497.15880 9.22863e-18
3498.62610 1.83322e-17
3500.09340 8.62068e-18
3501.56070 1.16645e-17
3503.03805 9.27472e-19
3504.50535 6.66386e-18
3505.97265 2.15515e-17
3507.43995 1.93124e-17
3508.91730 1.83072e-17
3510.38460 1.11045e-17
3511.85190 5.12138e-19
3513.32925 2.57575e-18
3514.79655 1.77660e-17
3516.26385 1.32586e-17
3517.73115 1.46448e-17
3519.20850 2.84586e-17
3520.67580 6.81196e-18
3522.14310 7.93712e-18
3523.61040 2.76871e-17
3525.08775 1.78976e-17
3526.55505 1.42901e-17
3528.02235 2.05934e-17
3529.49970 3.73656e-17
3530.96700 3.06437e-17
3532.43430 -1.79873e-18
3533.90160 -1.98835e-18
3535.37895 -7.92039e-18
3536.84625 -6.63079e-18
3538.31355 1.55809e-17
3539.78085 3.81131e-17
3541.25820 2.65023e-17
3542.72550 4.06197e-17
3544.19280 5.03353e-17
3545.67015 3.13457e-17
3547.13745 8.71263e-18
3548.60475 7.54014e-18
3550.07205 2.22250e-18
3551.54940 3.68257e-18
3553.01670 2.48387e-17
3554.48400 3.55031e-17
3555.96135 7.92982e-18
3557.42865 1.07231e-17
3558.89595 4.54426e-17
3560.36325 2.85938e-17
3561.84060 2.05520e-17
3563.30790 2.93399e-17
3564.77520 6.52879e-18
3566.24250 -1.01259e-17
3567.71985 -4.18268e-18
3569.18715 -1.22776e-17
3570.65445 -1.63765e-17
3572.12175 1.42437e-17
3573.59910 4.95875e-17
3575.06640 4.23199e-17
3576.53370 3.30094e-17
3578.01105 2.64013e-17
3579.47835 2.39070e-18
3580.94565 -9.89811e-19
3582.41295 2.07764e-17
3583.89030 3.15461e-17
3585.35760 1.53028e-17
3586.82490 2.44107e-17
3588.30225 3.20957e-17
3589.76955 1.70682e-17
3591.23685 3.70947e-17
3592.70415 4.81032e-17
3594.18150 1.42180e-17
3595.64880 9.23387e-18
3597.11610 5.54674e-18
3598.58340 -7.35655e-18
3600.06075 8.33895e-18
3601.52805 4.54516e-17
3602.99535 3.41414e-17
3604.47270 -2.90454e-18
3605.94000 8.63717e-18
3607.40730 1.85844e-17
3608.87460 1.32080e-17
3610.35195 1.87729e-17
3611.81925 1.96914e-17
3613.28655 8.85578e-18
3614.75385 4.55749e-18
3616.23120 8.77718e-18
3617.69850 1.10453e-17
3619.16580 2.85725e-17
3620.64315 1.52093e-17
3622.11045 -6.81942e-18
3623.57775 5.02153e-18
3625.04505 1.38979e-17
3626.52240 -1.58485e-17
3627.98970 4.89935e-18
3629.45700 9.99624e-18
3630.92430 8.87521e-18
3632.40165 3.39134e-17
3633.86895 4.32089e-17
3635.33625 2.39064e-17
3636.81360 2.25000e-18
3638.28090 2.56211e-18
3639.74820 -2.90849e-19
3641.21550 2.23565e-17
3642.69285 1.22777e-17
3644.16015 -8.15116e-18
3645.62745 -6.67600e-19
3647.09475 2.01826e-17
3648.57210 3.62191e-17
3650.03940 2.98827e-17
3651.50670 2.63711e-17
3652.98405 3.68544e-17
3654.45135 3.79859e-17
3655.91865 2.38422e-17
3657.38595 1.50095e-17
3658.86330 5.32122e-18
3660.33060 1.14399e-17
3661.79790 2.02339e-17
3663.26520 2.95101e-17
3664.74255 2.72037e-17
3666.20985 1.11088e-17
3667.67715 4.88550e-18
3669.15450 -6.60424e-18
3670.62180 1.99026e-18
3672.08910 1.78424e-17
3673.55640 2.38431e-17
3675.03375 4.55459e-17
3676.50105 3.49722e-17
3677.96835 6.03143e-18
3679.43565 3.27468e-18
3680.91300 2.25492e-17
3682.38030 1.04679e-17
3683.84760 1.22310e-17
3685.32495 2.41161e-17
3686.79225 2.80008e-17
3688.25955 3.24430e-17
3689.72685 2.72053e-17
3691.20420 1.36934e-18
3692.67150 4.57401e-18
3694.13880 1.01107e-17
3695.60610 -5.33785e-18
3697.08345 -1.06148e-17
3698.55075 -8.87859e-19
3700.01805 -7.31795e-18
3701.49540 -1.09334e-17
3702.96270 -6.11912e-18
3704.43000 1.64860e-17
3705.89730 1.96691e-17
3707.37465 2.17317e-17
3708.84195 1.36837e-17
3710.30925 3.09153e-18
3711.77655 1.43306e-17
3713.25390 -2.62962e-18
3714.72120 -8.16364e-18
3716.18850 5.22995e-18
3717.66585 1.54865e-17
3719.13315 3.33733e-17
3720.60045 3.54302e-17
3722.06775 1.15056e-17
3723.54510 1.90343e-18
3725.01240 6.76806e-18
3726.47970 2.32409e-17
3727.94700 1.86737e-17
3729.42435 1.93861e-18
3730.89165 2.04356e-17
3732.35895 2.62430e-17
3733.83630 1.09441e-17
3735.30360 1.80786e-17
3736.77090 3.22341e-17
3738.23820 3.89289e-17
3739.71555 2.52653e-17
3741.18285 2.61816e-17
3742.65015 2.49294e-17
3744.11745 2.36773e-17
3745.59480 2.24255e-17
3747.06210 2.11739e-17
3748.52940 1.99225e-17
3750.00675 1.86713e-17
3751.47405 1.74204e-17
3752.94135 1.61696e-17
3754.40865 1.49191e-17
3755.88600 1.36688e-17
3757.35330 1.24187e-17
3758.82060 1.24177e-17
3760.28790 7.69770e-18
3761.76525 2.67447e-17
3763.23255 2.34986e-17
3764.69985 8.60888e-18
3766.17720 1.30280e-17
3767.64450 1.27858e-17
3769.11180 -5.14634e-19
3770.57910 2.90983e-18
3772.05645 2.06921e-17
3773.52375 2.94670e-17
3774.99105 2.58507e-17
3776.45835 2.72467e-17
3777.93570 1.67411e-17
3779.40300 1.74113e-17
3780.87030 1.83791e-17
3782.34765 2.16505e-17
3783.81495 1.51218e-17
3785.28225 2.65124e-17
3786.74955 3.39318e-17
3788.22690 2.16575e-17
3789.69420 1.19352e-17
3791.16150 -1.48832e-19
3792.62880 1.12540e-17
3794.10615 3.30679e-17
3795.57345 3.28548e-17
3797.04075 4.67007e-18
3798.51810 9.49388e-18
3799.98540 2.85012e-17
3801.45270 1.66183e-17
3802.92000 9.11352e-18
3804.39735 2.09903e-17
3805.86465 2.41962e-17
3807.33195 1.56315e-17
3808.79925 1.19894e-17
3810.27660 1.41173e-17
3811.74390 9.69893e-18
3813.21120 7.16855e-18
3814.68855 2.41036e-17
3816.15585 4.06861e-17
3817.62315 3.48720e-17
3819.09045 1.85664e-17
3820.56780 1.48793e-17
3822.03510 1.11525e-17
3823.50240 7.20991e-18
3824.96970 1.66931e-17
3826.44705 2.59299e-17
3827.91435 1.82805e-17
3829.38165 8.87557e-18
3830.85900 8.34870e-18
3832.32630 1.44509e-17
3833.79360 2.12072e-17
3835.26090 2.33566e-17
3836.73825 1.04727e-17
3838.20555 2.99329e-18
3839.67285 9.82877e-18
3841.14015 1.02883e-17
3842.61750 9.60408e-18
3844.08480 1.27428e-17
