# wavelength flux
3210.00075 -4.04502e-18
3211.94655 -4.84886e-18
3213.90270 -2.59488e-18
3215.84850 2.70981e-18
3217.80465 4.69153e-18
3219.75045 4.08613e-18
3221.69625 2.61938e-18
3223.65240 2.12390e-18
3225.59820 2.79715e-18
3227.55435 2.54036e-18
3229.50015 2.82634e-18
3231.44595 2.23417e-18
3233.40210 2.28965e-18
3235.34790 3.22071e-18
3237.30405 2.83007e-18
3239.24985 2.92057e-18
3241.19565 3.75145e-18
3243.15180 2.92409e-18
3245.09760 2.41086e-18
3247.05375 3.48575e-18
3248.99955 4.03720e-18
3250.94535 5.01831e-18
3252.90150 5.68937e-18
3254.84730 5.61609e-18
3256.80345 4.26356e-18
3258.74925 4.03148e-18
3260.69505 4.05620e-18
3262.65120 4.26160e-18
3264.59700 3.66791e-18
3266.55315 2.81086e-18
3268.49895 3.06806e-18
3270.45510 2.56568e-18
3272.40090 3.61050e-18
3274.34670 3.44262e-18
3276.30285 2.39670e-18
3278.24865 3.14959e-18
3280.20480 4.09673e-18
3282.15060 4.04076e-18
3284.09640 3.76126e-18
3286.05255 3.31631e-18
3287.99835 3.33668e-18
3289.95450 3.42939e-18
3291.90030 3.43755e-18
3293.84610 3.76572e-18
3295.80225 2.96552e-18
3297.74805 2.57872e-18
3299.70420 3.40115e-18
3301.65000 3.64286e-18
3303.59580 3.15360e-18
3305.55195 2.81238e-18
3307.49775 3.98052e-18
3309.45390 4.33313e-18
3311.39970 3.57391e-18
3313.34550 3.43861e-18
3315.30165 4.16467e-18
3317.24745 4.10199e-18
3319.20360 2.68742e-18
3321.14940 3.06899e-18
3323.09520 3.72649e-18
3325.05135 3.51296e-18
3326.99715 3.92380e-18
3328.95330 4.02802e-18
3330.89910 3.56717e-18
3332.85525 3.15502e-18
3334.80105 3.56767e-18
3336.74685 3.23948e-18
3338.70300 2.85729e-18
3340.64880 4.25032e-18
3342.60495 4.70579e-18
3344.55075 3.64426e-18
3346.49655 2.84498e-18
3348.45270 3.32482e-18
3350.39850 3.57902e-18
3352.35465 3.49294e-18
3354.30045 3.25743e-18
3356.24625 2.28098e-18
3358.20240 3.07536e-18
3360.14820 3.66428e-18
3362.10435 2.95333e-18
3364.05015 3.74174e-18
3365.99595 3.40366e-18
3367.95210 2.10723e-18
3369.89790 3.34920e-18
3371.85405 3.82406e-18
3373.79985 2.56377e-18
3375.74565 3.53275e-18
3377.70180 4.20301e-18
3379.64760 2.86068e-18
3381.60375 3.01152e-18
3383.54955 3.72450e-18
3385.49535 3.82792e-18
3387.45150 4.17956e-18
3389.39730 4.23741e-18
3391.35345 3.87015e-18
3393.29925 4.12379e-18
3395.24505 3.38124e-18
3397.20120 3.03078e-18
3399.14700 3.69822e-18
3401.10315 3.75443e-18
3403.04895 3.05277e-18
3405.00510 3.60970e-18
3406.95090 4.24416e-18
3408.89670 3.27111e-18
3410.85285 3.44882e-18
3412.79865 4.13562e-18
3414.75480 3.61065e-18
3416.70060 3.60242e-18
3418.64640 3.84622e-18
3420.60255 4.18830e-18
3422.54835 3.66644e-18
3424.50450 3.42121e-18
3426.45030 3.91119e-18
3428.39610 4.16985e-18
3430.35225 4.17526e-18
3432.29805 3.89746e-18
3434.25420 3.69468e-18
3436.20000 4.32357e-18
3438.14580 4.60361e-18
3440.10195 3.77100e-18
3442.04775 3.65163e-18
3444.00390 3.06358e-18
3445.94970 3.82000e-18
3447.89550 4.02921e-18
3449.85165 3.71969e-18
3451.79745 4.49627e-18
3453.75360 5.53354e-18
3455.69940 4.68431e-18
3457.64520 3.82868e-18
3459.60135 3.25489e-18
3461.54715 3.11430e-18
3463.50330 3.71768e-18
3465.44910 3.36323e-18
3467.40525 3.71694e-18
3469.35105 4.05593e-18
3471.29685 3.38656e-18
3473.25300 3.71191e-18
3475.19880 4.33200e-18
3477.15495 3.62728e-18
3479.10075 2.79505e-18
3481.04655 4.44631e-18
3483.00270 5.64849e-18
3484.94850 4.99136e-18
3486.90465 4.64279e-18
3488.85045 4.52857e-18
3490.79625 4.24229e-18
