# wavelength flux
3401.21098 1.24454e-17
3403.15824 1.23820e-17
3405.10551 1.29857e-17
3407.05277 1.35694e-17
3409.01018 1.30360e-17
3410.95744 1.25927e-17
3412.90470 1.27647e-17
3414.85197 1.37003e-17
3416.80937 1.44281e-17
3418.75664 1.44836e-17
3420.70390 1.41642e-17
3422.66131 1.44222e-17
3424.60857 1.49487e-17
3426.55584 1.52493e-17
3428.50310 1.51961e-17
3430.46051 1.48324e-17
3432.40777 1.48607e-17
3434.35503 1.52960e-17
3436.31244 1.60022e-17
3438.25970 1.63021e-17
3440.20697 1.62226e-17
3442.15423 1.63993e-17
3444.11164 1.64999e-17
3446.05890 1.63073e-17
3448.00617 1.65408e-17
3449.95343 1.73863e-17
3451.91084 1.72674e-17
3453.85810 1.68890e-17
3455.80536 1.70011e-17
3457.76277 1.72900e-17
3459.71003 1.82853e-17
3461.65730 1.86387e-17
3463.60456 1.80903e-17
3465.56197 1.78085e-17
3467.50923 1.85292e-17
3469.45650 1.89779e-17
3471.40376 1.89702e-17
3473.36117 1.86814e-17
3475.30843 1.90167e-17
3477.25569 1.99905e-17
3479.21310 1.97866e-17
3481.16036 1.94493e-17
3483.10763 2.02274e-17
3485.05489 1.96599e-17
3487.01230 1.89138e-17
3488.95956 1.92690e-17
3490.90683 1.96238e-17
3492.86423 1.98304e-17
3494.81150 1.94840e-17
3496.75876 1.97796e-17
3498.70602 2.05861e-17
3500.66343 2.02044e-17
3502.61069 2.02061e-17
3504.55796 2.03781e-17
3506.50522 2.01949e-17
3508.46263 2.06003e-17
3510.40989 2.08388e-17
3512.35716 2.05628e-17
3514.31456 2.05684e-17
3516.26183 2.06506e-17
3518.20909 2.06902e-17
3520.15635 2.05441e-17
3522.11376 2.03222e-17
3524.06102 2.08862e-17
3526.00829 2.12911e-17
3527.95555 2.10763e-17
3529.91296 2.08530e-17
3531.86022 2.08775e-17
3533.80749 2.13655e-17
3535.76489 2.14985e-17
3537.71216 2.12138e-17
3539.65942 2.12231e-17
3541.60668 2.11499e-17
3543.56409 2.12350e-17
3545.51135 2.18878e-17
3547.45862 2.19534e-17
3549.40588 2.17017e-17
3551.36329 2.16755e-17
3553.31055 2.12229e-17
3555.25782 2.05478e-17
3557.21522 1.99704e-17
3559.16249 2.01270e-17
3561.10975 2.06334e-17
3563.05701 2.01086e-17
3565.01442 2.02457e-17
3566.96168 2.05219e-17
3568.90895 2.01567e-17
3570.86635 2.01410e-17
3572.81362 1.96451e-17
3574.76088 1.93300e-17
3576.70815 1.96896e-17
3578.66555 2.01705e-17
3580.61282 2.00969e-17
3582.56008 1.94662e-17
3584.50734 2.01209e-17
3586.46475 2.00319e-17
3588.41201 1.90986e-17
3590.35928 1.92367e-17
3592.31668 1.99517e-17
3594.26395 2.01281e-17
3596.21121 2.02026e-17
3598.15848 1.98842e-17
3600.11588 2.00547e-17
3602.06315 1.99521e-17
3604.01041 2.00577e-17
3605.95767 1.97165e-17
3607.91508 1.94861e-17
3609.86234 1.96308e-17
3611.80961 1.93527e-17
3613.76701 1.93622e-17
3615.71428 1.92351e-17
3617.66154 1.88671e-17
3619.60881 1.92186e-17
3621.56621 1.92421e-17
3623.51348 1.86139e-17
3625.46074 1.86228e-17
3627.40800 1.84388e-17
3629.36541 1.86409e-17
3631.31267 1.87122e-17
3633.25994 1.83157e-17
3635.21734 1.80860e-17
3637.16461 1.79457e-17
3639.11187 1.77752e-17
3641.05914 1.81176e-17
3643.01654 1.81807e-17
3644.96381 1.77938e-17
3646.91107 1.75222e-17
3648.86848 1.76125e-17
3650.81574 1.80413e-17
3652.76300 1.84466e-17
3654.71027 1.82687e-17
3656.66767 1.78184e-17
3658.61494 1.74995e-17
3660.56220 1.80692e-17
3662.50947 1.86535e-17
3664.46687 1.83349e-17
3666.41414 1.78122e-17
3668.36140 1.79436e-17
3670.31881 1.90057e-17
3672.26607 1.92300e-17
3674.21333 1.87771e-17
3676.16060 1.92192e-17
3678.11800 1.93330e-17
3680.06527 1.93632e-17
3682.01253 1.94149e-17
3683.95980 1.92174e-17
3685.91720 1.91846e-17
3687.86447 1.96888e-17
3689.81173 1.98869e-17
3691.76914 1.90149e-17
3693.71640 1.90138e-17
3695.66366 1.95012e-17
3697.61093 1.97792e-17
3699.56833 1.91414e-17
3701.51560 1.85085e-17
3703.46286 1.84560e-17
3705.42027 1.85949e-17
3707.36753 1.85600e-17
3709.31480 1.83905e-17
3711.26206 1.83885e-17
3713.21947 1.81415e-17
3715.16673 1.79971e-17
3717.11399 1.80444e-17
3719.06126 1.84513e-17
3721.01866 1.83747e-17
3722.96593 1.79979e-17
3724.91319 1.76443e-17
3726.87060 1.70931e-17
3728.81786 1.67495e-17
3730.76513 1.68607e-17
3732.71239 1.70970e-17
3734.66980 1.65898e-17
3736.61706 1.58541e-17
3738.56432 1.51623e-17
3740.51159 1.47461e-17
3742.46899 1.47643e-17
3744.41626 1.44866e-17
3746.36352 1.34629e-17
3748.32093 1.31810e-17
3750.26819 1.29717e-17
3752.21546 1.27196e-17
3754.16272 1.25485e-17
3756.12013 1.27150e-17
3758.06739 1.25054e-17
3760.01465 1.23038e-17
3761.96192 1.22562e-17
3763.91932 1.22065e-17
3765.86659 1.21568e-17
3767.81385 1.21071e-17
3769.77126 1.20574e-17
3771.71852 1.20078e-17
3773.66579 1.19582e-17
3775.61305 1.19086e-17
3777.57046 1.18590e-17
3779.51772 1.18094e-17
3781.46498 1.17599e-17
3783.42239 1.17104e-17
3785.36965 1.16609e-17
3787.31692 1.16114e-17
3789.26418 1.15620e-17
3791.22159 1.15125e-17
3793.16885 1.14631e-17
3795.11612 1.14137e-17
3797.06338 1.13643e-17
3799.02079 1.13150e-17
3800.96805 1.12656e-17
3802.91531 1.12885e-17
3804.87272 1.13438e-17
3806.81998 1.12816e-17
3808.76725 1.08522e-17
3810.71451 1.10119e-17
3812.67192 1.08436e-17
3814.61918 1.08858e-17
3816.56645 1.06803e-17
3818.51371 1.06681e-17
3820.47112 1.07575e-17
3822.41838 1.06070e-17
3824.36564 1.09138e-17
3826.32305 1.07816e-17
3828.27031 1.11468e-17
3830.21758 1.14387e-17
3832.16484 1.10377e-17
3834.12225 1.05250e-17
3836.06951 1.08072e-17
3838.01678 1.10790e-17
3839.97418 1.13811e-17
3841.92145 1.14811e-17
3843.86871 1.15387e-17
3845.81597 1.14901e-17
3847.77338 1.14857e-17
3849.72064 1.13169e-17
3851.66791 1.16902e-17
3853.61517 1.22972e-17
3855.57258 1.17964e-17
3857.51984 1.17301e-17
3859.46711 1.21501e-17
3861.42451 1.25312e-17
3863.37178 1.27718e-17
3865.31904 1.28832e-17
3867.26630 1.30521e-17
3869.22371 1.31381e-17
3871.17097 1.32757e-17
3873.11824 1.38218e-17
3875.06550 1.42337e-17
3877.02291 1.48810e-17
3878.97017 1.50153e-17
3880.91744 1.47118e-17
3882.87484 1.47975e-17
3884.82211 1.50132e-17
3886.76937 1.53075e-17
3888.71663 1.56231e-17
3890.67404 1.57861e-17
3892.62130 1.57091e-17
3894.56857 1.59187e-17
3896.51583 1.65599e-17
3898.47324 1.68881e-17
3900.42050 1.72074e-17
3902.36777 1.76941e-17
3904.32517 1.75257e-17
3906.27244 1.76461e-17
3908.21970 1.79702e-17
3910.16696 1.83197e-17
3912.12437 1.90954e-17
3914.07163 1.95206e-17
3916.01890 1.92235e-17
3917.96616 1.94935e-17
3919.92357 2.01321e-17
3921.87083 2.05762e-17
3923.81810 2.10811e-17
3925.77550 2.14342e-17
3927.72277 2.16797e-17
3929.67003 2.17804e-17
3931.61729 2.17989e-17
3933.57470 2.15710e-17
3935.52196 2.20649e-17
3937.46923 2.26905e-17
3939.42663 2.32467e-17
3941.37390 2.36660e-17
3943.32116 2.40884e-17
3945.26843 2.44817e-17
3947.22583 2.47386e-17
3949.17310 2.52732e-17
3951.12036 2.57628e-17
3953.06762 2.58186e-17
3955.02503 2.60824e-17
