# wavelength flux
3487.00216 2.48815e-18
3488.47275 9.61573e-18
3489.94334 2.46744e-17
3491.41393 1.67762e-17
3492.88452 5.63021e-18
3494.35511 -1.33174e-17
3495.81555 -6.53855e-18
3497.28614 1.14763e-17
3498.75673 6.01805e-18
3500.22732 1.98896e-17
3501.69791 2.33270e-17
3503.16850 -3.04900e-18
3504.63909 7.39716e-19
3506.10968 1.22429e-17
3507.58027 9.97905e-18
3509.05086 7.28583e-18
3510.52145 -7.05004e-18
3511.99204 -3.28167e-19
3513.46263 6.62380e-18
3514.93322 2.92577e-18
3516.40381 5.20517e-18
3517.87440 1.96466e-17
3519.34499 1.95922e-17
3520.80544 1.84754e-17
3522.27603 2.38256e-17
3523.74662 2.84199e-17
3525.21721 1.34542e-17
3526.68780 -6.35148e-18
3528.15839 1.78047e-18
3529.62898 3.49681e-18
3531.09957 6.27961e-18
3532.57016 3.80983e-18
3534.04075 -6.97097e-18
3535.51134 3.27105e-18
3536.98193 9.10993e-18
3538.45252 7.80464e-18
3539.92311 8.14421e-18
3541.39370 1.04055e-17
3542.86429 1.22816e-17
3544.33488 1.24694e-17
3545.79533 1.32537e-17
3547.26592 1.35073e-17
3548.73651 1.04557e-17
3550.20710 1.36477e-17
3551.67769 -5.68482e-18
3553.14828 -5.18449e-18
3554.61887 4.35355e-18
3556.08946 4.34255e-18
3557.56005 1.51884e-17
3559.03064 1.17177e-17
3560.50123 1.09066e-17
3561.97182 6.86114e-18
3563.44241 -3.02226e-18
3564.91300 5.18157e-18
3566.38359 2.47139e-17
3567.85418 1.88521e-17
3569.32477 1.71185e-17
3570.78522 1.15797e-17
3572.25581 -5.07548e-19
3573.72640 3.22579e-18
3575.19699 7.67081e-18
3576.66758 3.87237e-18
3578.13817 7.18589e-18
3579.60876 1.26450e-17
3581.07935 1.30805e-17
3582.54994 1.48967e-17
3584.02053 7.05261e-18
3585.49112 1.08173e-17
3586.96171 2.64850e-17
3588.43230 1.85540e-17
3589.90289 4.59226e-18
3591.37348 7.13131e-18
3592.84407 1.06199e-18
3594.31466 5.03691e-18
3595.78525 1.67504e-17
3597.24570 1.45921e-17
3598.71629 1.36832e-17
3600.18688 8.02059e-18
3601.65747 -5.96850e-18
3603.12806 -1.68080e-18
3604.59865 9.02341e-18
3606.06924 -2.11065e-18
3607.53983 -1.00546e-17
3609.01042 -6.90340e-18
