# wavelength flux
3465.99792 1.98886e-17
3467.46960 1.97636e-17
3468.94128 1.86419e-17
3470.41296 1.91630e-17
3471.88464 1.81858e-17
3473.34624 1.85788e-17
3474.81792 1.94933e-17
3476.28960 2.14716e-17
3477.76128 2.05678e-17
3479.23296 1.86566e-17
3480.70464 1.82207e-17
3482.16624 1.92221e-17
3483.63792 1.91638e-17
3485.10960 1.78146e-17
3486.58128 1.83780e-17
3488.05296 1.91967e-17
3489.52464 1.94918e-17
3490.98624 1.95719e-17
3492.45792 1.77482e-17
3493.92960 1.89134e-17
3495.40128 1.78760e-17
3496.87296 1.88898e-17
3498.34464 1.89510e-17
3499.80624 1.95717e-17
3501.27792 2.15028e-17
3502.74960 1.87997e-17
3504.22128 1.89766e-17
3505.69296 1.95088e-17
3507.16464 2.03931e-17
3508.62624 1.90788e-17
3510.09792 1.77133e-17
3511.56960 1.86350e-17
3513.04128 1.89891e-17
3514.51296 1.90405e-17
3515.98464 1.86851e-17
3517.44624 2.08426e-17
3518.91792 1.97737e-17
3520.38960 1.88715e-17
3521.86128 1.81797e-17
3523.33296 1.86105e-17
3524.80464 1.83051e-17
3526.26624 1.81311e-17
3527.73792 1.77568e-17
3529.20960 1.82383e-17
3530.68128 1.86982e-17
3532.15296 1.92984e-17
3533.62464 2.06714e-17
3535.08624 1.95097e-17
3536.55792 1.84188e-17
3538.02960 1.89956e-17
3539.50128 1.73472e-17
3540.97296 1.80825e-17
3542.44464 1.84125e-17
3543.90624 1.68664e-17
3545.37792 1.83389e-17
3546.84960 2.11596e-17
3548.32128 2.02257e-17
3549.79296 1.93862e-17
3551.26464 1.77439e-17
3552.72624 1.92241e-17
3554.19792 1.85453e-17
3555.66960 1.48731e-17
3557.14128 1.69803e-17
3558.61296 1.64302e-17
3560.08464 1.70860e-17
3561.54624 1.62197e-17
3563.01792 1.69414e-17
3564.48960 1.90743e-17
3565.96128 1.91244e-17
3567.43296 1.89524e-17
3568.90464 1.76342e-17
3570.36624 1.68237e-17
3571.83792 1.74072e-17
3573.30960 1.70502e-17
3574.78128 1.72947e-17
3576.25296 1.85461e-17
3577.72464 2.09488e-17
3579.18624 2.23234e-17
3580.65792 2.09497e-17
3582.12960 1.92701e-17
3583.60128 1.81066e-17
3585.07296 1.84819e-17
3586.54464 1.95538e-17
3588.00624 2.09707e-17
3589.47792 1.95654e-17
3590.94960 1.98462e-17
3592.42128 1.98595e-17
3593.89296 1.98149e-17
3595.36464 1.94366e-17
3596.82624 1.97347e-17
3598.29792 1.84344e-17
3599.76960 1.98165e-17
3601.24128 2.21237e-17
3602.71296 2.10216e-17
3604.18464 2.02040e-17
3605.64624 2.10472e-17
3607.11792 2.11664e-17
3608.58960 2.07562e-17
3610.06128 2.02227e-17
3611.53296 1.99024e-17
3613.00464 2.02613e-17
3614.46624 2.15183e-17
3615.93792 2.15494e-17
3617.40960 2.03196e-17
3618.88128 1.82342e-17
3620.35296 1.86224e-17
3621.82464 1.88595e-17
3623.28624 1.84847e-17
3624.75792 1.91881e-17
3626.22960 2.02545e-17
3627.70128 1.91483e-17
3629.17296 1.88037e-17
3630.64464 1.62838e-17
3632.10624 1.62684e-17
3633.57792 1.78538e-17
3635.04960 1.88001e-17
3636.52128 1.65323e-17
3637.99296 1.50050e-17
3639.46464 1.62779e-17
3640.92624 1.75261e-17
3642.39792 1.87787e-17
3643.86960 1.92497e-17
3645.34128 1.90956e-17
3646.81296 1.78906e-17
3648.28464 1.76714e-17
3649.74624 1.75531e-17
3651.21792 1.73364e-17
3652.68960 1.73042e-17
3654.16128 1.67471e-17
3655.63296 1.73087e-17
3657.10464 1.69120e-17
3658.56624 1.66827e-17
3660.03792 1.76932e-17
3661.50960 1.83834e-17
3662.98128 1.83848e-17
3664.45296 1.70523e-17
3665.92464 1.73032e-17
3667.38624 1.76865e-17
3668.85792 1.79073e-17
3670.32960 1.87105e-17
3671.80128 1.90618e-17
3673.27296 1.93037e-17
3674.74464 1.79801e-17
3676.20624 1.90010e-17
3677.67792 1.94011e-17
3679.14960 1.97329e-17
3680.62128 1.91495e-17
3682.09296 1.96651e-17
3683.56464 1.94334e-17
3685.02624 1.80094e-17
3686.49792 1.91484e-17
3687.96960 1.95253e-17
3689.44128 1.95879e-17
3690.91296 2.04190e-17
3692.38464 1.99378e-17
3693.84624 2.01412e-17
3695.31792 2.29217e-17
3696.78960 2.25609e-17
3698.26128 2.05574e-17
3699.73296 2.01111e-17
3701.20464 2.25416e-17
3702.66624 2.17618e-17
3704.13792 2.05685e-17
3705.60960 2.14696e-17
3707.08128 2.11054e-17
3708.55296 1.93507e-17
3710.02464 1.96034e-17
3711.48624 2.01561e-17
3712.95792 1.97762e-17
3714.42960 2.05708e-17
3715.90128 2.04505e-17
3717.37296 1.93409e-17
3718.84464 1.94550e-17
3720.30624 1.77547e-17
3721.77792 1.60865e-17
3723.24960 1.63096e-17
3724.72128 1.68312e-17
3726.19296 1.66826e-17
3727.66464 1.62248e-17
3729.12624 1.58349e-17
3730.59792 1.57210e-17
3732.06960 1.52028e-17
3733.54128 1.41298e-17
3735.01296 1.42905e-17
3736.48464 1.47393e-17
3737.94624 1.44467e-17
3739.41792 1.41541e-17
3740.88960 1.38699e-17
3742.36128 1.35856e-17
3743.83296 1.33015e-17
3745.30464 1.30175e-17
3746.76624 1.27337e-17
3748.23792 1.24499e-17
3749.70960 1.21662e-17
3751.18128 1.18826e-17
3752.65296 1.15991e-17
3754.12464 1.13156e-17
3755.58624 1.10323e-17
3757.05792 1.07491e-17
3758.52960 1.04659e-17
3760.00128 1.01829e-17
3761.47296 9.90000e-18
3762.94464 9.61717e-18
3764.40624 9.33438e-18
3765.87792 9.05174e-18
3767.34960 8.76914e-18
3768.82128 8.48668e-18
3770.29296 8.20431e-18
3771.76464 7.92198e-18
3773.22624 7.63980e-18
3774.69792 7.35770e-18
3776.16960 7.07570e-18
3777.64128 6.79378e-18
3779.11296 6.74277e-18
3780.58464 7.21879e-18
3782.04624 7.22070e-18
3783.51792 6.28895e-18
3784.98960 6.60082e-18
3786.46128 7.10609e-18
3787.93296 7.04855e-18
3789.40464 6.58159e-18
3790.86624 6.53552e-18
3792.33792 6.66672e-18
3793.80960 5.77289e-18
3795.28128 5.04741e-18
3796.75296 6.18390e-18
3798.22464 7.27714e-18
3799.68624 6.48766e-18
3801.15792 5.91991e-18
3802.62960 6.64513e-18
3804.10128 7.84864e-18
3805.57296 7.48773e-18
3807.04464 6.97522e-18
3808.50624 7.44381e-18
3809.97792 7.44489e-18
3811.44960 7.53221e-18
3812.92128 7.71679e-18
3814.39296 7.19895e-18
3815.86464 7.00740e-18
3817.32624 7.21848e-18
3818.79792 7.47458e-18
3820.26960 7.61780e-18
3821.74128 7.93901e-18
3823.21296 8.66240e-18
3824.68464 7.79022e-18
3826.14624 7.86423e-18
3827.61792 8.81075e-18
3829.08960 8.96472e-18
3830.56128 9.02054e-18
3832.03296 9.33203e-18
3833.50464 9.79092e-18
3834.96624 9.47153e-18
3836.43792 9.71976e-18
3837.90960 1.05136e-17
3839.38128 1.04848e-17
3840.85296 1.06410e-17
3842.32464 1.16401e-17
3843.78624 1.13471e-17
3845.25792 1.03611e-17
3846.72960 1.08791e-17
3848.20128 1.15965e-17
3849.67296 1.13598e-17
3851.14464 1.09617e-17
3852.60624 1.14995e-17
3854.07792 1.22078e-17
3855.54960 1.26178e-17
3857.02128 1.33800e-17
3858.49296 1.40956e-17
3859.96464 1.39283e-17
3861.42624 1.43926e-17
3862.89792 1.46691e-17
3864.36960 1.43862e-17
3865.84128 1.48766e-17
3867.31296 1.50905e-17
3868.78464 1.60147e-17
3870.24624 1.66599e-17
3871.71792 1.64599e-17
3873.18960 1.64775e-17
3874.66128 1.64510e-17
3876.13296 1.76803e-17
3877.60464 1.88039e-17
3879.06624 1.79728e-17
3880.53792 1.81682e-17
3882.00960 1.93240e-17
3883.48128 2.01425e-17
3884.95296 2.04513e-17
3886.42464 2.04184e-17
3887.88624 2.01594e-17
3889.35792 2.07704e-17
3890.82960 2.05372e-17
