# wavelength flux
3674.00403 3.65355e-17
3675.92616 3.61530e-17
3677.84829 3.57702e-17
3679.78059 3.53879e-17
3681.70272 3.69223e-17
3683.63502 3.51007e-17
3685.55715 3.49815e-17
3687.48945 3.88164e-17
3689.41158 3.87901e-17
3691.33371 3.47983e-17
3693.26601 3.88917e-17
3695.18814 3.54179e-17
3697.12044 3.69668e-17
3699.04257 4.06559e-17
3700.96470 3.56055e-17
3702.89700 3.60080e-17
3704.81913 3.69385e-17
3706.75143 3.65516e-17
3708.67356 3.77979e-17
3710.60586 3.55724e-17
3712.52799 3.79493e-17
3714.45012 3.70861e-17
3716.38242 3.53301e-17
3718.30455 3.47396e-17
3720.23685 3.47636e-17
3722.15898 3.61633e-17
3724.09128 3.83566e-17
3726.01341 3.54078e-17
3727.93554 3.63350e-17
3729.86784 3.81502e-17
3731.78997 3.67802e-17
3733.72227 3.66370e-17
3735.64440 3.81557e-17
3737.57670 3.64852e-17
3739.49883 3.85371e-17
3741.42096 3.91815e-17
3743.35326 3.81266e-17
3745.27539 3.43202e-17
3747.20769 3.79848e-17
3749.12982 3.62351e-17
3751.05195 3.82878e-17
3752.98425 3.96730e-17
3754.90638 3.87722e-17
3756.83868 3.69559e-17
3758.76081 3.67120e-17
3760.69311 3.86985e-17
3762.61524 3.70068e-17
3764.53737 3.79401e-17
3766.46967 3.79041e-17
3768.39180 3.81062e-17
3770.32410 3.67784e-17
3772.24623 3.85999e-17
3774.17853 3.98350e-17
3776.10066 3.95041e-17
3778.02279 3.92040e-17
3779.95509 3.85162e-17
3781.87722 4.00458e-17
3783.80952 3.77700e-17
3785.73165 3.94827e-17
3787.65378 3.93783e-17
3789.58608 3.96197e-17
3791.50821 3.97897e-17
3793.44051 3.96423e-17
3795.36264 4.03531e-17
3797.29494 4.03812e-17
3799.21707 3.78257e-17
3801.13920 3.89487e-17
3803.07150 4.01752e-17
3804.99363 3.79995e-17
3806.92593 3.71296e-17
3808.84806 3.73265e-17
3810.78036 3.83681e-17
3812.70249 3.94981e-17
3814.62462 4.05139e-17
3816.55692 4.18418e-17
3818.47905 4.09019e-17
3820.41135 3.77351e-17
3822.33348 3.78371e-17
3824.25561 3.93658e-17
3826.18791 4.05918e-17
3828.11004 4.08930e-17
3830.04234 4.02411e-17
3831.96447 4.07360e-17
3833.89677 4.16461e-17
3835.81890 3.97657e-17
3837.74103 3.77411e-17
3839.67333 3.68333e-17
3841.59546 3.65425e-17
3843.52776 3.85309e-17
3845.44989 3.90436e-17
3847.38219 3.90228e-17
3849.30432 3.90709e-17
3851.22645 3.95374e-17
3853.15875 3.66159e-17
3855.08088 3.88187e-17
3857.01318 3.88260e-17
3858.93531 3.89960e-17
3860.86761 3.85868e-17
3862.78974 3.71673e-17
3864.71187 3.86056e-17
3866.64417 3.92557e-17
3868.56630 3.96143e-17
3870.49860 3.74524e-17
3872.42073 3.79621e-17
3874.34286 3.76585e-17
3876.27516 3.67305e-17
3878.19729 3.78065e-17
3880.12959 3.71755e-17
3882.05172 3.74439e-17
3883.98402 3.84496e-17
3885.90615 3.88735e-17
3887.82828 3.65104e-17
3889.76058 3.85618e-17
3891.68271 3.67363e-17
3893.61501 3.70641e-17
3895.53714 3.67137e-17
3897.46944 3.77926e-17
3899.39157 3.82275e-17
3901.31370 3.69244e-17
3903.24600 3.66682e-17
3905.16813 3.90905e-17
3907.10043 3.68295e-17
3909.02256 3.82693e-17
3910.94469 3.81936e-17
3912.87699 3.86370e-17
3914.79912 3.83128e-17
3916.73142 3.84149e-17
3918.65355 3.74743e-17
3920.58585 3.86079e-17
3922.50798 3.85146e-17
3924.43011 3.74855e-17
3926.36241 3.87017e-17
3928.28454 3.75239e-17
3930.21684 3.75507e-17
