# wavelength flux
5035.00428 1.86371e-17
5037.64848 2.62243e-17
5040.29268 2.19119e-17
5042.93688 1.15744e-17
5045.58108 1.21139e-17
5048.22528 3.98961e-18
5050.86948 3.34957e-18
5053.51368 7.34078e-18
5056.15788 1.00778e-17
5058.80208 6.84929e-18
5061.44628 1.22932e-17
5064.09048 1.80151e-17
5066.73468 1.82616e-17
5069.38905 1.11509e-17
5072.03325 1.50184e-17
5074.67745 1.52674e-17
5077.32165 1.37415e-17
5079.96585 1.51729e-17
5082.61005 1.55198e-17
5085.25425 1.28092e-17
5087.89845 1.59455e-17
5090.54265 1.69557e-17
5093.18685 1.71127e-17
5095.83105 1.66322e-17
5098.47525 1.58654e-17
5101.11945 1.65833e-17
5103.76365 1.51066e-17
5106.40785 1.44462e-17
5109.06222 1.59350e-17
5111.70642 1.75406e-17
5114.35062 1.74309e-17
5116.99482 1.62518e-17
5119.63902 1.55732e-17
5122.28322 1.50431e-17
5124.92742 1.69468e-17
5127.57162 2.03967e-17
5130.21582 1.74674e-17
5132.86002 1.46363e-17
5135.50422 1.55916e-17
5138.14842 1.68719e-17
5140.79262 1.48458e-17
5143.43682 1.28620e-17
5146.08102 1.09804e-17
5148.73539 1.38484e-17
5151.37959 1.53913e-17
5154.02379 1.52817e-17
5156.66799 1.28336e-17
5159.31219 1.40794e-17
5161.95639 1.62501e-17
5164.60059 1.79353e-17
5167.24479 1.77265e-17
5169.88899 1.96655e-17
5172.53319 1.85698e-17
5175.17739 1.32192e-17
5177.82159 1.40584e-17
5180.46579 1.31766e-17
5183.12016 1.05716e-17
5185.76436 1.15585e-17
5188.40856 1.31638e-17
5191.05276 1.23669e-17
5193.69696 1.26157e-17
5196.34116 1.01183e-17
5198.98536 1.08624e-17
5201.62956 1.32293e-17
5204.27376 1.26240e-17
5206.91796 1.16804e-17
5209.56216 1.12798e-17
5212.20636 1.31100e-17
5214.85056 1.43111e-17
5217.49476 1.24445e-17
5220.13896 1.36846e-17
5222.78316 1.52643e-17
5225.43753 1.44229e-17
5228.08173 1.45499e-17
5230.72593 1.41097e-17
5233.37013 1.45659e-17
5236.01433 1.71352e-17
5238.65853 1.61790e-17
5241.30273 1.51480e-17
5243.94693 1.28227e-17
5246.59113 1.31790e-17
5249.23533 1.73997e-17
5251.87953 1.61824e-17
5254.52373 1.43337e-17
5257.16793 1.47585e-17
5259.82230 1.34064e-17
5262.46650 1.60012e-17
5265.11070 1.78885e-17
5267.75490 1.68152e-17
5270.39910 1.55792e-17
5273.04330 1.59494e-17
5275.68750 1.70783e-17
5278.33170 1.69901e-17
5280.97590 1.70526e-17
5283.62010 1.92030e-17
5286.26430 1.76158e-17
5288.90850 1.62449e-17
5291.55270 1.72036e-17
5294.19690 1.71828e-17
5296.84110 1.81753e-17
5299.49547 1.93324e-17
5302.13967 1.63835e-17
5304.78387 1.61403e-17
5307.42807 1.66911e-17
5310.07227 1.81042e-17
5312.71647 1.85137e-17
5315.36067 1.74684e-17
5318.00487 1.56813e-17
5320.64907 1.59221e-17
5323.29327 1.69049e-17
5325.93747 1.84970e-17
5328.58167 1.77167e-17
5331.22587 1.81263e-17
5333.87007 1.75059e-17
5336.51427 1.69923e-17
5339.16864 1.79156e-17
5341.81284 1.54207e-17
5344.45704 1.56750e-17
5347.10124 1.80855e-17
5349.74544 1.75307e-17
5352.38964 1.58059e-17
5355.03384 1.50840e-17
5357.67804 1.43924e-17
5360.32224 1.34831e-17
5362.96644 1.06255e-17
5365.61064 7.89746e-18
5368.25484 1.22642e-17
5370.89904 1.34369e-17
5373.54324 1.27126e-17
5376.19761 1.39367e-17
5378.84181 1.45205e-17
5381.48601 1.67689e-17
5384.13021 1.57784e-17
5386.77441 1.45676e-17
5389.41861 1.55933e-17
5392.06281 1.73900e-17
5394.70701 1.79559e-17
5397.35121 1.92270e-17
5399.99541 2.02667e-17
5402.63961 1.65209e-17
5405.28381 1.68648e-17
5407.92801 1.99681e-17
5410.57221 1.85724e-17
5413.21641 1.60892e-17
5415.87078 1.53222e-17
5418.51498 1.59872e-17
5421.15918 1.57386e-17
5423.80338 1.56166e-17
5426.44758 1.70491e-17
5429.09178 1.73385e-17
5431.73598 1.77096e-17
5434.38018 1.71906e-17
5437.02438 1.74202e-17
5439.66858 1.86446e-17
