# wavelength flux
4706.13076 1.22566e-17
4710.64066 1.42339e-17
4715.16058 1.26027e-17
4719.67048 1.52901e-17
4724.18038 1.64186e-17
4728.69028 1.36401e-17
4733.21020 1.24014e-17
4737.72010 1.43436e-17
4742.23000 1.41198e-17
4746.73990 1.24284e-17
4751.25983 1.16714e-17
4755.76973 1.21577e-17
4760.27963 1.17395e-17
4764.78953 1.10859e-17
4769.30945 1.10836e-17
4773.81935 1.13374e-17
4778.32925 1.13417e-17
4782.83915 1.12993e-17
4787.35907 1.11249e-17
4791.86897 1.06289e-17
4796.37887 1.00243e-17
4800.88877 9.83029e-18
4805.40869 9.83780e-18
4809.91859 9.46583e-18
4814.42849 9.32342e-18
4818.94841 9.22714e-18
4823.45831 9.44480e-18
4827.96821 9.54449e-18
4832.47811 1.00591e-17
4836.99804 1.00467e-17
4841.50794 1.03337e-17
4846.01784 1.08666e-17
4850.52774 1.07294e-17
4855.04766 1.06961e-17
4859.55756 1.06629e-17
4864.06746 1.06297e-17
4868.57736 1.05965e-17
4873.09728 1.05633e-17
4877.60718 1.05301e-17
4882.11708 1.04970e-17
4886.62698 1.04638e-17
4891.14690 1.04306e-17
4895.65680 1.02766e-17
4900.16670 9.75289e-18
4904.67660 9.44554e-18
4909.19652 9.47132e-18
4913.70642 9.35787e-18
4918.21632 9.68929e-18
4922.72622 9.96370e-18
4927.24615 1.03104e-17
4931.75605 1.05998e-17
4936.26595 1.08900e-17
4940.78587 1.12161e-17
4945.29577 1.13963e-17
4949.80567 1.15102e-17
4954.31557 1.16050e-17
4958.83549 1.16997e-17
4963.34539 1.17944e-17
4967.85529 1.18891e-17
4972.36519 1.19838e-17
4976.88511 1.20784e-17
4981.39501 1.21730e-17
4985.90491 1.22676e-17
4990.41481 1.23621e-17
4994.93473 1.26527e-17
4999.44463 1.26052e-17
5003.95453 1.22460e-17
5008.46443 1.18870e-17
5012.98436 1.15280e-17
5017.49426 1.11691e-17
5022.00416 1.08103e-17
5026.51406 1.04517e-17
5031.03398 1.00931e-17
5035.54388 9.73458e-18
5040.05378 9.37620e-18
5044.57370 8.92110e-18
5049.08360 8.69487e-18
5053.59350 8.53448e-18
5058.10340 8.37724e-18
5062.62332 8.41719e-18
5067.13322 8.32565e-18
5071.64312 8.08928e-18
5076.15302 8.05660e-18
5080.67294 8.22584e-18
5085.18284 8.50041e-18
5089.69274 8.72979e-18
5094.20264 8.69905e-18
5098.72257 8.55568e-18
5103.23247 8.30165e-18
5107.74237 8.45586e-18
5112.25227 8.56834e-18
5116.77219 8.58206e-18
5121.28209 8.91984e-18
5125.79199 9.05899e-18
5130.30189 9.09447e-18
5134.82181 9.13682e-18
5139.33171 8.94810e-18
5143.84161 9.12836e-18
5148.35151 9.51049e-18
5152.87143 9.53024e-18
5157.38133 9.45642e-18
5161.89123 9.38415e-18
5166.41115 9.47669e-18
5170.92105 9.39423e-18
5175.43095 9.43012e-18
5179.94085 9.69683e-18
5184.46078 9.73378e-18
5188.97068 9.77489e-18
5193.48058 9.63045e-18
5197.99048 9.84285e-18
5202.51040 9.88849e-18
5207.02030 9.79086e-18
5211.53020 9.59450e-18
5216.04010 9.81818e-18
5220.56002 1.00659e-17
5225.06992 9.87871e-18
5229.57982 1.00150e-17
5234.08972 1.01586e-17
5238.60964 1.01559e-17
5243.11954 1.03924e-17
5247.62944 1.07670e-17
5252.13934 1.08997e-17
5256.65926 1.07998e-17
5261.16916 1.09101e-17
5265.67906 1.10246e-17
5270.18896 1.10283e-17
5274.70889 1.12550e-17
5279.21879 1.16413e-17
5283.72869 1.16829e-17
5288.24861 1.17381e-17
5292.75851 1.20718e-17
5297.26841 1.21185e-17
5301.77831 1.22405e-17
5306.29823 1.24277e-17
5310.80813 1.25445e-17
5315.31803 1.25349e-17
5319.82793 1.26048e-17
5324.34785 1.28050e-17
5328.85775 1.28019e-17
5333.36765 1.29223e-17
5337.87755 1.31232e-17
5342.39747 1.35112e-17
5346.90737 1.36089e-17
5351.41727 1.37230e-17
5355.92717 1.37030e-17
5360.44710 1.37318e-17
5364.95700 1.40289e-17
5369.46690 1.37464e-17
5373.97680 1.36595e-17
5378.49672 1.35604e-17
5383.00662 1.34683e-17
5387.51652 1.33901e-17
5392.03644 1.35932e-17
5396.54634 1.36354e-17
5401.05624 1.32946e-17
5405.56614 1.29931e-17
5410.08606 1.30669e-17
5414.59596 1.32170e-17
5419.10586 1.31543e-17
5423.61576 1.31832e-17
5428.13568 1.31455e-17
5432.64558 1.34421e-17
5437.15548 1.37883e-17
5441.66538 1.40258e-17
5446.18531 1.44595e-17
5450.69521 1.51273e-17
5455.20511 1.55919e-17
5459.71501 1.54615e-17
5464.23493 1.59358e-17
5468.74483 1.64214e-17
5473.25473 1.69014e-17
5477.76463 1.71287e-17
5482.28455 1.69309e-17
5486.79445 1.71355e-17
5491.30435 1.75083e-17
5495.81425 1.73315e-17
5500.33417 1.71928e-17
5504.84407 1.71005e-17
5509.35397 1.70239e-17
5513.87389 1.74354e-17
5518.38379 1.74319e-17
5522.89369 1.70337e-17
5527.40359 1.68807e-17
5531.92352 1.66077e-17
5536.43342 1.63820e-17
5540.94332 1.62472e-17
5545.45322 1.63171e-17
5549.97314 1.60445e-17
5554.48304 1.59003e-17
5558.99294 1.57558e-17
5563.50284 1.58355e-17
5568.02276 1.57731e-17
5572.53266 1.59330e-17
5577.04256 1.57842e-17
5581.55246 1.60368e-17
5586.07238 1.62886e-17
5590.58228 1.64430e-17
5595.09218 1.66463e-17
5599.60208 1.68260e-17
5604.12200 1.70361e-17
5608.63190 1.70683e-17
5613.14180 1.69055e-17
5617.66173 1.69025e-17
5622.17163 1.69876e-17
5626.68153 1.69782e-17
5631.19143 1.68264e-17
5635.71135 1.69106e-17
5640.22125 1.64735e-17
5644.73115 1.64547e-17
5649.24105 1.63771e-17
5653.76097 1.65191e-17
5658.27087 1.65448e-17
5662.78077 1.61849e-17
5667.29067 1.60598e-17
5671.81059 1.59148e-17
5676.32049 1.57435e-17
5680.83039 1.57843e-17
5685.34029 1.55617e-17
5689.86021 1.54008e-17
5694.37011 1.51514e-17
5698.88001 1.47785e-17
5703.38991 1.45627e-17
5707.90984 1.40536e-17
5712.41974 1.38562e-17
5716.92964 1.39581e-17
5721.43954 1.39432e-17
5725.95946 1.36579e-17
5730.46936 1.34155e-17
5734.97926 1.33844e-17
5739.49918 1.33903e-17
5744.00908 1.32536e-17
5748.51898 1.28274e-17
5753.02888 1.25959e-17
5757.54880 1.25796e-17
5762.05870 1.24054e-17
5766.56860 1.21838e-17
5771.07850 1.23712e-17
5775.59842 1.23088e-17
5780.10832 1.22391e-17
5784.61822 1.23979e-17
5789.12812 1.25924e-17
5793.64805 1.27268e-17
5798.15795 1.27853e-17
