# wavelength flux
3300.63354 7.82411e-18
3303.62802 8.50431e-18
3306.63252 1.15785e-17
3309.63702 9.68803e-18
3312.63151 8.91189e-18
3315.63601 8.74512e-18
3318.64051 8.84340e-18
3321.64501 7.65531e-18
3324.63949 6.23587e-18
3327.64399 6.76380e-18
3330.64849 7.95631e-18
3333.64298 8.18815e-18
3336.64748 7.05914e-18
3339.65198 8.20484e-18
3342.64646 8.00507e-18
3345.65096 6.70847e-18
3348.65546 9.04966e-18
3351.64995 9.37062e-18
3354.65445 9.15962e-18
3357.65895 9.37588e-18
3360.66345 8.97935e-18
3363.65793 8.82418e-18
3366.66243 8.52611e-18
3369.66693 8.72215e-18
3372.66142 9.41514e-18
3375.66592 8.63709e-18
3378.67042 8.94588e-18
3381.66490 9.02260e-18
3384.66940 9.02685e-18
3387.67390 8.74358e-18
3390.66839 8.59825e-18
3393.67289 9.05826e-18
3396.67739 9.25190e-18
3399.68189 8.84192e-18
3402.67637 9.08393e-18
3405.68087 8.61325e-18
3408.68537 8.86416e-18
3411.67986 9.19273e-18
3414.68436 8.53084e-18
3417.68886 8.38409e-18
3420.68334 8.77012e-18
3423.68784 8.98629e-18
3426.69234 9.17447e-18
3429.69684 8.86645e-18
3432.69133 8.74213e-18
3435.69583 8.96419e-18
3438.70033 9.18789e-18
3441.69481 8.85919e-18
3444.69931 8.50020e-18
3447.70381 8.88389e-18
3450.69830 9.28662e-18
3453.70280 9.38348e-18
3456.70730 9.00166e-18
3459.70178 8.93491e-18
3462.70628 8.72382e-18
3465.71078 8.75120e-18
3468.71528 8.38592e-18
3471.70977 8.86502e-18
3474.71427 9.63528e-18
3477.71877 9.13079e-18
3480.71325 9.35102e-18
3483.71775 9.16653e-18
3486.72225 9.08489e-18
3489.71673 9.11410e-18
3492.72123 8.86383e-18
3495.72573 8.93904e-18
3498.73023 9.42267e-18
3501.72472 8.90714e-18
3504.72922 8.84089e-18
3507.73372 8.92580e-18
3510.72820 8.65325e-18
3513.73270 8.75236e-18
3516.73720 8.97010e-18
3519.73169 9.14631e-18
3522.73619 9.15707e-18
3525.74069 8.67691e-18
3528.74519 8.51884e-18
3531.73967 8.65726e-18
3534.74417 8.87703e-18
3537.74867 8.89477e-18
3540.74316 8.91306e-18
3543.74766 8.53309e-18
3546.75216 8.06784e-18
3549.74665 8.44905e-18
3552.75115 8.50788e-18
3555.75565 8.05191e-18
3558.75013 8.12070e-18
3561.75463 7.90145e-18
3564.75913 7.94894e-18
3567.76363 8.37530e-18
3570.75812 8.17556e-18
3573.76262 8.11859e-18
3576.76712 7.83590e-18
3579.76160 7.99355e-18
3582.76610 8.19323e-18
3585.77060 8.14444e-18
3588.76508 7.96464e-18
3591.76959 8.14593e-18
3594.77409 8.27277e-18
3597.77859 8.10002e-18
3600.77307 8.04092e-18
3603.77757 8.42314e-18
3606.78207 8.50209e-18
3609.77655 8.15432e-18
3612.78105 8.02621e-18
3615.78555 8.37788e-18
3618.78004 8.74434e-18
3621.78454 8.80806e-18
3624.78904 9.21044e-18
3627.78353 9.35165e-18
3630.78803 9.15859e-18
3633.79253 9.22557e-18
3636.79703 9.40379e-18
3639.79151 9.84432e-18
3642.79601 1.02798e-17
3645.80051 1.01924e-17
3648.79500 1.03151e-17
3651.79950 1.06407e-17
3654.80400 1.09815e-17
3657.79848 1.08617e-17
3660.80298 1.10209e-17
3663.80748 1.12647e-17
3666.81198 1.16847e-17
3669.80647 1.19022e-17
3672.81097 1.19956e-17
3675.81547 1.17024e-17
3678.80995 1.14937e-17
3681.81445 1.13992e-17
3684.81895 1.15565e-17
3687.81344 1.17515e-17
3690.81794 1.15061e-17
3693.82244 1.14203e-17
3696.81692 1.18122e-17
3699.82142 1.23472e-17
3702.82592 1.22431e-17
3705.83042 1.20528e-17
3708.82491 1.21437e-17
3711.82941 1.22774e-17
3714.83391 1.17484e-17
3717.82839 1.12367e-17
3720.83289 1.13314e-17
3723.83739 1.11797e-17
3726.83188 1.06546e-17
3729.83638 1.07825e-17
3732.84088 1.07030e-17
3735.83536 1.04274e-17
3738.83986 1.01398e-17
3741.84436 1.00623e-17
3744.84886 9.60954e-18
3747.84335 9.36516e-18
3750.84785 9.37311e-18
3753.85235 9.24628e-18
3756.84683 9.10920e-18
3759.85133 8.97803e-18
3762.85583 8.94045e-18
3765.85032 8.92485e-18
3768.85482 8.93137e-18
3771.85932 8.76539e-18
3774.86382 8.62687e-18
3777.85830 8.64379e-18
3780.86280 8.69547e-18
3783.86730 8.65010e-18
3786.86179 8.80345e-18
3789.86629 9.07988e-18
3792.87079 9.13014e-18
3795.86527 9.08768e-18
3798.86977 9.12885e-18
3801.87427 9.29221e-18
3804.87877 9.50398e-18
3807.87326 9.65992e-18
3810.87776 9.61550e-18
3813.88226 9.89615e-18
3816.87674 1.02086e-17
3819.88124 1.05169e-17
3822.88574 1.09144e-17
3825.88023 1.12984e-17
3828.88473 1.15873e-17
3831.88923 1.21336e-17
3834.88371 1.25791e-17
3837.88821 1.26487e-17
3840.89271 1.29357e-17
3843.89721 1.32653e-17
3846.89170 1.36832e-17
3849.89620 1.38487e-17
3852.90070 1.42826e-17
3855.89518 1.49352e-17
3858.89968 1.53755e-17
3861.90418 1.56050e-17
3864.89867 1.57279e-17
3867.90317 1.60709e-17
3870.90767 1.66976e-17
3873.90215 1.69466e-17
3876.90665 1.71254e-17
3879.91115 1.74659e-17
3882.91565 1.76211e-17
3885.91014 1.79859e-17
3888.91464 1.81688e-17
3891.91914 1.82997e-17
3894.91362 1.83389e-17
3897.91812 1.87329e-17
3900.92262 1.89046e-17
3903.91711 1.91431e-17
3906.92161 1.91725e-17
3909.92611 1.88778e-17
3912.93061 1.85081e-17
3915.92509 1.86087e-17
3918.92959 1.89670e-17
3921.93409 1.88154e-17
3924.92858 1.85457e-17
3927.93308 1.83842e-17
3930.93758 1.81057e-17
3933.93206 1.81310e-17
3936.93656 1.80794e-17
3939.94106 1.80461e-17
3942.94556 1.86406e-17
3945.94005 1.85901e-17
3948.94455 1.84178e-17
3951.94905 1.91398e-17
3954.94353 1.94114e-17
3957.94803 1.91905e-17
3960.95253 1.89310e-17
3963.94702 1.89679e-17
3966.95152 1.91374e-17
3969.95602 1.88431e-17
3972.95050 1.90266e-17
3975.95500 1.91639e-17
3978.95950 1.89858e-17
3981.96400 1.90919e-17
3984.95849 1.90506e-17
3987.96299 1.92112e-17
3990.96749 1.96022e-17
3993.96197 1.96080e-17
3996.96647 1.93579e-17
3999.97097 1.94307e-17
4002.96546 1.92353e-17
4005.96996 1.88874e-17
4008.97446 1.87324e-17
4011.97896 1.86989e-17
4014.97344 1.89863e-17
4017.97794 1.88944e-17
4020.98244 1.87096e-17
4023.97692 1.86751e-17
4026.98142 1.83229e-17
4029.98592 1.84040e-17
4032.98041 1.82111e-17
4035.98491 1.79905e-17
4038.98941 1.75968e-17
4041.98389 1.73895e-17
4044.98839 1.71665e-17
4047.99289 1.67806e-17
4050.99739 1.67201e-17
4053.99188 1.66328e-17
4056.99638 1.65693e-17
4060.00088 1.66424e-17
4062.99537 1.64817e-17
4065.99987 1.59941e-17
4069.00437 1.58534e-17
4071.99885 1.59076e-17
4075.00335 1.55879e-17
4078.00785 1.51127e-17
4081.01235 1.49150e-17
4084.00684 1.47265e-17
4087.01134 1.45435e-17
4090.01584 1.45525e-17
4093.01032 1.44425e-17
4096.01482 1.41495e-17
4099.01932 1.39988e-17
4102.01381 1.37743e-17
4105.01831 1.34298e-17
4108.02281 1.32926e-17
4111.01729 1.31501e-17
4114.02179 1.30085e-17
4117.02629 1.29423e-17
4120.03079 1.27432e-17
4123.02528 1.26349e-17
4126.02978 1.26058e-17
4129.03428 1.25800e-17
4132.02876 1.24289e-17
4135.03326 1.22344e-17
4138.03776 1.22260e-17
4141.03225 1.20879e-17
4144.03675 1.19529e-17
4147.04125 1.18813e-17
4150.04575 1.17358e-17
4153.04023 1.16168e-17
4156.04473 1.14543e-17
4159.04923 1.16925e-17
4162.04372 1.16839e-17
4165.04822 1.14292e-17
4168.05272 1.15613e-17
4171.04720 1.18507e-17
4174.05170 1.19657e-17
4177.05620 1.17131e-17
4180.05069 1.17627e-17
4183.05519 1.21305e-17
4186.05969 1.22148e-17
4189.06419 1.21744e-17
4192.05867 1.23461e-17
4195.06317 1.25142e-17
4198.06767 1.25153e-17
4201.06216 1.25942e-17
4204.06666 1.28951e-17
4207.07116 1.32317e-17
4210.06564 1.32797e-17
4213.07014 1.32567e-17
4216.07464 1.33776e-17
4219.06912 1.35931e-17
4222.07362 1.39766e-17
4225.07812 1.40088e-17
4228.08263 1.40137e-17
4231.07711 1.42326e-17
4234.08161 1.43147e-17
4237.08611 1.46660e-17
4240.08059 1.49239e-17
4243.08509 1.48207e-17
4246.08959 1.48570e-17
4249.08408 1.50562e-17
4252.08858 1.51887e-17
4255.09308 1.53624e-17
4258.09758 1.57499e-17
4261.09207 1.58124e-17
4264.09656 1.57207e-17
4267.10106 1.59464e-17
4270.09555 1.60679e-17
4273.10005 1.59234e-17
4276.10455 1.58272e-17
4279.09904 1.60835e-17
4282.10354 1.62290e-17
4285.10804 1.61674e-17
4288.11254 1.61621e-17
4291.10702 1.61948e-17
4294.11152 1.64482e-17
4297.11602 1.65728e-17
4300.11051 1.63964e-17
4303.11501 1.65097e-17
4306.11951 1.66138e-17
4309.11399 1.62666e-17
4312.11849 1.58853e-17
4315.12299 1.57387e-17
4318.11748 1.55823e-17
4321.12198 1.53558e-17
4324.12648 1.53268e-17
4327.13098 1.52115e-17
4330.12546 1.49944e-17
4333.12996 1.49836e-17
4336.13446 1.49531e-17
4339.12895 1.48349e-17
4342.13345 1.46354e-17
4345.13795 1.43810e-17
4348.13243 1.42122e-17
4351.13693 1.40040e-17
4354.14143 1.39335e-17
4357.14593 1.38477e-17
4360.14041 1.36795e-17
4363.14491 1.36469e-17
4366.14941 1.35543e-17
4369.14390 1.34439e-17
4372.14840 1.33708e-17
4375.15290 1.33793e-17
4378.14739 1.34457e-17
4381.15189 1.33216e-17
4384.15639 1.32362e-17
4387.15087 1.33200e-17
4390.15537 1.33699e-17
4393.15987 1.33934e-17
4396.16437 1.33838e-17
4399.15885 1.36273e-17
4402.16335 1.37162e-17
4405.16785 1.38072e-17
4408.16234 1.41498e-17
4411.16684 1.43742e-17
4414.17134 1.45460e-17
4417.16583 1.48001e-17
4420.17033 1.51230e-17
4423.17483 1.51337e-17
4426.16931 1.55339e-17
4429.17381 1.58398e-17
4432.17831 1.58201e-17
4435.18281 1.61462e-17
4438.17730 1.63521e-17
4441.18180 1.66444e-17
4444.18630 1.67828e-17
4447.18078 1.70687e-17
4450.18528 1.72329e-17
4453.18978 1.74004e-17
4456.18427 1.76278e-17
4459.18877 1.77998e-17
4462.19327 1.79679e-17
4465.19777 1.82664e-17
4468.19225 1.86474e-17
4471.19675 1.89333e-17
4474.20125 1.90804e-17
4477.19574 1.93556e-17
4480.20024 1.95424e-17
4483.20474 1.96105e-17
4486.19922 1.94961e-17
4489.20372 1.99148e-17
4492.20822 2.04357e-17
4495.21272 2.04488e-17
4498.20721 2.01384e-17
4501.21171 2.04040e-17
4504.21621 2.08164e-17
4507.21069 2.10401e-17
4510.21519 2.09867e-17
4513.21969 2.09641e-17
4516.21418 2.09212e-17
4519.21868 2.09810e-17
4522.22318 2.08822e-17
4525.21766 2.07233e-17
4528.22216 2.05807e-17
4531.22666 2.04981e-17
4534.23116 2.04945e-17
4537.22565 2.05937e-17
4540.23015 2.04759e-17
4543.23465 2.04048e-17
4546.22913 2.00511e-17
4549.23363 1.98580e-17
4552.23813 1.98451e-17
4555.23261 1.98093e-17
4558.23711 1.96326e-17
4561.24161 1.93466e-17
4564.24611 1.88408e-17
4567.24060 1.83879e-17
4570.24510 1.82889e-17
4573.24960 1.82305e-17
4576.24409 1.79701e-17
4579.24859 1.79060e-17
4582.25309 1.77215e-17
4585.24757 1.73954e-17
4588.25207 1.71053e-17
4591.25657 1.70965e-17
4594.25105 1.70178e-17
4597.25555 1.67028e-17
4600.26005 1.64990e-17
4603.26455 1.63493e-17
4606.25904 1.61292e-17
4609.26354 1.60057e-17
4612.26804 1.58688e-17
4615.26253 1.56130e-17
4618.26703 1.56120e-17
4621.27153 1.55467e-17
4624.26601 1.52087e-17
4627.27051 1.48723e-17
4630.27501 1.46818e-17
4633.26950 1.45129e-17
4636.27400 1.41363e-17
4639.27850 1.38490e-17
4642.28300 1.38964e-17
4645.27748 1.37392e-17
4648.28198 1.34980e-17
4651.28648 1.32921e-17
4654.28097 1.32116e-17
4657.28547 1.32631e-17
4660.28997 1.31384e-17
4663.28445 1.29832e-17
4666.28895 1.31001e-17
4669.29345 1.31830e-17
4672.29795 1.32329e-17
4675.29244 1.33222e-17
4678.29694 1.34814e-17
4681.30144 1.36369e-17
4684.29592 1.37677e-17
4687.30042 1.40753e-17
4690.30492 1.43288e-17
4693.29941 1.43628e-17
4696.30391 1.44501e-17
4699.30841 1.46606e-17
4702.31291 1.47256e-17
4705.30739 1.49003e-17
4708.31189 1.50434e-17
4711.31639 1.50587e-17
4714.31088 1.50982e-17
4717.31538 1.52539e-17
4720.31988 1.54932e-17
4723.31436 1.54832e-17
4726.31886 1.55505e-17
4729.32336 1.58363e-17
4732.31784 1.59271e-17
4735.32234 1.58863e-17
4738.32684 1.59247e-17
4741.33134 1.62830e-17
4744.32583 1.64666e-17
4747.33033 1.64974e-17
4750.33483 1.67635e-17
4753.32931 1.71574e-17
4756.33381 1.75560e-17
4759.33831 1.76207e-17
4762.33280 1.75659e-17
4765.33730 1.76412e-17
4768.34180 1.76689e-17
4771.33629 1.78736e-17
4774.34079 1.79984e-17
4777.34528 1.81319e-17
4780.34978 1.82647e-17
4783.34427 1.81858e-17
4786.34877 1.81166e-17
4789.35327 1.82692e-17
4792.34776 1.83333e-17
4795.35226 1.82610e-17
4798.35676 1.83242e-17
4801.35124 1.83349e-17
4804.35574 1.82169e-17
4807.36024 1.80943e-17
4810.36474 1.80498e-17
4813.35923 1.80441e-17
4816.36373 1.78294e-17
4819.36823 1.76424e-17
4822.36271 1.77870e-17
4825.36721 1.77319e-17
4828.37171 1.76016e-17
4831.36620 1.76517e-17
4834.37070 1.77771e-17
4837.37520 1.78981e-17
4840.37970 1.79995e-17
4843.37418 1.81881e-17
4846.37868 1.84001e-17
4849.38318 1.84288e-17
4852.37766 1.84493e-17
4855.38216 1.84181e-17
4858.38666 1.84775e-17
4861.38115 1.87154e-17
4864.38565 1.88152e-17
4867.39015 1.89364e-17
4870.38464 1.88184e-17
4873.38914 1.87336e-17
4876.39364 1.88540e-17
4879.39814 1.89656e-17
4882.39262 1.89273e-17
4885.39712 1.89607e-17
4888.40162 1.92206e-17
4891.39610 1.93644e-17
4894.40060 1.93745e-17
4897.40510 1.93652e-17
4900.39959 1.92771e-17
4903.40409 1.92801e-17
4906.40859 1.92722e-17
4909.41309 1.91053e-17
4912.40758 1.90509e-17
4915.41208 1.90057e-17
4918.41658 1.89567e-17
4921.41106 1.88269e-17
4924.41556 1.85005e-17
4927.42006 1.84365e-17
4930.41454 1.85391e-17
4933.41904 1.84308e-17
4936.42354 1.81160e-17
4939.41803 1.78714e-17
4942.42253 1.77081e-17
4945.42703 1.77259e-17
4948.43153 1.73867e-17
4951.42602 1.71098e-17
4954.43052 1.69342e-17
4957.43502 1.67368e-17
4960.42950 1.66595e-17
4963.43400 1.65992e-17
4966.43850 1.65380e-17
4969.43299 1.63984e-17
4972.43749 1.62761e-17
4975.44199 1.62354e-17
4978.43647 1.60837e-17
4981.44097 1.59466e-17
4984.44547 1.59757e-17
4987.44997 1.61056e-17
4990.44446 1.59882e-17
4993.44896 1.59112e-17
