# wavelength flux
3341.84277 1.81417e-17
3343.72006 3.40129e-17
3345.59736 1.40601e-18
3347.47466 -1.51565e-17
3349.35196 2.65326e-17
3351.22926 3.66652e-17
3353.10655 3.54753e-17
3354.98385 2.30922e-17
3356.87124 2.53473e-18
3358.74854 1.53301e-17
3360.62584 1.95099e-17
3362.50314 -2.83737e-17
3364.38043 -3.69195e-17
3366.25773 3.99441e-17
3368.13503 7.15608e-17
3370.01233 2.24054e-17
3371.88963 5.39613e-18
3373.76692 1.17669e-17
3375.65432 6.99667e-18
3377.53161 1.09110e-17
3379.40891 5.35584e-18
3381.28621 -1.56798e-17
3383.16351 -1.27668e-17
3385.04081 8.05766e-19
3386.91810 -1.66816e-17
3388.79540 -1.45388e-17
3390.67270 -1.00525e-17
3392.56009 8.88579e-18
3394.43739 2.91561e-17
3396.31469 1.76063e-17
3398.19198 6.22204e-18
3400.06928 2.97118e-17
3401.94658 4.16408e-17
3403.82388 1.72120e-17
3405.70118 3.53878e-18
3407.57847 4.45227e-18
3409.45577 -1.45852e-17
3411.34316 -2.71218e-17
3413.22046 -3.06061e-18
3415.09776 1.66666e-17
3416.97506 -3.58810e-18
3418.85235 -3.39907e-17
3420.72965 -2.76022e-17
3422.60695 1.61046e-17
3424.48425 2.20979e-17
3426.36155 -1.40869e-17
3428.23885 -9.69675e-18
3430.12624 2.35067e-17
3432.00353 2.26752e-17
3433.88083 1.77612e-18
3435.75813 2.08080e-17
3437.63543 4.45209e-17
3439.51273 2.45777e-17
3441.39002 1.40952e-18
3443.26732 1.14098e-17
3445.14462 -6.07267e-18
3447.03201 -7.97194e-18
3448.90931 1.67658e-17
3450.78661 -1.29658e-17
3452.66391 -1.92393e-17
3454.54120 1.59740e-17
3456.41850 2.32213e-17
3458.29580 2.22376e-17
3460.17310 9.97759e-18
3462.05040 6.07041e-18
3463.92769 -6.04382e-18
3465.81508 1.25962e-17
3467.69238 1.88493e-17
3469.56968 9.10072e-18
3471.44698 2.52800e-17
3473.32428 4.32324e-17
3475.20157 3.30207e-17
3477.07887 2.22947e-17
3478.95617 1.44268e-17
3480.83347 1.24057e-17
3482.71077 1.12648e-17
3484.59816 6.26215e-18
3486.47546 1.21099e-17
3488.35275 1.96679e-17
3490.23005 1.00740e-17
3492.10735 9.86853e-18
3493.98465 1.96084e-17
3495.86195 1.12243e-17
3497.73924 1.39887e-17
3499.61654 1.91586e-17
3501.50393 1.24390e-17
3503.38123 -2.01889e-19
3505.25853 3.62332e-18
3507.13583 1.55419e-17
3509.01312 9.81007e-18
3510.89042 3.91979e-18
3512.76772 1.13997e-17
3514.64502 1.25220e-17
3516.52232 1.04902e-17
3518.39961 4.45671e-18
3520.28701 -1.14610e-18
3522.16430 5.19495e-18
3524.04160 8.72360e-19
3525.91890 -3.46435e-18
3527.79620 1.32228e-18
3529.67350 -2.29628e-18
3531.55079 -5.83172e-18
3533.42809 -4.87810e-18
3535.30539 -1.67196e-18
3537.18269 4.88828e-18
3539.07008 2.20287e-18
3540.94738 7.08901e-19
3542.82467 -2.64412e-18
3544.70197 1.25478e-18
3546.57927 1.87596e-17
3548.45657 1.22071e-17
3550.33387 2.63292e-18
3552.21116 1.42362e-17
3554.08846 1.49912e-17
3555.97585 9.28555e-18
3557.85315 -2.88796e-18
3559.73045 -5.77691e-18
3561.60775 1.85773e-18
3563.48505 -1.81303e-18
3565.36234 2.70491e-18
3567.23964 1.68526e-17
3569.11694 1.14389e-17
3570.99424 8.05736e-18
3572.87154 1.55725e-17
3574.75893 1.31772e-17
3576.63622 7.97082e-18
3578.51352 -1.01079e-18
3580.39082 -1.78751e-18
3582.26812 5.10233e-18
3584.14542 7.48896e-18
3586.02271 4.96227e-18
3587.90001 9.51673e-18
3589.77731 6.33706e-18
3591.65461 1.73704e-18
3593.54200 -2.08515e-18
3595.41930 -9.41207e-18
3597.29660 -5.65737e-18
3599.17389 5.70986e-18
3601.05119 1.19068e-17
3602.92849 1.28128e-17
3604.80579 2.16921e-18
3606.68309 1.97071e-18
3608.56038 6.17716e-18
3610.44777 4.36585e-18
3612.32507 9.48080e-18
3614.20237 9.12533e-18
3616.07967 4.06352e-18
3617.95697 4.04410e-18
3619.83426 1.01504e-18
3621.71156 9.37019e-18
3623.58886 1.55315e-17
3625.46616 1.16007e-17
3627.34346 6.05029e-18
3629.23085 3.57421e-18
3631.10815 7.72480e-18
3632.98544 8.02472e-18
3634.86274 9.21847e-19
3636.74004 4.12973e-18
3638.61734 1.68517e-17
3640.49464 1.22093e-17
3642.37193 1.35974e-18
3644.24923 6.14612e-18
3646.12653 1.04236e-17
3648.01392 8.33324e-18
3649.89122 7.91427e-18
3651.76852 4.57631e-18
3653.64581 2.50845e-18
3655.52311 1.05812e-17
