# wavelength flux
3500.86968 6.89763e-18
3501.72522 6.75774e-18
3502.59094 3.84124e-18
3503.45667 2.57792e-18
3504.31221 2.02200e-18
3505.17794 1.98316e-18
3506.04366 3.26568e-18
3506.89920 3.45734e-18
3507.76492 3.02507e-18
3508.62046 5.05433e-18
3509.48619 7.66625e-18
3510.35192 7.16892e-18
3511.20745 4.95175e-18
3512.07318 3.71736e-18
3512.93890 3.21597e-18
3513.79444 3.08567e-18
3514.66017 2.76751e-18
3515.52589 2.95817e-18
3516.38144 3.86391e-18
3517.24716 3.96114e-18
3518.10270 3.38358e-18
3518.96843 2.04746e-18
3519.83415 1.25122e-18
3520.68969 2.41595e-18
3521.55541 3.66153e-18
3522.42114 4.47811e-18
3523.27668 3.60138e-18
3524.14241 2.04627e-18
3524.99794 2.83915e-18
3525.86367 3.45548e-18
3526.72939 3.57340e-18
3527.58494 5.05222e-18
3528.45066 5.61172e-18
3529.31639 5.86591e-18
3530.17193 5.91225e-18
3531.03765 5.12501e-18
3531.89319 5.51086e-18
3532.75891 4.66594e-18
3533.62464 1.98457e-18
3534.48018 8.58887e-19
3535.34591 1.64782e-18
3536.21163 3.00480e-18
3537.06717 3.46464e-18
3537.93289 3.75394e-18
3538.79862 4.29561e-18
3539.65416 3.31055e-18
3540.51988 2.35403e-18
3541.37543 3.85241e-18
3542.24115 4.75199e-18
3543.10687 3.58971e-18
3543.96241 4.11868e-18
3544.82814 6.18354e-18
3545.69386 5.62999e-18
3546.54940 3.24357e-18
3547.41513 2.98213e-18
3548.27067 3.34407e-18
3549.13639 2.40012e-18
3550.00212 1.77629e-18
3550.85766 2.47636e-18
3551.72338 4.42037e-18
3552.58911 5.09933e-18
3553.44465 3.83756e-18
3554.31038 2.52158e-18
3555.16592 2.46483e-18
3556.03164 3.19957e-18
3556.89736 3.11090e-18
3557.75290 1.77357e-18
3558.61863 1.73085e-18
3559.48435 3.33352e-18
3560.33990 4.34079e-18
3561.20562 4.62218e-18
3562.07134 4.46525e-18
3562.92688 3.87079e-18
3563.79261 2.79327e-18
3564.64815 1.74713e-18
3565.51387 2.26328e-18
3566.37960 3.23334e-18
3567.23514 3.32784e-18
3568.10086 3.48475e-18
3568.96659 3.59929e-18
3569.82213 2.40609e-18
3570.68785 9.67447e-19
3571.54340 3.68855e-19
3572.40912 1.50255e-18
3573.27484 3.21954e-18
3574.13038 3.34115e-18
3574.99611 3.59306e-18
3575.86183 4.83732e-18
3576.71737 3.88040e-18
3577.58310 1.55785e-18
3578.43864 2.24643e-18
3579.30436 3.30490e-18
3580.17009 2.21357e-18
3581.02563 1.91124e-18
3581.89135 3.41976e-18
3582.75708 4.11621e-18
3583.61262 3.08829e-18
3584.47834 2.61812e-18
3585.34407 2.48145e-18
3586.19961 3.10537e-18
3587.06533 4.28957e-18
3587.92087 3.50650e-18
3588.78660 2.24652e-18
3589.65232 1.92214e-18
3590.50787 1.91690e-18
3591.37359 1.74680e-18
3592.23931 2.72966e-18
3593.09485 4.62067e-18
3593.96058 3.85944e-18
3594.81612 1.38575e-18
3595.68184 1.26420e-18
3596.54757 3.06246e-18
3597.40311 3.29453e-18
3598.26883 2.18941e-18
3599.13456 1.70780e-18
3599.99010 1.20623e-18
3600.85582 7.70124e-19
3601.71136 1.02716e-18
3602.57709 1.65648e-18
3603.44281 2.38346e-18
3604.29835 3.32686e-18
3605.16408 3.85948e-18
3606.02981 3.88307e-18
3606.88534 4.09274e-18
3607.75107 3.63380e-18
3608.61679 3.37874e-18
3609.47233 3.91345e-18
3610.33806 4.11419e-18
3611.19360 3.95394e-18
3612.05932 3.34437e-18
3612.92505 3.00641e-18
3613.78059 3.05854e-18
3614.64631 2.57005e-18
3615.51204 2.41260e-18
3616.36758 3.09239e-18
3617.23331 3.13201e-18
3618.08884 3.03702e-18
3618.95457 3.10961e-18
3619.82029 2.65518e-18
3620.67583 1.72824e-18
3621.54156 1.51488e-18
3622.40728 3.64003e-18
3623.26282 4.73609e-18
3624.12855 3.34978e-18
3624.99428 2.97187e-18
3625.84981 4.05687e-18
3626.71554 4.68753e-18
3627.57108 3.40239e-18
3628.43681 1.43217e-18
3629.30253 8.27633e-19
3630.15807 1.66967e-18
3631.02380 2.97420e-18
3631.88952 2.91888e-18
3632.74506 2.74104e-18
3633.61078 3.94766e-18
3634.46632 4.06371e-18
3635.33205 2.64626e-18
3636.19778 2.64016e-18
3637.05331 3.99870e-18
3637.91904 3.55563e-18
3638.78476 1.38095e-18
3639.64030 5.66140e-19
3640.50603 9.51077e-19
3641.36157 7.16289e-19
3642.22730 5.60083e-19
3643.09302 1.38978e-18
3643.94856 2.76877e-18
3644.81428 3.09825e-18
3645.68001 2.56005e-18
3646.53555 2.52306e-18
3647.40128 2.36680e-18
3648.25681 2.75094e-18
3649.12254 4.12787e-18
3649.98826 3.83111e-18
3650.84380 1.92742e-18
3651.70953 1.02680e-18
3652.57525 9.17502e-19
3653.43080 7.98614e-19
3654.29652 1.91793e-18
3655.16224 4.38198e-18
3656.01779 5.46923e-18
3656.88351 4.72558e-18
3657.73905 4.71424e-18
3658.60477 4.77919e-18
3659.47050 3.90357e-18
3660.32604 3.72945e-18
3661.19177 3.17850e-18
3662.05749 1.90056e-18
3662.91303 2.35269e-18
3663.77875 3.44512e-18
3664.63429 3.21156e-18
3665.50002 2.74526e-18
3666.36575 3.16038e-18
3667.22129 4.08854e-18
3668.08701 5.19379e-18
3668.95273 5.56658e-18
3669.80827 4.23825e-18
3670.67400 2.31482e-18
3671.52954 2.00237e-18
3672.39527 3.32335e-18
3673.26099 3.68930e-18
3674.11653 3.24137e-18
3674.98225 3.38962e-18
3675.84798 3.56481e-18
3676.70352 5.08626e-18
3677.56924 6.72748e-18
3678.43497 5.56749e-18
3679.29051 3.42751e-18
3680.15623 3.15318e-18
3681.01177 4.13942e-18
3681.87750 3.80964e-18
3682.74322 2.30438e-18
3683.59876 1.90484e-18
3684.46449 2.08366e-18
3685.33021 1.61849e-18
3686.18575 2.53102e-18
3687.05148 3.44979e-18
3687.90702 2.90641e-18
3688.77274 3.55965e-18
3689.63847 5.06400e-18
3690.49401 5.26435e-18
3691.35974 4.42184e-18
3692.22546 2.60819e-18
3693.08100 9.56564e-19
3693.94672 1.19702e-18
3694.80226 2.08517e-18
3695.66799 2.03349e-18
3696.53371 2.05583e-18
3697.38926 3.06969e-18
3698.25498 4.04461e-18
3699.12070 4.39001e-18
3699.97624 4.24613e-18
3700.84197 3.30977e-18
3701.70769 2.44594e-18
3702.56323 2.47808e-18
3703.42896 2.96379e-18
3704.28450 2.96768e-18
3705.15022 1.68734e-18
3706.01595 9.48586e-19
3706.87149 2.24597e-18
3707.73721 4.00063e-18
3708.60294 4.36388e-18
3709.45848 4.31297e-18
3710.32420 4.55397e-18
3711.17974 5.07218e-18
3712.04547 5.14377e-18
3712.91119 4.00901e-18
3713.76673 2.91718e-18
3714.63246 2.75737e-18
3715.49818 2.86080e-18
3716.35372 2.87087e-18
3717.21945 3.12102e-18
3718.07499 3.52926e-18
3718.94071 3.18899e-18
3719.80644 2.06597e-18
3720.66198 2.05154e-18
3721.52770 3.00957e-18
3722.39343 2.44597e-18
3723.24897 1.45445e-18
3724.11469 1.35447e-18
3724.98042 1.41494e-18
3725.83596 2.09986e-18
3726.70168 2.79764e-18
3727.55722 2.26045e-18
3728.42295 2.30263e-18
3729.28868 3.12892e-18
3730.14421 3.25860e-18
3731.00994 3.70248e-18
3731.87567 4.58791e-18
3732.73120 4.80391e-18
3733.59693 3.84261e-18
3734.45247 2.80583e-18
3735.31819 2.25344e-18
3736.18392 2.30790e-18
3737.03946 2.95206e-18
3737.90519 3.16880e-18
3738.77091 2.76358e-18
3739.62645 2.36082e-18
3740.49217 2.33140e-18
3741.35790 2.40668e-18
3742.21344 2.77321e-18
3743.07917 3.90617e-18
3743.93470 4.29782e-18
3744.80043 3.43638e-18
3745.66615 2.87307e-18
3746.52169 2.52047e-18
3747.38742 1.93180e-18
3748.25315 1.66026e-18
3749.10869 1.60695e-18
3749.97441 1.61030e-18
3750.82995 2.06339e-18
3751.69567 2.26324e-18
3752.56140 2.82984e-18
3753.41694 3.72292e-18
3754.28267 3.37477e-18
3755.14839 3.07170e-18
3756.00393 3.35305e-18
3756.86965 2.86595e-18
3757.72519 2.48741e-18
3758.59092 3.14736e-18
3759.45664 3.99120e-18
3760.31219 4.46203e-18
3761.17791 4.70935e-18
3762.04363 4.91176e-18
3762.89918 5.40679e-18
3763.76490 4.87676e-18
3764.62044 3.13961e-18
3765.48616 1.98650e-18
3766.35189 2.38237e-18
3767.20743 3.05579e-18
3768.07316 3.41202e-18
3768.93888 3.70610e-18
3769.79442 3.88994e-18
3770.66014 3.72040e-18
3771.52587 3.71285e-18
3772.38141 4.28369e-18
3773.24714 4.63674e-18
3774.10268 4.50892e-18
3774.96840 4.78083e-18
3775.83412 5.79763e-18
3776.68966 5.76934e-18
3777.55539 5.74104e-18
3778.42111 5.71276e-18
3779.27666 5.68448e-18
3780.14238 5.63647e-18
3780.99792 5.58845e-18
3781.86364 5.54044e-18
3782.72937 5.49246e-18
3783.58491 5.44446e-18
3784.45063 5.39649e-18
3785.31636 5.34850e-18
3786.17190 5.30054e-18
3787.03762 5.25256e-18
3787.89316 5.20461e-18
3788.75889 5.15665e-18
3789.62461 5.10871e-18
3790.48015 5.06077e-18
3791.34588 5.01285e-18
3792.21160 4.96492e-18
3793.06714 4.91700e-18
3793.93287 4.86908e-18
3794.79859 4.82118e-18
3795.65413 4.77327e-18
3796.51986 4.72538e-18
3797.37540 4.67748e-18
3798.24113 4.62959e-18
3799.10685 4.58172e-18
3799.96239 4.53384e-18
3800.82811 4.48600e-18
3801.69384 4.43813e-18
3802.54938 4.39028e-18
3803.41510 4.34243e-18
3804.27065 4.29460e-18
3805.13637 4.24675e-18
3806.00209 4.19893e-18
3806.85763 4.15110e-18
3807.72336 4.10329e-18
3808.58908 4.05547e-18
3809.44462 4.00767e-18
3810.31035 3.95988e-18
3811.16589 3.91210e-18
3812.03161 3.86430e-18
3812.89734 3.81653e-18
3813.75288 3.76875e-18
3814.61860 3.72097e-18
3815.48433 3.67321e-18
3816.33987 3.62545e-18
3817.20559 3.09525e-18
3818.07132 3.50459e-18
3818.92686 3.85455e-18
3819.79258 3.34621e-18
3820.64812 3.34742e-18
3821.51385 3.63624e-18
3822.37957 3.16655e-18
3823.23511 3.09831e-18
3824.10084 3.36205e-18
3824.96656 3.50843e-18
3825.82210 3.82355e-18
3826.68783 3.97530e-18
3827.54337 3.96019e-18
3828.40909 4.13602e-18
3829.27482 4.35246e-18
3830.13036 4.49394e-18
3830.99608 4.70715e-18
3831.86181 5.26335e-18
3832.71735 5.36404e-18
3833.58307 4.21137e-18
3834.44880 3.37216e-18
3835.30434 3.94076e-18
3836.17006 4.62878e-18
3837.02560 4.70075e-18
3837.89133 4.45913e-18
3838.75706 4.53489e-18
3839.61259 5.23222e-18
3840.47832 5.83735e-18
3841.34404 5.95723e-18
3842.19958 5.44803e-18
3843.06531 4.07226e-18
3843.92085 3.20736e-18
3844.78657 3.93058e-18
3845.65230 4.71503e-18
3846.50784 3.66986e-18
3847.37356 2.34022e-18
3848.23929 2.70983e-18
3849.09483 2.80935e-18
3849.96056 2.90585e-18
3850.81609 4.11304e-18
3851.68182 4.49704e-18
3852.54754 4.05822e-18
3853.40308 3.91405e-18
3854.26881 4.22767e-18
3855.13454 4.79259e-18
3855.99007 4.86912e-18
3856.85580 4.80394e-18
3857.72152 4.81663e-18
3858.57706 4.14428e-18
3859.44279 3.57357e-18
3860.29833 3.99097e-18
3861.16406 4.64822e-18
3862.02978 4.60806e-18
3862.88532 3.86646e-18
3863.75104 3.25614e-18
3864.61677 3.45741e-18
3865.47231 4.64765e-18
3866.33803 5.21783e-18
3867.19357 4.33872e-18
3868.05930 3.74958e-18
3868.92503 3.49726e-18
3869.78056 3.58212e-18
3870.64629 3.91226e-18
3871.51201 3.45264e-18
3872.36756 3.55682e-18
3873.23328 3.96666e-18
3874.08882 3.50354e-18
3874.95455 3.13259e-18
3875.82027 3.01226e-18
3876.67581 3.00830e-18
3877.54153 3.35577e-18
3878.40726 3.16938e-18
3879.26280 2.26852e-18
3880.12853 2.57015e-18
3880.99425 3.37909e-18
3881.84979 3.20854e-18
3882.71551 3.15294e-18
3883.57105 3.45893e-18
3884.43678 4.21333e-18
3885.30250 4.66617e-18
3886.15805 4.21908e-18
3887.02377 4.29345e-18
3887.88949 4.78302e-18
3888.74503 4.42249e-18
3889.61076 3.42034e-18
3890.46630 3.41137e-18
3891.33203 4.27870e-18
3892.19775 4.57405e-18
3893.05329 4.39594e-18
3893.91901 4.41098e-18
3894.78474 4.73932e-18
3895.64028 4.51799e-18
3896.50600 3.69037e-18
3897.36155 3.28310e-18
3898.22727 3.48449e-18
3899.09299 3.60115e-18
3899.94853 3.38071e-18
3900.81426 3.72107e-18
3901.67998 4.51014e-18
3902.53552 4.58133e-18
3903.40125 3.76071e-18
3904.25679 2.85886e-18
3905.12252 2.87673e-18
3905.98824 4.28142e-18
3906.84378 5.52234e-18
3907.70950 4.43267e-18
3908.57523 3.01418e-18
3909.43077 3.54994e-18
3910.29650 4.48581e-18
3911.16222 4.77902e-18
3912.01776 4.79849e-18
3912.88348 4.50453e-18
3913.73902 4.10466e-18
3914.60475 3.89629e-18
3915.47047 3.72943e-18
3916.32602 3.43352e-18
3917.19174 3.10734e-18
3918.05746 2.73820e-18
3918.91300 2.67736e-18
3919.77873 2.90756e-18
3920.63427 2.85546e-18
3921.49999 2.68992e-18
3922.36572 2.97647e-18
3923.22126 3.96825e-18
3924.08698 4.52186e-18
3924.95271 4.30218e-18
3925.80825 4.14907e-18
3926.67397 4.19157e-18
3927.53970 4.48677e-18
3928.39524 4.89015e-18
3929.26096 4.59539e-18
3930.11650 3.68481e-18
3930.98223 3.26661e-18
3931.84795 2.97838e-18
3932.70349 2.34909e-18
3933.56922 2.53034e-18
3934.43494 3.62489e-18
3935.29048 4.20394e-18
3936.15621 3.85485e-18
3937.01175 3.77291e-18
3937.87747 4.58962e-18
3938.74320 4.62754e-18
3939.59874 3.73025e-18
3940.46446 3.72652e-18
3941.33019 4.28574e-18
3942.18573 3.78298e-18
3943.05145 3.09611e-18
3943.90699 3.50664e-18
3944.77272 4.42548e-18
3945.63844 5.27351e-18
3946.49398 5.53433e-18
3947.35971 5.10052e-18
3948.22544 5.21926e-18
3949.08097 5.67895e-18
3949.94670 5.49198e-18
3950.81243 5.25387e-18
3951.66796 5.28975e-18
3952.53369 5.34311e-18
3953.38923 5.32558e-18
3954.25495 5.19404e-18
3955.12068 4.72424e-18
3955.97622 4.18270e-18
3956.84194 3.92393e-18
3957.70767 4.44846e-18
3958.56321 5.41996e-18
3959.42893 5.66599e-18
3960.28447 5.58845e-18
3961.15020 5.44550e-18
3962.01593 4.64578e-18
3962.87146 4.26901e-18
3963.73719 5.23131e-18
3964.60291 6.44999e-18
3965.45845 6.72159e-18
3966.32418 6.26338e-18
3967.17972 5.67626e-18
3968.04544 5.34971e-18
3968.91117 6.03651e-18
3969.76671 7.18226e-18
3970.63243 7.07521e-18
3971.49816 6.49310e-18
3972.35370 6.69071e-18
3973.21943 6.69640e-18
3974.08515 6.61972e-18
3974.94069 7.30679e-18
3975.80642 7.62242e-18
3976.66195 7.26835e-18
3977.52768 7.28868e-18
3978.39340 7.76948e-18
3979.24894 8.12016e-18
3980.11467 7.82146e-18
3980.98040 7.13302e-18
3981.83594 7.04630e-18
3982.70166 7.23725e-18
3983.55720 7.07532e-18
3984.42292 7.81471e-18
3985.28865 9.11148e-18
3986.14419 9.44075e-18
3987.00992 9.33267e-18
3987.87564 9.12460e-18
3988.73118 8.55756e-18
3989.59690 7.75547e-18
3990.45244 7.00250e-18
3991.31817 7.44210e-18
3992.18390 8.36308e-18
3993.03944 8.23385e-18
3993.90516 7.76254e-18
3994.77088 8.01890e-18
3995.62642 9.10114e-18
3996.49215 9.94926e-18
3997.35787 9.68625e-18
3998.21342 9.08312e-18
3999.07914 8.42070e-18
3999.93468 7.63241e-18
4000.80040 7.62009e-18
4001.66613 8.27376e-18
4002.52167 9.00914e-18
4003.38739 9.38443e-18
4004.25312 8.97697e-18
4005.10866 8.43405e-18
4005.97438 7.97383e-18
4006.82993 7.29225e-18
4007.69565 7.75170e-18
4008.56137 9.05697e-18
4009.41691 9.70488e-18
4010.28264 1.03545e-17
4011.14837 1.05889e-17
4012.00391 8.98431e-18
4012.86963 7.23119e-18
4013.72517 7.91068e-18
4014.59089 9.48399e-18
4015.45662 9.05725e-18
4016.31216 7.95460e-18
4017.17789 7.75512e-18
4018.04361 7.31386e-18
4018.89915 6.93540e-18
4019.76487 7.59502e-18
4020.62041 8.39701e-18
4021.48614 8.51621e-18
4022.35186 7.76197e-18
4023.20741 6.50459e-18
4024.07313 6.52024e-18
4024.93885 7.58322e-18
4025.79439 7.85099e-18
4026.66012 7.50766e-18
4027.52584 7.12509e-18
4028.38138 7.01332e-18
4029.24711 6.54825e-18
4030.10265 6.20906e-18
4030.96837 7.10804e-18
4031.83410 7.85918e-18
4032.68964 7.61624e-18
4033.55536 6.91626e-18
4034.42109 6.55039e-18
4035.27663 6.66072e-18
4036.14235 6.92537e-18
4036.99789 6.68715e-18
4037.86362 5.75941e-18
4038.72934 5.81321e-18
4039.58488 6.78279e-18
4040.45061 6.78035e-18
4041.31633 5.89672e-18
4042.17188 5.07891e-18
4043.03760 4.82796e-18
4043.90332 5.63324e-18
4044.75886 6.46214e-18
4045.62459 6.28070e-18
4046.48013 6.16544e-18
4047.34585 6.38754e-18
4048.21158 6.06743e-18
4049.06712 5.76664e-18
4049.93284 6.02402e-18
4050.79857 6.24978e-18
4051.65411 6.03508e-18
4052.51983 5.88028e-18
4053.37537 5.98394e-18
4054.24110 5.62940e-18
4055.10682 4.98459e-18
4055.96236 5.16465e-18
4056.82809 5.84056e-18
4057.69381 5.56108e-18
4058.54935 4.47740e-18
4059.41508 4.23195e-18
4060.27062 4.55339e-18
4061.13634 3.96056e-18
4062.00207 3.47489e-18
4062.85761 4.13946e-18
4063.72333 4.67293e-18
4064.58906 5.02219e-18
4065.44460 6.13111e-18
4066.31032 6.72217e-18
4067.17605 6.43755e-18
4068.03159 6.09011e-18
4068.89731 5.85001e-18
4069.75285 5.96528e-18
4070.61858 6.18762e-18
4071.48430 6.58528e-18
4072.33984 6.73194e-18
4073.20557 6.21602e-18
4074.07130 6.44178e-18
4074.92683 7.45023e-18
4075.79256 7.49220e-18
4076.64810 6.94093e-18
4077.51382 7.71423e-18
4078.37955 9.20288e-18
4079.23509 8.86907e-18
4080.10081 7.17723e-18
4080.96654 6.38868e-18
4081.82208 7.20944e-18
4082.68781 8.62260e-18
4083.55353 8.78717e-18
4084.40907 8.18548e-18
4085.27479 8.22243e-18
4086.13033 8.40357e-18
