# wavelength flux
3400.43334 8.35269e-18
3402.31584 9.45389e-18
3404.18823 6.18356e-18
3406.07073 4.87009e-18
3407.95324 7.95602e-18
3409.82563 7.42653e-18
3411.70813 2.45699e-18
3413.59064 -5.76838e-19
3415.46302 1.63095e-18
3417.34553 4.42849e-18
3419.22804 4.36115e-18
3421.10042 4.70355e-18
3422.98293 3.80626e-18
3424.86543 2.99401e-18
3426.73782 2.12237e-18
3428.62032 4.72276e-18
3430.50283 5.37889e-18
3432.37521 2.02444e-18
3434.25772 -3.05351e-19
3436.14023 1.87481e-19
3438.01261 1.35560e-18
3439.89512 3.84776e-18
3441.77762 4.95389e-18
3443.65001 3.60081e-18
3445.53251 4.94374e-18
3447.41502 8.06797e-18
3449.28741 5.66145e-18
3451.16991 1.18137e-18
3453.05242 2.79337e-18
3454.92480 3.72936e-18
3456.80731 2.50354e-18
3458.68981 5.36216e-18
3460.56220 1.02236e-17
3462.44471 1.17135e-17
3464.32721 1.10310e-17
3466.19960 8.81471e-18
3468.08210 6.89662e-18
3469.96461 8.02003e-18
3471.83699 7.70115e-18
3473.71950 5.16420e-18
3475.60201 3.29911e-18
3477.47439 2.53064e-18
3479.35690 4.64240e-18
3481.23940 8.99527e-18
3483.11179 1.02382e-17
3484.99429 9.05974e-18
3486.87680 1.04174e-17
3488.74918 1.19222e-17
3490.63169 9.24682e-18
3492.51420 6.29326e-18
3494.38658 5.08726e-18
3496.26909 4.93166e-18
3498.15159 6.92638e-18
3500.02398 8.30076e-18
3501.90648 7.33384e-18
3503.78899 6.32460e-18
3505.66138 5.20836e-18
3507.54388 3.24418e-18
3509.42639 3.05361e-18
3511.29877 4.89195e-18
3513.18128 6.31059e-18
3515.06378 6.06677e-18
3516.93617 4.98691e-18
3518.81867 6.20685e-18
3520.70118 7.30021e-18
3522.57357 4.95400e-18
3524.45607 4.42442e-18
3526.33858 4.76525e-18
3528.21096 5.35337e-18
3530.09347 6.63694e-18
3531.97597 6.95669e-18
3533.84836 7.70099e-18
3535.73087 7.12416e-18
3537.61337 6.78493e-18
3539.48576 9.81310e-18
3541.36826 1.12328e-17
3543.25077 9.08785e-18
3545.12315 7.46439e-18
3547.00566 7.50810e-18
3548.88817 9.12160e-18
3550.76055 1.08107e-17
3552.64306 9.12240e-18
3554.52556 5.22325e-18
3556.39795 3.70778e-18
3558.28045 5.61808e-18
3560.16296 8.56448e-18
3562.03534 9.35353e-18
3563.91785 7.58241e-18
3565.80036 8.57740e-18
3567.67274 8.83650e-18
3569.55525 8.98110e-18
3571.43775 9.30558e-18
3573.31014 8.53737e-18
3575.19264 8.36686e-18
3577.07515 1.06044e-17
3578.94754 1.23054e-17
3580.83004 1.17211e-17
3582.71255 1.06323e-17
3584.58493 8.70079e-18
3586.46744 7.86483e-18
3588.34994 8.10127e-18
3590.22233 8.99421e-18
3592.10484 1.06668e-17
3593.98734 1.00404e-17
3595.85973 7.83507e-18
3597.74223 6.75086e-18
3599.62474 6.28162e-18
3601.49712 6.67731e-18
3603.37963 9.21161e-18
3605.26214 1.15952e-17
3607.13452 1.07833e-17
3609.01703 9.41643e-18
3610.89953 1.02551e-17
3612.77192 1.14717e-17
3614.65442 1.16880e-17
3616.53693 1.11962e-17
3618.40931 9.85433e-18
3620.29182 7.56129e-18
3622.17433 5.39333e-18
3624.04671 5.65924e-18
3625.92922 7.74316e-18
3627.81172 1.00184e-17
3629.68411 9.69716e-18
3631.56662 8.98215e-18
3633.44912 8.20863e-18
3635.32151 6.89022e-18
3637.20401 7.22201e-18
3639.08652 8.87714e-18
3640.95890 7.98899e-18
3642.84141 5.39632e-18
3644.72392 6.13275e-18
3646.59630 8.88502e-18
3648.47881 9.39517e-18
3650.36131 9.24290e-18
3652.23370 1.05543e-17
3654.11620 1.24265e-17
3655.99871 1.09483e-17
3657.87109 8.65321e-18
3659.75360 7.77340e-18
3661.63611 8.22284e-18
3663.50849 9.39252e-18
3665.39100 9.94527e-18
3667.27350 1.03119e-17
3669.14589 1.00768e-17
3671.02839 8.04190e-18
3672.91090 6.98475e-18
3674.78328 8.59005e-18
3676.66579 1.00510e-17
3678.54830 9.87742e-18
3680.42068 9.02314e-18
3682.30319 8.63751e-18
3684.18569 9.14460e-18
3686.05808 9.22245e-18
3687.94058 9.15624e-18
3689.82309 7.94331e-18
3691.69548 7.02785e-18
3693.57798 8.19725e-18
3695.46049 9.53440e-18
3697.33287 9.94099e-18
3699.21538 9.34908e-18
3701.08776 7.97679e-18
3702.97027 7.42886e-18
3704.85278 8.51394e-18
3706.73528 9.15257e-18
3708.60767 8.41531e-18
3710.49017 8.03200e-18
3712.37268 8.65716e-18
3714.24506 9.06220e-18
3716.12757 8.73709e-18
3717.99996 8.82407e-18
3719.88246 9.63250e-18
3721.76497 9.27785e-18
3723.63735 8.26459e-18
3725.51986 7.73149e-18
3727.40236 6.61153e-18
3729.28487 6.50696e-18
3731.15726 7.82528e-18
3733.03976 8.03242e-18
3734.91215 8.93229e-18
3736.79465 9.43229e-18
3738.67716 8.46360e-18
3740.54954 7.66328e-18
3742.43205 7.65481e-18
3744.31456 8.60400e-18
3746.19706 9.04604e-18
3748.06945 8.05306e-18
3749.95195 8.23935e-18
3751.82434 8.84756e-18
3753.70684 8.34538e-18
3755.58935 8.22417e-18
3757.46173 9.18501e-18
3759.34424 9.96928e-18
3761.22675 9.07855e-18
3763.09913 8.40419e-18
