# wavelength flux
4200.00246 5.78240e-18
4204.50630 5.58518e-18
4209.02027 5.41543e-18
4213.52411 5.71437e-18
4218.02796 5.35214e-18
4222.54193 5.55957e-18
4227.04577 6.46582e-18
4231.55974 6.17180e-18
4236.06358 5.81843e-18
4240.56743 5.70087e-18
4245.08139 5.77891e-18
4249.58524 5.56781e-18
4254.09920 5.40803e-18
4258.60305 5.47198e-18
4263.10689 5.34660e-18
4267.62086 5.39298e-18
4272.12471 5.24712e-18
4276.63867 5.62480e-18
4281.14252 5.69810e-18
4285.64636 5.94021e-18
4290.16033 5.84774e-18
4294.66417 5.69977e-18
4299.17814 5.55059e-18
4303.68198 5.51170e-18
4308.18583 5.59285e-18
4312.69979 5.60069e-18
4317.20364 5.99284e-18
4321.71760 5.78841e-18
4326.22145 5.79672e-18
4330.72530 5.73980e-18
4335.23926 5.91755e-18
4339.74311 6.05691e-18
4344.25707 5.85675e-18
4348.76092 5.60909e-18
4353.26476 5.85897e-18
4357.77873 6.17880e-18
4362.28257 5.95596e-18
4366.79654 6.03125e-18
4371.30038 5.98226e-18
4375.80423 6.20385e-18
4380.31819 6.46103e-18
4384.82204 6.55357e-18
4389.33601 6.39637e-18
4393.83985 6.24672e-18
4398.34370 6.78069e-18
4402.85766 6.50923e-18
4407.36151 6.54914e-18
4411.87547 6.88843e-18
4416.37932 6.87505e-18
4420.88316 7.11544e-18
4425.39713 7.05239e-18
4429.90097 6.85914e-18
4434.41494 6.75404e-18
4438.91879 7.23898e-18
4443.42263 7.28533e-18
4447.93660 7.29643e-18
4452.44044 7.69087e-18
4456.95441 7.99947e-18
4461.45825 7.86868e-18
4465.96210 7.73169e-18
4470.47606 7.99496e-18
4474.97991 7.83142e-18
4479.49387 8.16769e-18
4483.99772 8.12800e-18
4488.50156 8.32202e-18
4493.01553 8.87958e-18
4497.51937 9.17014e-18
4502.03334 8.89720e-18
4506.53719 9.12677e-18
4511.04103 9.57957e-18
4515.55500 9.50449e-18
4520.05884 9.21771e-18
4524.57281 9.52303e-18
4529.07665 9.59723e-18
4533.58050 9.35932e-18
4538.09446 9.63081e-18
4542.59831 9.79906e-18
4547.11228 9.84098e-18
4551.61612 9.72144e-18
4556.11996 9.48435e-18
4560.63393 9.36175e-18
4565.13778 9.60761e-18
4569.65174 9.65624e-18
4574.15559 9.49666e-18
4578.65943 9.20453e-18
4583.17340 9.36372e-18
4587.67724 9.64786e-18
4592.19121 9.55858e-18
4596.69505 9.32890e-18
4601.19890 9.57487e-18
4605.71286 9.50872e-18
4610.21671 9.39530e-18
4614.73068 9.22291e-18
4619.23452 9.11862e-18
4623.73837 9.24296e-18
4628.25233 9.39857e-18
4632.75618 9.34993e-18
4637.27014 9.24386e-18
4641.77399 9.47666e-18
4646.27783 9.32229e-18
4650.79180 9.16889e-18
4655.29564 9.10353e-18
4659.80961 9.16730e-18
4664.31346 9.20055e-18
4668.81730 9.00654e-18
4673.33127 8.94932e-18
4677.83511 9.04352e-18
4682.34908 8.83226e-18
4686.85292 8.99374e-18
4691.35677 9.12132e-18
4695.87073 9.15390e-18
4700.37458 9.04947e-18
4704.88854 9.15622e-18
4709.39239 9.56822e-18
4713.89623 9.52155e-18
4718.41020 8.77789e-18
4722.91404 8.87294e-18
4727.41789 8.80280e-18
4731.93186 8.71847e-18
4736.43570 8.68091e-18
4740.94967 8.59231e-18
4745.45351 8.72920e-18
4749.96748 8.70976e-18
4754.47132 8.55162e-18
4758.97517 8.43632e-18
4763.48913 8.44766e-18
4767.99298 8.51566e-18
4772.50695 8.44619e-18
4777.01079 8.65230e-18
4781.51464 8.56190e-18
4786.02860 8.36001e-18
4790.53245 8.58739e-18
4795.04641 8.57045e-18
4799.55026 8.66304e-18
4804.05410 8.74712e-18
4808.56807 8.87856e-18
4813.07191 8.89140e-18
4817.57576 8.90734e-18
4822.08972 8.95993e-18
4826.59357 9.06778e-18
4831.10754 9.16440e-18
4835.61138 9.34009e-18
4840.11522 9.43476e-18
4844.62919 9.37285e-18
4849.13304 9.14497e-18
4853.64700 9.14773e-18
4858.15085 9.41375e-18
4862.65469 9.38455e-18
4867.16866 9.19180e-18
4871.67250 9.11426e-18
4876.18647 9.07323e-18
