# wavelength flux
3699.81107 1.98713e-17
3701.01623 1.99156e-17
3702.21135 2.01463e-17
3703.41651 1.96847e-17
3704.61163 1.87747e-17
3705.81678 1.90171e-17
3707.01190 1.90429e-17
3708.21706 1.93027e-17
3709.41218 1.94023e-17
3710.61734 2.04734e-17
3711.81246 2.04821e-17
3713.01762 1.99708e-17
3714.21273 1.97497e-17
3715.41789 2.02484e-17
3716.61301 2.01560e-17
3717.81817 2.03047e-17
3719.01329 1.83311e-17
3720.20840 1.82739e-17
3721.41356 1.82784e-17
3722.60868 1.85755e-17
3723.81384 1.92321e-17
3725.00896 1.99116e-17
3726.21412 1.94266e-17
3727.40923 1.83493e-17
3728.61440 1.84779e-17
3729.80951 1.91065e-17
3731.01467 1.88343e-17
3732.20979 1.80419e-17
3733.41495 1.76936e-17
3734.61007 1.81472e-17
3735.81523 1.72366e-17
3737.01034 1.72699e-17
3738.21550 1.82634e-17
3739.41062 1.75703e-17
3740.61578 1.78122e-17
3741.81090 1.71515e-17
3743.00601 1.67306e-17
3744.21117 1.68398e-17
3745.40629 1.64906e-17
3746.61145 1.61163e-17
3747.80657 1.54752e-17
3749.01173 1.47964e-17
3750.20685 1.47023e-17
3751.41200 1.45311e-17
3752.60712 1.49261e-17
3753.81228 1.46210e-17
3755.00740 1.43157e-17
3756.21256 1.34193e-17
3757.40768 1.28742e-17
3758.61284 1.31000e-17
3759.80795 1.26993e-17
3761.01311 1.18548e-17
3762.20823 1.12741e-17
3763.40335 1.13539e-17
3764.60851 1.12301e-17
3765.80362 1.05729e-17
3767.00878 9.80967e-18
3768.20390 9.79447e-18
3769.40906 9.81335e-18
3770.60418 9.70663e-18
3771.80934 9.32771e-18
3773.00445 9.48419e-18
3774.20962 9.31078e-18
3775.40473 8.87647e-18
3776.60989 8.95845e-18
3777.80501 8.90697e-18
3779.01017 8.59094e-18
3780.20529 8.48326e-18
3781.41045 8.72845e-18
3782.60556 8.89271e-18
3783.80068 8.59547e-18
3785.00584 7.96812e-18
3786.20096 7.66322e-18
3787.40612 7.96146e-18
3788.60123 7.58204e-18
3789.80639 7.20668e-18
3791.00151 7.38315e-18
3792.20667 7.17181e-18
3793.40179 7.08931e-18
3794.60695 7.08750e-18
3795.80206 6.87275e-18
3797.00722 6.37359e-18
3798.20234 6.39311e-18
3799.40750 6.81499e-18
3800.60262 7.16176e-18
3801.80778 6.88466e-18
3803.00290 7.19104e-18
3804.20806 7.02963e-18
3805.40317 6.75537e-18
3806.59829 6.65866e-18
3807.80345 6.80477e-18
3808.99857 7.07496e-18
3810.20373 6.97303e-18
3811.39884 6.87819e-18
3812.60400 7.05744e-18
3813.79912 6.98438e-18
3815.00428 7.07652e-18
3816.19940 6.90028e-18
3817.40456 6.83774e-18
3818.59967 6.68783e-18
3819.80483 7.05804e-18
3820.99995 7.12073e-18
3822.20511 7.05440e-18
3823.40023 7.35504e-18
3824.60539 7.57600e-18
3825.80051 7.78117e-18
3826.99562 7.33411e-18
3828.20078 7.77516e-18
3829.39590 7.85841e-18
3830.60106 8.37017e-18
3831.79618 8.34783e-18
3833.00134 8.31559e-18
3834.19645 8.88960e-18
3835.40161 8.94080e-18
3836.59673 8.80108e-18
3837.80189 9.17882e-18
3838.99701 9.18097e-18
3840.20217 9.48632e-18
3841.39728 9.82797e-18
3842.60244 9.65826e-18
3843.79756 9.89239e-18
3845.00272 1.02162e-17
3846.19784 1.06865e-17
3847.39296 1.01238e-17
3848.59812 1.06840e-17
3849.79323 1.08019e-17
3850.99839 1.10269e-17
3852.19351 1.14382e-17
3853.39867 1.10674e-17
3854.59379 1.18568e-17
3855.79895 1.15035e-17
3856.99406 1.18444e-17
3858.19922 1.18397e-17
3859.39434 1.19374e-17
3860.59950 1.22894e-17
3861.79462 1.24625e-17
3862.99978 1.25736e-17
3864.19490 1.30579e-17
3865.40005 1.32395e-17
3866.59517 1.30695e-17
3867.80033 1.34425e-17
3868.99545 1.34449e-17
3870.19057 1.35420e-17
3871.39573 1.37909e-17
3872.59084 1.38321e-17
3873.79600 1.38756e-17
3874.99112 1.40144e-17
3876.19628 1.48297e-17
3877.39140 1.41343e-17
3878.59656 1.45595e-17
3879.79167 1.44818e-17
3880.99683 1.45830e-17
3882.19195 1.51232e-17
3883.39711 1.53380e-17
3884.59223 1.53217e-17
3885.79739 1.55207e-17
3886.99250 1.57928e-17
3888.19767 1.63699e-17
3889.39278 1.59006e-17
3890.58790 1.62880e-17
3891.79306 1.68673e-17
3892.98818 1.67703e-17
3894.19334 1.69773e-17
3895.38845 1.71582e-17
3896.59361 1.71720e-17
3897.78873 1.68517e-17
3898.99389 1.74427e-17
3900.18901 1.70431e-17
3901.39417 1.75575e-17
3902.58928 1.79895e-17
3903.79444 1.75604e-17
3904.98956 1.81151e-17
3906.19472 1.80387e-17
3907.38984 1.80241e-17
3908.59500 1.86782e-17
3909.79012 1.88014e-17
3910.98523 1.88797e-17
3912.19039 1.91263e-17
3913.38551 1.89074e-17
3914.59067 1.93920e-17
3915.78579 1.93211e-17
3916.99095 1.95899e-17
3918.18606 1.96408e-17
3919.39122 1.93153e-17
3920.58634 1.93108e-17
3921.79150 1.94787e-17
3922.98662 2.00935e-17
3924.19178 2.00786e-17
3925.38689 1.96590e-17
3926.59205 2.00391e-17
3927.78717 1.98410e-17
3928.99233 1.99219e-17
3930.18745 1.99058e-17
3931.38256 1.93607e-17
3932.58772 1.90324e-17
3933.78284 1.90465e-17
3934.98800 1.94553e-17
3936.18312 2.03499e-17
3937.38828 2.08422e-17
3938.58340 2.07586e-17
3939.78856 2.14219e-17
3940.98367 2.15998e-17
3942.18883 2.18752e-17
3943.38395 2.17978e-17
3944.58911 2.18162e-17
3945.78423 2.20098e-17
3946.98939 2.21367e-17
3948.18450 2.17396e-17
3949.38966 2.17005e-17
3950.58478 2.12052e-17
3951.77990 2.17611e-17
3952.98506 2.18532e-17
3954.18017 2.22365e-17
3955.38533 2.29589e-17
3956.58045 2.32212e-17
3957.78561 2.32473e-17
