# wavelength flux
2989.20000 0.00000e+00
2990.00000 3.10873e-17
2990.20000 0.00000e+00
2995.40000 3.10873e-17
2995.60000 2.98111e-16
2995.80000 3.68349e-16
2996.00000 8.21853e-16
2996.20000 9.11466e-16
2997.00000 1.09975e-15
2997.60000 1.10212e-15
2998.60000 1.35464e-15
2998.80000 1.59745e-15
2999.00000 1.96923e-15
2999.20000 1.99214e-15
2999.40000 1.96923e-15
2999.60000 1.59745e-15
3000.40000 1.61984e-15
3000.60000 1.96923e-15
3001.00000 1.99214e-15
3001.80000 1.61984e-15
3002.00000 1.99214e-15
3002.20000 1.61984e-15
3002.40000 1.59745e-15
3002.60000 1.35464e-15
3002.80000 1.10212e-15
3003.00000 1.09975e-15
3003.60000 9.74424e-16
3003.80000 1.09975e-15
3004.40000 9.74424e-16
3004.60000 9.11466e-16
3005.00000 9.74424e-16
3005.40000 8.21853e-16
3006.20000 8.17732e-16
3006.60000 8.21853e-16
3007.20000 8.17732e-16
3007.40000 7.69660e-16
3008.00000 8.17732e-16
3008.40000 7.69660e-16
3008.60000 8.17732e-16
3009.00000 7.69660e-16
3009.20000 5.80317e-16
3009.40000 7.69660e-16
3010.00000 8.17732e-16
3010.20000 8.21853e-16
3010.40000 8.17732e-16
3010.60000 7.69660e-16
3011.00000 5.80317e-16
3011.20000 5.30847e-16
3011.60000 5.80317e-16
3011.80000 5.30847e-16
3012.80000 5.80317e-16
3013.00000 5.22801e-16
3013.40000 3.69671e-16
3014.40000 3.82757e-16
3014.60000 5.22801e-16
3014.80000 3.82757e-16
3015.60000 3.69671e-16
3016.00000 3.65784e-16
3016.20000 2.96545e-16
3016.40000 1.89137e-16
3016.80000 2.23701e-16
3017.00000 2.96545e-16
3017.40000 3.65784e-16
3017.60000 3.07924e-16
3017.80000 2.96545e-16
3018.00000 3.07924e-16
3018.20000 3.65784e-16
3019.20000 3.69671e-16
3019.40000 3.65784e-16
3019.60000 3.69671e-16
3019.80000 3.82757e-16
3020.60000 3.69671e-16
3020.80000 3.65784e-16
3021.00000 3.69671e-16
3022.20000 3.65784e-16
3023.00000 2.96545e-16
3023.20000 3.65784e-16
3023.60000 3.49697e-16
3023.80000 3.82757e-16
3024.00000 3.49697e-16
3024.20000 3.07924e-16
3024.60000 3.49697e-16
3025.00000 3.07924e-16
3025.20000 2.96545e-16
3025.40000 3.07924e-16
3025.60000 3.49697e-16
3026.40000 3.65784e-16
3026.80000 3.69671e-16
3027.20000 3.65784e-16
3027.40000 3.69671e-16
3027.60000 3.07924e-16
3027.80000 3.87724e-16
3028.20000 3.82757e-16
3028.40000 3.69671e-16
3028.80000 3.65784e-16
3029.00000 4.54828e-16
3029.20000 3.49697e-16
3029.40000 3.07924e-16
3029.60000 3.87724e-16
3029.80000 4.25586e-16
3030.00000 3.07924e-16
3030.60000 3.49697e-16
3031.00000 4.44139e-16
3031.20000 3.65784e-16
3031.60000 3.49697e-16
3032.40000 3.36523e-16
3033.40000 3.49697e-16
3033.60000 2.59301e-16
3033.80000 3.96621e-16
3034.00000 1.86640e-16
3034.20000 2.82613e-16
3035.00000 3.07924e-16
3035.20000 2.82613e-16
3035.60000 2.59301e-16
3036.00000 2.43940e-16
3036.20000 2.59301e-16
3036.60000 2.73173e-16
3036.80000 2.59301e-16
3037.00000 2.73173e-16
3037.60000 2.59301e-16
