# wavelength flux
3525.91267 -4.93628e-18
3528.51725 -1.46437e-18
3531.12183 3.09320e-19
3533.72640 -2.35546e-18
3536.33098 3.14724e-18
3538.93556 6.37399e-18
3541.54014 -3.08745e-18
3544.14472 7.64396e-19
3546.74930 -1.07792e-18
3549.35388 -1.04316e-19
3551.95846 -1.33607e-18
3554.56304 -4.09774e-18
3557.16762 9.65154e-19
3559.77220 7.71325e-19
3562.37678 -2.11230e-18
3564.98135 -8.77868e-19
3567.58593 -2.65579e-17
3570.19051 7.63349e-18
3572.79509 -1.79093e-18
3575.39967 -1.56892e-18
3578.00425 -8.53398e-18
3580.60883 -4.82864e-18
3583.21341 -3.79061e-18
3585.81799 -6.53825e-18
3588.42257 -3.00529e-18
3591.02715 1.87358e-17
3593.63172 1.12744e-17
3596.23630 -3.30732e-19
3598.84088 -2.98877e-17
3601.44546 -2.04229e-17
3604.05004 -1.10534e-17
3606.65462 -4.96206e-18
3609.25920 -1.19366e-17
3611.86378 8.74080e-18
3614.46836 3.08462e-18
3617.07294 9.11223e-18
3619.67751 -7.89633e-18
3622.28209 2.54811e-18
3624.88667 -8.27370e-18
3627.49125 -6.94223e-18
3630.09583 -2.34121e-18
3632.70041 5.27666e-18
3635.30499 1.68624e-18
3637.90957 4.33176e-18
3640.51415 1.14053e-17
3643.11873 7.26406e-18
3645.72330 -6.11411e-20
3648.32788 4.13583e-18
3650.93246 1.58712e-18
3653.53704 -1.43926e-18
3656.14162 3.16769e-18
3658.74620 5.86909e-18
3661.35078 -1.58324e-18
3663.95536 -1.15133e-17
3666.55994 5.08239e-18
3669.16452 -9.37870e-18
3671.76910 -1.94072e-17
3674.37367 6.56755e-19
3676.97825 1.18075e-18
3679.58283 2.70699e-18
3682.18741 -5.51109e-19
3684.79199 -1.97755e-17
3687.39657 -1.50775e-18
3690.00115 -7.66493e-18
3692.60573 -1.15874e-17
3695.21031 -6.54791e-18
3697.81489 -1.40375e-17
3700.41946 -6.00352e-18
3703.02405 -9.32384e-18
3705.62862 2.52448e-18
3708.23320 -1.56745e-18
3710.83778 -5.85574e-18
3713.44236 -4.16094e-18
3716.04694 -5.54819e-19
3718.65152 1.04040e-18
3721.25610 -4.26345e-18
3723.86068 -2.77811e-18
3726.46526 3.17674e-18
3729.06983 -7.63890e-18
3731.67441 -9.45213e-18
3734.27899 -1.01792e-17
3736.88357 -2.60176e-18
3739.48815 4.59313e-18
3742.09273 -9.78415e-18
3744.69731 2.11980e-18
3747.30189 -3.89962e-18
3749.90647 5.06184e-18
3752.51105 7.55004e-18
3755.11563 1.12400e-17
3757.72021 4.91072e-18
3760.32478 1.68615e-17
3762.92936 5.32452e-18
3765.53394 7.53709e-18
3768.13852 6.65137e-18
3770.74310 -6.74953e-19
3773.34768 5.91387e-18
3775.95226 6.61750e-18
3778.55684 1.30230e-17
3781.16142 5.15040e-18
3783.76600 1.00810e-17
3786.37057 6.96074e-18
3788.97515 1.33770e-17
3791.57973 6.28652e-18
3794.18431 1.83273e-17
3796.78889 2.63784e-17
3799.39347 2.56925e-17
3801.99805 5.93744e-18
3804.60263 1.42799e-17
3807.20721 2.00922e-17
3809.81179 1.65266e-17
3812.41637 1.35294e-17
3815.02094 1.59778e-17
3817.62552 1.30620e-17
3820.23010 1.49452e-17
3822.83468 2.29120e-17
3825.43926 2.38531e-17
3828.04384 1.61696e-17
3830.64842 1.42825e-17
3833.25300 1.45677e-17
3835.85758 1.40623e-17
3838.46216 1.59696e-17
3841.06673 1.80426e-17
3843.67131 2.41321e-17
3846.27589 3.16254e-17
3848.88047 4.43589e-17
3851.48505 4.84277e-17
3854.08963 2.88492e-17
3856.69421 2.34948e-17
3859.29879 2.68138e-17
3861.90337 1.21675e-17
3864.50795 1.51424e-17
3867.11253 2.43762e-17
3869.71711 2.43839e-17
3872.32168 1.59444e-17
3874.92626 2.03095e-17
3877.53084 2.44328e-17
3880.13542 1.92186e-17
3882.74000 1.28328e-17
3885.34458 1.45711e-17
3887.94916 1.93008e-17
3890.55374 1.75914e-17
3893.15832 1.55121e-17
3895.76290 8.81411e-18
3898.36748 1.74288e-17
3900.97205 2.33031e-17
3903.57663 2.03776e-17
3906.18121 1.89039e-17
3908.78579 2.04610e-17
3911.39037 2.60344e-17
3913.99495 1.84417e-17
3916.59953 2.28431e-17
3919.20411 2.08954e-17
3921.80869 3.00598e-17
3924.41327 2.53203e-17
3927.01784 2.34702e-17
3929.62242 2.55072e-17
3932.22700 2.18300e-17
3934.83158 2.08503e-17
3937.43616 2.43732e-17
3940.04074 2.36880e-17
3942.64532 2.22152e-17
3945.24990 2.08407e-17
3947.85448 2.11928e-17
3950.45906 1.87041e-17
3953.06363 2.41950e-17
3955.66821 2.27784e-17
3958.27279 2.47160e-17
3960.87737 2.46871e-17
3963.48195 2.39024e-17
3966.08653 2.87841e-17
3968.69111 2.22881e-17
3971.29569 2.67411e-17
3973.90027 2.35866e-17
3976.50485 2.68317e-17
3979.10943 2.50693e-17
3981.71400 2.81266e-17
3984.31858 2.93994e-17
3986.92316 2.27463e-17
3989.52774 2.09033e-17
3992.13232 3.05750e-17
3994.73690 2.43212e-17
3997.34148 3.40907e-17
3999.94606 2.59984e-17
4002.55064 2.84898e-17
4005.15522 3.54812e-17
4007.75980 2.79172e-17
4010.36438 1.96114e-17
4012.96895 1.87563e-17
4015.57353 3.15890e-17
4018.17811 3.24298e-17
4020.78269 2.09344e-17
4023.38727 1.80843e-17
4025.99185 2.32853e-17
4028.59643 2.99365e-17
4031.20101 2.45520e-17
4033.80559 2.66618e-17
4036.41016 1.64569e-17
4039.01474 2.24667e-17
4041.61932 3.56556e-17
4044.22390 2.42137e-17
4046.82848 2.10643e-17
4049.43306 3.68609e-17
4052.03764 4.02708e-17
4054.64222 3.73600e-17
4057.24680 2.82817e-17
4059.85138 2.98566e-17
4062.45596 2.95537e-17
4065.06054 2.27407e-17
4067.66511 2.10588e-17
4070.26969 2.41690e-17
4072.87427 3.04541e-17
4075.47885 3.16120e-17
4078.08343 3.36245e-17
4080.68801 2.68399e-17
4083.29259 2.62718e-17
4085.89717 2.32285e-17
4088.50175 3.02959e-17
4091.10633 3.94309e-17
4093.71090 3.66823e-17
4096.31548 3.47779e-17
4098.92006 4.07201e-17
4101.52464 3.10748e-17
4104.12922 4.00699e-17
4106.73380 3.39605e-17
4109.33838 2.46232e-17
4111.94296 2.48888e-17
4114.54754 2.93175e-17
4117.15212 2.63297e-17
4119.75670 2.33852e-17
4122.36128 2.83637e-17
4124.96585 3.59544e-17
4127.57043 2.80709e-17
4130.17501 3.15551e-17
4132.77959 3.23080e-17
4135.38417 3.66189e-17
4137.98875 3.62681e-17
4140.59333 3.61423e-17
4143.19791 3.45119e-17
4145.80249 3.06997e-17
4148.40707 3.35116e-17
4151.01164 3.77565e-17
4153.61622 3.52546e-17
4156.22080 3.88105e-17
4158.82538 3.63886e-17
4161.42996 3.41851e-17
4164.03454 3.18691e-17
4166.63912 3.92475e-17
4169.24370 3.09284e-17
4171.84828 3.56001e-17
4174.45286 3.68965e-17
4177.05743 3.55030e-17
4179.66201 3.29317e-17
4182.26659 3.19645e-17
4184.87117 3.63375e-17
4187.47575 4.02810e-17
4190.08033 3.79522e-17
4192.68491 3.66862e-17
4195.28949 3.64152e-17
4197.89407 3.32971e-17
4200.49865 3.92299e-17
4203.10323 4.15189e-17
4205.70781 3.97843e-17
4208.31238 3.95138e-17
4210.91696 3.78200e-17
4213.52154 3.75791e-17
4216.12612 3.81296e-17
4218.73070 3.84775e-17
4221.33528 4.11483e-17
4223.93986 4.01820e-17
4226.54444 4.03655e-17
4229.14902 3.95813e-17
4231.75360 3.66348e-17
4234.35818 4.14172e-17
4236.96275 4.09220e-17
4239.56733 3.90427e-17
4242.17191 3.93737e-17
4244.77649 3.82444e-17
4247.38107 4.07155e-17
4249.98565 3.38716e-17
4252.59023 4.18550e-17
4255.19481 3.61391e-17
4257.79939 3.51662e-17
4260.40397 3.82702e-17
4263.00854 4.09998e-17
4265.61312 4.18818e-17
4268.21770 4.41955e-17
4270.82228 3.62380e-17
4273.42686 3.88743e-17
4276.03144 3.52536e-17
4278.63602 3.77290e-17
4281.24060 4.04979e-17
4283.84518 4.03591e-17
4286.44976 3.92564e-17
4289.05433 4.40991e-17
4291.65891 4.18518e-17
4294.26349 4.40737e-17
4296.86807 4.01942e-17
4299.47265 4.07978e-17
4302.07723 4.12016e-17
4304.68181 3.87956e-17
4307.28639 4.02629e-17
4309.89097 3.84786e-17
4312.49555 4.01397e-17
4315.10013 4.11671e-17
4317.70471 3.81948e-17
4320.30928 3.60381e-17
4322.91386 4.16758e-17
4325.51844 3.85570e-17
4328.12302 3.82332e-17
4330.72760 4.09262e-17
4333.33218 4.09225e-17
4335.93676 3.90239e-17
4338.54134 3.71838e-17
4341.14592 3.53201e-17
4343.75050 4.27985e-17
4346.35507 4.61228e-17
4348.95965 4.25579e-17
4351.56423 3.99082e-17
4354.16881 4.19388e-17
4356.77339 4.51923e-17
4359.37797 4.20196e-17
4361.98255 3.76385e-17
4364.58713 3.72800e-17
4367.19171 3.71701e-17
4369.79629 3.47745e-17
4372.40086 3.56473e-17
4375.00544 3.77036e-17
4377.61002 3.88019e-17
4380.21460 4.56942e-17
4382.81918 4.30196e-17
4385.42376 3.84136e-17
4388.02834 4.01719e-17
4390.63292 4.31421e-17
4393.23750 4.49236e-17
4395.84208 4.14661e-17
4398.44666 4.46972e-17
4401.05123 4.38447e-17
4403.65581 4.38733e-17
4406.26039 3.82689e-17
4408.86497 4.12088e-17
4411.46955 4.18378e-17
4414.07413 4.61385e-17
4416.67871 4.98408e-17
4419.28329 4.66605e-17
4421.88787 4.62605e-17
4424.49245 4.38990e-17
4427.09703 4.23015e-17
4429.70161 4.18132e-17
4432.30618 4.47043e-17
4434.91076 4.50510e-17
4437.51534 4.89089e-17
4440.11992 5.46763e-17
4442.72450 4.93975e-17
4445.32908 4.76252e-17
4447.93366 4.31404e-17
4450.53824 4.23740e-17
4453.14282 4.71526e-17
4455.74740 4.64430e-17
4458.35197 5.13574e-17
4460.95655 5.29937e-17
4463.56113 4.71305e-17
4466.16571 5.24875e-17
4468.77029 5.41258e-17
4471.37487 5.70085e-17
4473.97945 5.78479e-17
4476.58403 4.90463e-17
4479.18861 5.52017e-17
4481.79319 6.59807e-17
4484.39776 6.72565e-17
4487.00234 6.43000e-17
4489.60692 6.51356e-17
4492.21150 6.18057e-17
4494.81608 5.11774e-17
4497.42066 5.26428e-17
4500.02524 6.35085e-17
4502.62982 6.37824e-17
4505.23440 6.27456e-17
4507.83898 6.48647e-17
4510.44356 6.57500e-17
4513.04814 6.48824e-17
4515.65271 6.45646e-17
4518.25729 6.31757e-17
4520.86187 6.33934e-17
4523.46645 6.45449e-17
4526.07103 6.33397e-17
4528.67561 6.38089e-17
4531.28019 6.71489e-17
4533.88477 6.60390e-17
4536.48935 6.57494e-17
4539.09393 6.68191e-17
4541.69851 6.48081e-17
4544.30308 6.81454e-17
4546.90766 7.24995e-17
4549.51224 7.33351e-17
4552.11682 7.37735e-17
4554.72140 7.24926e-17
4557.32598 6.73115e-17
4559.93056 6.92438e-17
4562.53514 6.81595e-17
4565.13972 6.68099e-17
4567.74430 6.75960e-17
4570.34887 6.36156e-17
4572.95345 6.37333e-17
4575.55803 6.66815e-17
4578.16261 6.91751e-17
4580.76719 6.89163e-17
4583.37177 7.33085e-17
4585.97635 7.16462e-17
4588.58093 7.18836e-17
4591.18551 7.37888e-17
4593.79009 7.37458e-17
4596.39466 7.52280e-17
4598.99924 7.42839e-17
4601.60382 7.19745e-17
4604.20840 7.54033e-17
4606.81298 7.66014e-17
4609.41756 7.03625e-17
4612.02214 7.31933e-17
4614.62672 7.49530e-17
4617.23130 7.14999e-17
4619.83588 6.96719e-17
4622.44046 7.13528e-17
4625.04504 7.27793e-17
4627.64961 7.33551e-17
4630.25419 7.04167e-17
4632.85877 7.16820e-17
4635.46335 7.22331e-17
4638.06793 7.39655e-17
4640.67251 6.95163e-17
4643.27709 7.34199e-17
4645.88167 7.54084e-17
4648.48625 7.06697e-17
4651.09083 7.59536e-17
4653.69541 6.80387e-17
4656.29998 7.07543e-17
4658.90456 7.31515e-17
4661.50914 7.15701e-17
4664.11372 6.57670e-17
4666.71830 7.02648e-17
4669.32288 7.10651e-17
4671.92746 7.44286e-17
4674.53204 7.04263e-17
4677.13662 6.89303e-17
4679.74119 7.32992e-17
4682.34577 7.23581e-17
4684.95035 6.77803e-17
4687.55493 7.21891e-17
4690.15951 7.46379e-17
4692.76409 7.23012e-17
4695.36867 7.31236e-17
4697.97325 7.12764e-17
4700.57783 6.73380e-17
4703.18241 7.20095e-17
4705.78699 7.51511e-17
4708.39156 7.29499e-17
4710.99614 7.63995e-17
4713.60072 7.50090e-17
4716.20530 7.13026e-17
4718.80988 7.77034e-17
4721.41446 7.80173e-17
4724.01904 7.85010e-17
4726.62362 7.27788e-17
4729.22820 7.09421e-17
4731.83278 6.89584e-17
4734.43736 7.19745e-17
4737.04194 7.33065e-17
4739.64651 7.12391e-17
4742.25109 7.27038e-17
4744.85567 7.91030e-17
4747.46025 7.53373e-17
4750.06483 7.35583e-17
4752.66941 7.48908e-17
4755.27399 7.40374e-17
4757.87857 7.48283e-17
4760.48315 7.50268e-17
4763.08773 7.37074e-17
4765.69230 7.53503e-17
4768.29688 7.55067e-17
4770.90146 7.77081e-17
4773.50604 7.74315e-17
4776.11062 7.39084e-17
4778.71520 7.65048e-17
4781.31978 7.74110e-17
4783.92436 7.32571e-17
4786.52894 7.68964e-17
4789.13352 7.89349e-17
4791.73809 7.55050e-17
4794.34267 7.91746e-17
4796.94725 7.81463e-17
4799.55183 7.62016e-17
4802.15641 7.68309e-17
4804.76099 7.76934e-17
4807.36557 7.83443e-17
4809.97015 7.85919e-17
4812.57473 7.42125e-17
4815.17931 7.95742e-17
4817.78389 7.47214e-17
4820.38846 7.37003e-17
4822.99304 7.66517e-17
4825.59762 8.22020e-17
4828.20220 8.81778e-17
4830.80678 8.69178e-17
4833.41136 8.56353e-17
4836.01594 8.66703e-17
4838.62052 8.76625e-17
4841.22510 8.66335e-17
4843.82968 8.36629e-17
4846.43426 8.24820e-17
4849.03884 8.30801e-17
4851.64341 8.90054e-17
4854.24799 8.87481e-17
4856.85257 8.52945e-17
4859.45715 8.60803e-17
